"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Castanea","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Juglans","Larix","Lycopodium.type","Myrica","Nuphar","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Polygonaceae.undiff.","Populus","Quercus","Rhamnaceae.Vitaceae","Rosaceae","Rumex","Salix","Sphagnum","Taxus","Thalictrum","Tilia","Trees.undiff.","Tsuga","Ulmus"
0,51,8,1,52,0,1,2,1,0,158,0,0,0,0,3,1,3,1,3,0,1,0,2,2,1,117,13,0,1,0,2,0,1,1,0,2,4,0,2,2,1,0,0,0,0
10,263,18,0,46,0,2,2,1,1,173,0,0,1,0,2,0,3,1,0,0,1,1,1,0,1,150,7,1,8,0,2,0,0,4,0,0,0,0,2,0,0,0,0,1,2
20,475,11,1,42,1,3,1,2,2,161,0,1,0,0,1,0,2,2,0,0,2,1,5,0,3,129,5,1,2,0,2,0,0,4,0,1,0,0,1,1,0,0,0,0,1
30,686,24,1,87,1,0,0,3,0,341,1,0,0,0,5,2,5,0,1,0,1,1,12,1,1,229,10,10,8,1,2,0,1,7,0,1,0,0,4,2,0,0,0,2,4
40,898,21,1,20,0,0,1,1,0,147,0,0,0,0,4,1,2,1,1,0,0,0,5,0,1,89,2,2,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2
50,1110,15,2,33,0,0,1,0,0,155,0,1,0,2,2,2,1,2,2,0,1,0,2,1,1,99,9,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2,2
60,1322,7,1,41,0,0,0,2,0,145,0,0,0,0,0,0,1,0,2,0,1,1,2,1,0,93,6,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1
70,1534,16,3,32,0,0,1,2,0,150,0,0,0,1,3,0,2,2,0,0,3,3,1,0,1,86,0,3,2,0,1,0,0,6,0,0,0,0,4,1,1,0,0,0,2
80,1745,6,1,31,0,0,1,2,0,143,0,0,0,0,3,1,0,2,0,0,0,1,1,1,2,86,1,4,9,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,1
90,1957,15,2,41,0,1,1,1,1,161,0,0,0,0,3,1,1,1,0,0,0,3,2,0,1,82,4,5,2,0,1,0,0,3,0,1,0,0,0,0,1,0,0,1,1
100,2169,5,1,72,0,0,0,0,1,164,0,0,0,1,4,1,4,2,3,0,0,4,5,1,1,116,9,7,8,0,2,0,0,2,0,0,0,0,3,0,0,0,0,0,1
110,2381,7,2,40,0,0,1,1,0,150,1,0,1,1,8,0,4,1,1,0,0,1,4,0,5,115,3,6,2,0,0,0,0,3,0,1,0,1,2,0,0,0,0,1,0
120,2593,8,0,37,0,0,0,1,0,125,0,0,0,0,3,1,2,2,4,0,0,2,7,0,1,55,4,6,4,0,0,0,0,3,0,2,0,0,3,0,0,1,0,0,2
130,2804,9,1,47,0,0,0,0,0,183,0,0,0,0,3,0,1,0,4,0,1,1,6,0,2,94,3,11,8,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
140,3016,20,2,54,0,0,0,0,0,127,0,0,0,0,5,0,3,2,1,0,0,2,2,0,0,89,3,10,5,0,1,0,0,2,0,2,0,1,5,0,0,0,0,0,2
150,3228,20,1,32,0,0,0,1,1,153,0,0,0,0,3,0,2,3,3,1,2,1,1,0,2,113,5,9,7,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0
158,3397,12,0,80,0,0,1,0,0,204,0,0,0,0,5,1,0,0,2,0,0,2,7,0,4,89,7,12,5,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,2
170,3652,20,0,64,0,0,0,0,0,135,0,0,0,0,4,1,1,0,0,0,1,1,0,1,2,117,5,13,11,0,0,0,0,3,0,0,0,0,3,1,0,0,0,2,0
180,3898,23,2,40,0,1,0,0,1,133,0,0,0,0,3,0,0,0,1,0,1,0,1,0,1,88,5,14,5,0,0,0,0,1,0,1,0,1,3,1,0,0,0,0,1
190,4144,14,1,48,0,1,0,1,0,123,0,0,0,0,0,1,2,0,2,0,1,3,1,0,0,76,2,11,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0
