"sample.depths","sample.ages","Abies","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Brassicaceae","Carya","Caryophyllaceae","Cheilanthes","Cornus","Corylus","Cupressaceae","Cyperaceae.undiff.","Dalea.purpurea","Drosera","Dryopteris.type","Ephedra","Equisetum","Euphorbia","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Hippuris.vulgaris","Humulus","Indeterminable","Isoëtes","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lemna","Lycopus.type","Myriophyllum.sibiricum.type","Nuphar","Osmunda","Ostrya.type","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Polygonum.amphibium","Polygonum.arenastrum.type","Polygonum.lapathifolium.type","Polygonum.viviparum.type","Populus.balsamifera.type","Populus.tremuloides.type","Portulaca","Pteridium","Quercus","Ranunculaceae.undiff.","Rhus","Rhynchospora","Rosaceae","Rumex","Sagittaria","Salix","Salsola","Sarcobatus.vermiculatus","Selaginella.densa.type","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Triglochin","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..monolete..undiff.","Unknown..trilete..undiff.","Vitis","Xanthium"
383.5,-31,0,6,0,0,0,8,0,15,52,0,0,11,2,0,0,18,0,0,0,0,0,3,0,20,0,0,0,0,0,22,0,3,1,0,0,2,19,0,1,1,0,4,0,2,0,1,0,3,2,29,1,19.5,1,27,0,0,0,0,0,7,0,1,3,0,0,2,1,0,0,4,3,0,0,0,0,8,0,0,0,0,0,10,2,0,0,0,0,0
400,2,0,6,0,0,0,7,0,4,90,0,0,13,8,1,0,22,0,0,7,1,0,5,0,8,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,4,0,0,1,0,11,1,28.5,0,25,0,0,0,0,0,2,0,0,49,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,6,10,0,0,0,0,0
432,67,0,1,0,0,0,15,1,13,73,0,0,14,0,0,0,25,0,0,0,0,0,7,0,9,1,0,0,0,0,1,0,5,0,0,0,0,1,0,1,0,0,1,0,1,6,0,0,6,5,18,2,22.5,0,33,0,0,0,0,0,1,0,0,48,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0
464,214,0,1,0,2,0,22,0,4,20,0,0,18,0,0,0,37,0,0,0,0,0,13,2,17,0,0,1,0,0,0,0,4,0,0,0,0,2,1,6,1,0,13,1,2,0,0,0,12,8,34,6,26,1,17,0,0,0,0,0,11,0,1,56,0,0,0,1,0,0,4,0,3,1,0,0,0,0,0,2,0,0,1,10,0,0,0,0,0
496,445,0,1,0,0,0,24,3,0,12,1,0,11,1,0,0,34,0,0,3,0,0,13,1,13,0,0,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,1,3,0,0,20,3.5,5,3,31.5,0,30,0,0,0,0,0,6,0,0,58,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,7,0,0,0,0,0
528,675,0,0,0,0,1,12,4,2,24,1,1,6,0,0,0,50,0,0,0,0,0,8,1,9,0,0,0,0,0,0,0,7,2,0,0,0,5,0,2,0,0,3,0,0,0,0,0,8,4,8,5,25.5,0,25,0,0,0,0,0,0,0,0,77,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,1,10,0,0,1,0,0
560,905,0,2,0,0,0,10,0,3,11,0,0,11,1,0,0,41,0,0,0,0,0,3,1,22,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,4,0,1,0,0,0,3,4,29,3,14.5,0,35,0,0,0,0,0,3,0,0,89,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0
592,1136,0,2,0,0,0,4,0,2,13,0,0,12,3,0,0,16,0,0,4,0,0,2,0,21,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,4,0,27.5,0,94,0,1,0,0,0,4,0,0,68,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0
624,1366,0,0,0,0,0,6,0,9,10,0,0,13,0,0,0,25,0,0,0,0,0,7,0,10,0,0,0,0,0,3,0,3,0,0,0,0,2,0,0,1,0,1,0,0,0,2,0,6,0,8,0,11.5,0,102,0,0,0,0,0,2,0,0,91,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
656,1597,0,0,0,1,0,5,0,2,7,0,1,19,0,0,0,19,0,0,0,0,0,5,0,22,0,0,0,0,0,4,0,2,1,0,0,0,3,0,5,0,1,1,1,0,0,1,0,4,1,16,2,7.5,0,206,0,0,0,0,0,1,0,0,59,0,0,3,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,1,1
