"sample.depths","sample.ages","Pinus","Picea","Tsuga","Betula","Carya","Castanea","Quercus","Fagus","Juglans","Ulmus","Liquidambar","Tilia","Acer","Alnus","Salix","Fraxinus","Celtis","Cyperaceae","Poaceae","Ambrosia","Chenopodiaceae","Typha.undiff.","Typha.latifolia","Typha.angustifolia","Asteraceae.subf..Asteroideae.undiff.","Plantago","Rumex","Rosaceae","Asteraceae.undiff.","Myriophyllum","Podophyllum","Sphagnum","Osmunda","Polypodiaceae","Unknown","Lycopodium.spike..number.counted.","Charcoal","Lycopodium","Lycopodium.tablets..concentration..grains.tablet.","Lycopodium.suspension..volume.added..ml.","Sample.volume..ml."
0,-50,30,0,2,33,8,0,63,2,8,4,4,0,3,3,4,0,0,4,107,27,11,210,0,0,2,11,7,0,0,0,0,0,1,0,6,41,3,25,12542,1,1
4,-43,37,1,6,38,4,0,64,5,1,5,3,0,1,3,5,0,0,2,111,14,8,199,0,0,6,0,1,1,0,0,0,0,2,1,6,51,7,36,12542,1,1
8,-35,47,0,2,48,10,1,68,7,4,6,2,0,2,11,3,0,1,2,101,32,11,291,0,0,3,7,1,0,2,0,0,0,0,1,15,39,5,24,12542,1,1
12,-27,35,0,2,28,9,1,66,3,0,0,5,4,1,6,0,0,0,2,95,18,11,282,0,0,4,4,4,0,0,0,0,0,2,0,8,42,0,18,12542,1,1
16,-19,43,0,3,33,14,0,56,6,3,2,8,2,1,5,2,0,0,0,75,22,12,356,0,0,4,6,8,0,3,0,0,0,0,0,5,41,10,13,12542,1,1
20,-10,41,0,5,32,11,2,89,3,0,0,1,0,2,2,3,0,0,1,57,31,14,323,0,0,3,5,0,0,0,0,0,0,0,0,5,45,10,27,12542,1,1
24,-1,36,0,6,33,8,5,56,12,0,0,3,1,4,5,0,1,0,2,68,34,15,379,0,0,2,4,2,0,1,0,0,0,0,0,7,31,33,21,12542,1,1
28,8,43,1,3,28,13,2,68,4,5,4,3,0,1,6,3,0,0,7,36,56,15,316,0,0,3,3,0,0,0,0,0,0,0,1,12,63,44,37,12542,1,1
32,18,57,0,6,34,18,7,62,8,1,1,3,1,5,4,5,0,1,2,58,49,19,235,0,0,1,5,7,0,3,1,0,0,1,0,5,50,37,25,12542,1,1
36,29,41,0,7,25,11,2,43,1,4,5,4,1,4,2,0,0,0,0,38,78,22,110,0,0,3,8,6,0,0,0,0,0,0,0,6,36,6,33,12542,1,1
40,41,42,0,7,20,20,0,41,3,5,0,1,1,4,1,2,0,0,2,19,98,27,79,0,0,0,0,0,0,8,0,0,1,0,2,1,26,3,23,12542,1,1
44,54,56,1,10,23,13,1,50,5,1,2,1,2,0,3,0,1,0,0,42,69,17,80,0,0,0,0,6,0,8,0,0,0,0,0,6,37,4,25,12542,1,1
48,67,48,2,4,11,15,1,46,7,0,3,3,0,5,8,4,0,2,25,44,56,6,95,0,0,2,7,4,0,10,0,0,0,0,0,11,28,5,22,12542,1,1
52,82,46,2,11,22,4,1,59,7,0,2,0,1,2,4,0,1,1,3,29,69,16,58,0,0,3,5,10,0,2,0,0,1,0,0,6,31,3,30,12542,1,1
56,98,71,0,15,20,7,1,37,5,0,0,1,1,2,1,0,0,0,1,17,99,13,63,0,0,1,0,5,0,6,3,0,0,0,0,9,66,0,51,12542,1,1
60,115,60,3,14,25,18,0,62,2,2,6,2,0,5,2,0,0,0,12,56,39,34,78,0,0,1,0,0,0,0,0,0,0,0,0,1,34,5,26,12542,1,1
64,133,60,0,10,17,13,1,49,12,0,1,1,1,0,3,2,0,0,1,42,42,30,84,0,0,4,6,6,0,2,0,0,0,0,1,5,34,1,31,12542,1,1
68,153,88,7,27,22,6,2,73,7,1,3,1,0,1,2,1,0,0,8,13,36,8,34,0,0,1,1,0,0,4,0,0,0,0,0,8,24,3,24,12542,1,1
72,175,127,0,30,27,3,1,50,7,0,0,0,0,3,1,0,0,2,0,19,27,8,31,0,0,1,0,2,0,2,0,0,0,0,0,5,30,1,30,12542,1,1
76,198,130,2,15,12,4,0,52,7,0,0,0,1,1,0,0,0,1,1,23,33,9,39,0,0,0,1,1,0,2,0,0,0,0,1,6,26,9,20,12542,1,1
80,223,94,3,11,37,3,1,109,9,3,2,0,1,5,4,0,0,0,2,7,15,7,21,0,0,1,1,0,0,0,0,0,0,0,2,1,24,16,23,12542,1,1
84,249,80,1,14,13,15,0,86,2,1,4,2,4,3,3,0,4,0,9,34,11,1,25,0,0,0,5,3,0,4,0,0,1,0,0,9,32,21,28,12542,1,1
88,277,69,2,10,22,9,3,86,10,0,2,0,1,7,0,0,0,0,6,41,11,8,12,0,0,0,2,10,1,1,0,1,2,0,0,6,28,9,27,12542,1,1
92,306,107,4,12,34,13,0,94,4,2,5,0,1,3,3,0,0,0,8,6,14,4,11,0,0,1,0,0,0,0,0,0,0,0,0,5,25,21,22,12542,1,1
96,334,47,4,18,28,13,0,109,6,4,3,2,2,8,6,0,0,0,4,22,18,3,24,0,0,4,0,0,2,0,0,0,0,0,0,0,36,7,34,12542,1,1
100,362,67,0,16,21,13,5,95,4,1,0,0,3,7,2,0,0,0,5,41,16,3,26,0,0,1,2,2,0,0,0,0,0,0,1,4,27,8,27,12542,1,1
104,391,60,3,9,27,10,5,72,5,0,1,3,5,2,6,2,0,1,3,51,27,5,47,0,0,8,0,6,0,1,0,0,0,0,3,3,53,26,38,12542,1,1
108,420,53,0,18,24,26,0,81,2,3,0,2,10,3,5,0,0,0,2,54,12,4,24,0,0,1,2,4,0,1,0,0,0,2,1,8,65,24,62,12542,1,1
112,451,75,0,19,23,16,1,85,7,0,0,1,4,6,3,0,0,0,3,32,17,6,49,0,0,4,5,2,0,0,0,0,3,5,1,4,52,16,48,12542,1,1
116,481,60,0,21,14,16,3,89,7,1,2,1,0,4,2,0,0,0,1,53,19,2,26,0,0,1,1,1,0,0,0,0,0,2,2,3,33,24,32,12542,1,1
120,510,49,0,17,24,25,0,90,1,0,1,0,2,6,5,0,0,0,5,42,16,3,20,0,0,4,4,0,0,0,0,0,1,0,5,9,43,37,40,12542,1,1
124,536,87,2,13,5,17,3,68,8,1,2,0,3,2,0,0,0,0,2,32,34,6,18,0,0,5,1,0,0,1,0,0,0,5,3,10,48,84,47,12542,1,1
128,557,70,0,21,25,9,1,61,7,0,1,0,1,5,3,2,0,0,6,57,21,8,17,0,0,6,1,0,0,3,0,0,0,4,14,12,69,160,63,12542,1,1
132,575,106,0,28,13,9,2,56,6,1,0,0,1,0,6,0,0,0,10,34,28,4,8,0,0,2,1,1,0,0,0,0,0,5,15,7,113,73,71,12542,1,1
136,589,80,3,17,13,15,3,60,3,1,0,0,0,7,5,1,0,1,3,48,19,5,14,0,0,3,0,3,0,5,0,0,2,0,11,8,85,81,48,12542,1,1
140,600,86,1,17,19,13,5,68,1,0,3,1,2,7,6,1,0,0,5,35,9,6,17,0,0,4,0,3,0,3,0,0,0,0,8,13,72,111,50,12542,1,1
144,610,92,0,17,11,11,4,66,5,0,1,1,4,4,3,0,0,0,4,38,14,6,38,0,0,6,1,5,0,2,0,0,0,1,5,8,55,63,51,12542,1,1
148,619,113,0,18,8,10,0,81,5,0,0,0,1,0,4,2,0,1,5,35,8,6,32,0,0,3,0,0,0,0,0,0,0,2,27,12,37,59,16,12542,1,1
152,630,107,0,28,15,10,3,70,4,0,1,0,2,4,6,3,0,0,1,24,14,9,34,0,0,0,1,0,0,1,0,0,0,0,22,7,75,51,52,12542,1,1
156,642,110,0,17,18,10,1,65,1,5,1,0,0,0,1,0,0,0,3,19,28,16,36,0,0,5,0,0,0,0,0,0,0,0,4,9,63,51,58,12542,1,1
160,657,138,3,14,19,11,2,45,5,0,0,1,0,4,4,0,0,0,7,20,16,8,13,0,0,4,0,0,0,1,0,0,0,1,19,6,114,278,0,0,0,0
164,675,129,0,15,19,21,0,67,7,0,1,0,0,2,2,1,0,0,6,34,10,3,7,0,0,0,0,0,0,0,0,0,0,0,14,3,78,195,0,0,0,0
168,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,726,147,0,9,13,19,0,41,7,0,2,0,2,5,6,6,0,0,10,23,5,9,6,0,0,1,0,0,0,1,0,0,0,0,20,8,74,374,0,0,0,0
176,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,802,124,0,9,14,20,0,63,3,0,1,0,4,2,11,7,0,0,14,37,7,4,1,0,0,0,0,0,0,0,0,0,3,0,5,10,63,250,0,0,0,0
184,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,894,179,0,10,13,5,0,46,3,2,0,0,1,6,5,2,0,0,5,29,3,2,3,0,0,1,0,0,0,0,0,0,0,0,20,7,63,319,0,0,0,0
192,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,978,113,0,15,14,27,0,60,3,0,0,0,0,2,13,4,0,0,9,31,8,9,0,0,0,2,0,0,0,0,0,0,0,0,9,7,25,128,0,0,0,0
200,1016,124,4,22,9,13,1,53,3,0,0,0,3,4,8,1,0,0,11,29,15,13,46,0,0,1,0,0,0,1,0,0,0,0,17,9,90,220,0,0,0,0
202,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,1086,96,4,7,6,13,1,35,0,0,0,1,1,2,2,5,0,0,7,15,54,1,0,0,0,1,0,0,0,54,0,0,2,0,1,7,20,373,0,0,0,0
210,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,1178,133,6,24,23,11,4,65,3,0,0,3,1,1,13,3,0,0,5,13,12,1,5,0,0,3,0,0,0,0,0,0,2,5,7,11,26,92,0,0,0,0
222,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,1257,107,7,18,23,15,0,86,0,0,0,0,3,3,16,0,0,0,7,22,4,6,6,0,0,8,0,0,0,1,0,0,0,0,4,8,73,33,0,0,0,0
234,1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,1326,111,5,26,14,10,1,77,3,0,0,1,0,0,7,2,0,0,8,18,11,5,5,0,0,1,0,0,0,0,0,0,2,6,7,7,51,95,0,0,0,0
246,1337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
