"sample.depths","sample.ages","Abies","Acer.saccharum.type","Alnus","Betula","Carya","Cupressaceae","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Larix","Ostrya","Picea","Pinus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiineae.undiff.","Cyperaceae","Onagraceae","Plantago","Poaceae","Ranunculus","Rosaceae","Thalictrum","Dryopteris.type","Equisetum","Lycopodium","Pteridium","Sparganium.type","Typha.latifolia","Indeterminable"
0,-51,2,17,3,4,2,0,0,2,9,1,1,3,1,107,1,15,4,0,0,8,23,4,20,0,1,2,0,1,4,41,0,0,9,0,0,0,2,0,32,0,42,0,0
10,2049,0,16,0,4,4,2,0,2,7,2,2,2,1,109,0,14,2,0,0,12,16,7,15,0,1,2,0,3,3,19,0,1,0,0,0,0,0,0,0,2,27,2,0
18,3729,0,11,0,3,1,3,0,6,2,0,1,9,0,63,0,42,1,0,0,3,40,16,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0
20,4149,1,23,0,5,4,7,0,0,5,0,0,3,0,67,0,42,0,0,0,1,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,6249,5,7,0,12,1,0,0,2,6,0,0,15,0,91,0,38,0,0,0,4,2,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,8349,0,6,1,5,1,1,0,1,4,3,3,15,1,107,0,31,0,0,0,3,4,15,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,NA,0,6,0,14,0,0,0,0,2,1,0,11,0,123,0,36,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,NA,1,3,0,4,1,1,0,0,0,1,0,14,1,137,0,27,0,0,0,1,4,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,NA,1,0,0,12,1,1,0,0,7,1,0,9,0,126,0,32,1,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,NA,0,0,0,8,4,0,0,0,8,1,0,4,1,142,0,30,4,1,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
90,NA,0,0,0,3,0,0,0,0,3,0,0,7,1,163,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,NA,1,0,0,6,1,0,0,0,3,0,0,3,0,164,0,16,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110,NA,4,3,1,8,1,0,0,0,4,0,0,2,2,145,0,22,1,0,0,0,1,8,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
120,NA,0,1,0,7,0,0,0,0,8,1,0,5,2,149,0,21,1,0,0,0,0,6,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
130,NA,1,1,0,7,1,1,0,0,3,0,0,9,2,149,0,14,2,0,0,0,4,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
140,NA,1,2,0,14,0,1,0,0,2,0,4,7,1,145,0,18,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
150,NA,2,2,0,14,4,0,0,1,5,0,1,5,2,129,0,25,0,0,0,0,1,9,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
160,NA,1,2,0,21,0,1,0,0,2,0,0,1,0,141,0,16,0,0,0,0,2,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,NA,3,0,0,18,1,0,0,1,4,1,5,12,1,127,0,14,2,0,0,0,1,12,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
180,NA,2,2,1,28,1,1,0,0,2,2,1,5,2,125,0,16,1,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
190,NA,15,2,0,16,1,1,0,0,5,2,2,8,5,110,1,24,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
200,NA,2,3,0,15,0,2,0,0,3,1,0,8,2,138,0,22,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
210,NA,1,3,0,13,1,4,0,0,6,1,2,5,7,133,0,14,2,0,0,1,0,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
220,NA,3,3,0,11,0,0,0,0,3,3,0,5,8,146,1,13,2,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
230,NA,3,3,0,12,0,0,0,0,5,0,3,15,9,122,0,24,0,0,0,0,0,4,0,0,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,1,0
240,NA,0,1,0,6,3,2,0,0,6,1,4,14,56,76,0,25,1,0,0,0,0,6,1,1,0,2,0,0,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0
250,NA,0,0,7,8,1,1,0,0,4,0,4,4,82,58,1,27,2,0,0,0,2,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
260,NA,1,4,3,17,0,6,0,0,9,2,7,2,65,35,1,42,2,0,0,0,4,5,1,0,1,1,0,1,0,6,0,0,7,0,1,0,1,0,0,1,0,2,0
268,NA,1,0,1,16,2,1,0,0,4,1,3,3,84,55,1,23,4,0,0,0,2,5,2,0,3,2,0,0,1,10,0,0,9,0,0,0,1,0,0,0,0,0,0
280,NA,0,0,4,6,1,5,0,0,4,0,2,1,161,10,0,7,1,0,0,0,2,1,1,0,5,6,1,0,0,10,0,0,8,0,0,1,0,0,1,0,0,0,0
290,NA,0,0,0,3,1,1,0,0,2,0,0,0,167,16,0,10,1,0,0,0,0,0,6,0,8,2,2,0,0,12,0,0,5,0,0,0,0,0,0,0,0,0,0
300,NA,0,0,0,5,0,2,0,0,2,1,0,5,164,10,0,9,1,0,0,0,1,1,2,3,13,16,1,2,0,8,0,0,6,0,0,1,0,0,0,0,0,0,0
310,NA,0,0,0,4,2,4,0,0,2,1,0,9,159,5,0,11,1,0,0,0,1,2,8,0,29,10,1,1,0,6,0,0,15,0,0,0,1,0,0,0,0,0,0
320,NA,0,0,0,4,0,3,0,0,4,0,0,8,150,14,0,14,1,0,0,0,1,2,1,0,7,17,0,0,0,7,0,0,5,0,0,0,3,0,0,0,0,0,1
330,NA,0,0,0,0,0,2,0,0,2,0,0,5,168,10,0,13,2,0,0,0,0,0,1,0,14,7,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0
340,NA,0,2,0,3,3,2,1,0,6,0,0,3,154,9,0,15,2,0,0,0,0,3,1,0,0,6,0,0,1,13,0,0,6,0,0,0,0,0,0,0,0,1,0
350,NA,0,0,3,3,0,10,1,0,8,0,0,8,126,24,2,17,24,0,0,1,0,1,2,2,23,20,0,1,0,113,0,0,16,0,0,3,1,0,0,0,0,0,0
360,NA,0,0,2,10,1,19,1,0,10,0,0,9,108,8,0,25,30,0,1,0,0,10,4,5,33,17,0,2,1,108,0,0,23,0,0,0,1,0,0,0,0,2,0
370,NA,0,2,0,5,0,7,0,0,11,0,0,15,111,19,2,22,14,0,0,0,1,5,3,1,37,16,0,1,0,103,0,0,24,0,0,0,2,0,0,0,0,0,0
380,NA,0,2,0,7,0,5,0,0,10,0,0,15,108,30,0,21,26,0,1,0,0,2,2,1,46,10,0,0,0,127,0,0,20,0,1,0,2,0,0,0,0,0,0
390,NA,0,0,1,13,0,11,0,0,16,2,0,10,105,20,1,18,27,0,0,0,1,3,3,4,49,17,1,1,0,119,0,0,20,0,0,0,0,0,0,0,0,0,0
400,NA,0,0,0,15,1,21,0,2,27,0,0,21,50,20,4,18,44,0,2,0,0,21,8,8,94,32,0,0,1,112,0,0,46,1,0,1,3,1,1,0,0,0,0
407,NA,0,1,8,26,0,9,1,0,31,1,0,16,50,18,0,28,44,0,1,0,0,20,3,1,56,34,1,2,2,145,1,0,38,0,0,0,0,0,0,0,0,0,0
