"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Amorpha.type","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Carya","Corylus","Cupressaceae","Cyperaceae","Drosera","Equisetum","Ericaceae","Fagus","Fraxinus","Ilex","Isoëtes","Juglans","Lamiaceae","Larix","Lycopodium.type","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Polygonum","Polypodium.type","Pterocarya","Quercus","Ranunculaceae.undiff.","Rosaceae","Salix","Selaginella","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Urtica.type","Valeriana","Viburnum"
0,1,6,0,30,0,19,0,0,0,0,47,0,0,4,0,0,0,0,62,2,1,0,0,0,0,0,3,0,3,1,0,0,0,29,11,3,16,0,0,0,2,0,2,0,0,7,0,0,2,1,1,0,0,0
20,120,19,3,7,0,3,0,0,0,0,120,0,0,6,0,0,0,0,10,13,1,2,0,0,0,0,3,0,3,0,0,0,0,69,30,0,3,0,2,0,1,0,0,0,0,0,0,0,13,0,1,0,0,0
50,592,7,4,5,0,0,0,0,0,1,72,0,0,3,0,1,0,0,68,32,0,0,0,0,0,0,1,0,4,0,0,2,0,18,50,0,3,0,0,0,6,0,0,0,0,0,0,0,75,0,3,0,3,0
70,946,5,1,4,0,1,0,0,0,0,61,0,0,3,0,1,0,0,68,11,1,0,0,0,0,0,3,0,6,0,0,0,0,30,41,0,0,0,1,0,4,0,0,0,0,0,0,0,39,2,0,0,0,0
90,1300,21,3,18,0,1,0,0,0,1,137,0,0,2,0,2,1,0,52,14,1,0,1,0,0,0,1,0,3,0,0,3,2,35,124,0,0,0,3,0,13,0,0,0,0,0,0,0,38,1,1,1,0,0
100,1477,0,1,10,0,0,0,0,0,0,50,0,0,1,0,1,0,0,26,9,0,2,0,0,0,0,0,0,2,0,0,0,0,26,22,0,0,0,0,0,3,0,0,1,0,0,0,0,45,0,0,0,0,0
120,1832,13,1,38,1,1,0,0,0,0,104,0,0,3,0,0,0,0,38,29,0,0,0,0,0,0,2,0,5,1,0,1,0,52,93,0,1,0,1,0,5,0,2,0,0,0,0,0,31,0,0,0,0,0
150,2363,3,0,6,0,0,0,0,0,0,29,0,0,0,0,1,0,0,50,3,0,0,0,0,0,1,1,0,1,0,0,0,0,29,34,0,1,0,1,0,3,0,0,0,0,1,0,0,41,0,1,0,0,0
170,2717,16,1,39,0,2,0,0,0,1,243,0,0,4,0,5,0,0,109,14,0,0,1,0,0,0,3,0,4,0,1,1,0,69,59,0,0,0,2,0,5,0,2,1,0,0,0,0,56,0,0,0,0,0
180,2894,1,0,1,0,0,0,0,0,0,32,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,2,0,0,0,0,8,57,0,0,0,0,0,1,0,0,0,0,0,0,0,37,0,0,0,0,0
