"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia","Anacardiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Carya","Caryophyllaceae","Castanea","Celtis","Clethra","Cornus","Corylus","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Ilex","Iva","Juglans","Juniperus","Liquidambar","Lycopodiaceae","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Polygonum","Pteridium","Quercus","Rosaceae","Rumex","Salix","Sphagnum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown"
30,NA,0,2,0,1,0,2,0,61,0,0,1,0,67,0,3,0,1,0,151,0,11,1,2,0,0,2,16,0,0,0,0,1,0,5,0,0,0,0,8,3,0,0,0,12,0,8,0,0,23,0,0,0,2,0,1,0,2,6
35,0,0,1,0,0,0,3,0,36,0,0,0,0,54,0,1,0,3,0,2,0,16,1,4,1,1,0,191,0,1,0,0,1,0,4,0,0,2,5,34,1,0,4,6,52,0,4,0,0,31,2,0,1,2,0,1,0,0,0
40,19,0,3,0,1,0,6,0,6,0,0,0,0,54,0,6,0,3,0,0,0,10,0,11,5,2,0,42,0,0,0,0,0,0,8,0,0,0,4,6,2,0,2,4,44,0,3,0,0,77,5,0,0,3,0,2,0,2,3
60,96,0,4,0,2,0,7,0,35,0,0,1,0,71,0,1,0,3,0,1,0,11,0,3,0,1,4,118,0,1,0,0,0,0,3,0,0,0,4,9,0,1,0,5,59,0,2,0,2,59,4,0,3,7,0,0,0,1,1
70,135,1,5,0,0,0,10,0,28,0,1,2,0,117,0,6,0,5,0,0,0,17,1,8,7,1,0,140,0,1,0,2,1,0,14,0,0,0,12,19,2,0,9,7,97,0,7,0,2,142,11,0,2,4,0,10,0,0,1
90,212,0,5,0,1,0,6,0,23,0,0,3,0,86,0,5,0,3,0,4,0,7,0,5,9,0,2,25,0,0,0,0,2,0,4,0,0,1,6,15,1,1,4,16,105,0,7,0,3,119,4,0,2,19,0,8,2,0,6
100,250,0,3,0,0,0,3,1,7,0,0,5,0,77,0,4,0,4,0,0,0,8,0,3,6,0,2,36,0,0,0,0,2,0,6,0,0,1,5,8,1,3,3,5,57,0,5,0,1,96,8,0,0,10,0,3,0,0,0
124,826,0,7,0,2,0,7,0,0,0,0,8,0,60,0,8,0,1,0,0,0,4,3,5,31,2,5,0,0,0,4,1,0,0,5,0,1,2,9,0,1,3,6,6,57,0,3,1,0,206,2,0,1,6,0,13,0,3,0
141,1235,0,9,0,3,0,10,1,0,0,0,6,1,56,0,20,0,4,1,0,0,4,3,5,35,5,1,1,0,1,0,0,0,0,2,0,2,10,5,0,1,0,21,10,53,0,8,0,1,217,3,0,2,2,1,17,0,2,0
158,1643,0,5,0,3,0,19,0,0,1,0,6,0,57,0,10,0,3,0,0,1,6,4,4,21,3,7,0,0,0,0,0,0,0,4,0,0,10,9,0,1,0,10,9,49,1,1,1,1,196,7,1,0,2,0,15,0,2,0
174,2027,1,11,0,1,0,16,1,1,0,0,4,0,57,0,20,0,4,0,0,0,4,3,1,20,5,5,0,0,0,0,0,0,0,2,1,0,1,23,1,2,0,7,21,52,1,0,3,1,207,7,0,1,3,0,13,1,5,0
