"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Campanulaceae","Cannabaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Ephedra","Equisetum","Euphorbia","Fagus","Fraxinus","Indeterminable","Iva.annua.type","Juglans.cinerea","Juglans.nigra","Larix","Lycopodiaceae.undiff.","Lycopodium.clavatum","Lycopodium.obscurum","Morus","Myrica","Myriophyllum","Nuphar","Ostrya.Carpinus","Parthenocissus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Populus.tremuloides.type","Potamogetonaceae","Pteridium.type","Quercus","Rosaceae","Sagittaria","Salix","Salsola","Sarcobatus.vermiculatus","Shepherdia.argentea","Sparganium.type","Sphagnum","Thalictrum","Tidestromia.type","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Utricularia","Vitis"
1520,4356,0,0,0,0,0,24,2,3,0,0,10,3,0,38,0,0,0,0,0,0,0,0,0,6,2,15,0,0,0,1,0,0,7,2,0,1,0,1,0,0,0,0,0,0,0,7,0,8,18,59,81,1,9,8,1,0,34,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1540,4840,2,0,0,0,2,54,5,10,0,0,20,8,0,78,1,0,0,0,0,0,0,0,1,10,4,16,1,0,0,0,0,0,14,6,1,0,1,3,0,0,0,0,0,0,0,6,0,12,64,50,119,2,27,9,0,9,42,0,0,7,0,0,0,0,1,0,0,0,0,0,10,0,0,3,0,2
1560,5380,0,0,0,0,0,29,5,6,0,1,14,3,1,21,0,0,0,0,0,0,0,0,0,7,3,12,0,0,0,0,0,0,5,1,1,0,0,0,0,0,1,0,0,0,0,4,0,2,35,27,60,0,20,5,1,2,28,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
1570,5674,0,0,0,0,1,44,6,8,0,0,17,2,0,35,1,0,0,0,0,0,0,0,0,2,2,54,0,0,0,0,0,0,9,5,1,1,1,1,0,0,0,0,0,0,0,4,0,2,45,42,82,2,22,10,0,7,26,1,0,9,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0
1580,5984,2,0,0,0,0,28,5,7,0,0,7,6,0,31,0,0,0,0,0,0,0,2,0,7,0,12,0,0,0,0,0,0,19,8,0,0,0,4,0,0,0,0,0,0,0,15,0,7,11,160,73,1,17,5,0,5,47,0,0,4,0,0,0,0,0,0,0,2,0,1,15,1,0,1,0,0
1590,6311,1,0,0,0,0,14,7,10,0,0,14,3,0,25,0,0,0,0,0,0,0,1,0,7,1,5,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,18,0,2,23,131,46,0,11,1,0,0,56,0,0,1,0,0,0,0,0,0,0,1,0,1,6,0,0,1,0,1
1600,6656,0,0,0,0,1,22,8,5,0,0,19,4,0,21,0,0,0,0,0,0,0,0,0,5,2,8,0,0,0,0,0,0,11,3,0,0,1,0,0,0,0,0,0,0,0,18,0,1,16,17,39,0,14,4,0,0,48,0,0,4,0,0,0,0,0,0,1,1,0,6,13,0,0,1,0,0
1610,7011,2,0,0,0,0,22,7,11,0,0,8,1,0,26,0,0,0,0,0,0,0,0,0,4,3,9,1,3,0,0,0,0,12,0,1,0,0,2,0,0,0,0,0,0,0,16,0,2,52,52,89,1,18,6,2,6,52,0,0,2,0,0,0,0,0,1,0,1,0,1,7,0,0,0,0,2
1620,7369,0,0,0,0,3,18,8,14,1,0,24,4,0,32,0,0,0,0,0,0,0,0,0,10,4,15,0,1,0,0,0,1,12,1,0,0,2,0,0,0,0,0,0,0,0,23,0,5,7,15,49,0,25,3,0,8,63,0,0,9,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,1
1628,7651,0,0,0,0,1,11,4,9,1,0,15,7,0,35,0,0,0,0,0,0,0,0,0,6,1,23,0,2,0,0,0,0,14,1,1,0,0,0,0,0,0,0,0,0,0,24,0,0,11,10,21,1,18,2,0,1,60,1,0,8,0,0,0,0,0,0,0,0,0,0,9,2,1,2,0,0
