"sample.depths","sample.ages","Acer.negundo","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana.type","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Bidens.type","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Castanea","Catalpa.speciosa","Celastraceae","Celtis.Maclura.type","Cephalanthus.occidentalis","Cheilanthes","Chenopodium.type","Cornus.florida","Corylus","Cupressaceae","Cyperaceae","Cystopteris","Dennstaedtia","Diodia","Dodecatheon","Dryopteris","Equisetum","Ericaceae","Fagus","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.quadrangulata.F..nigra.type","Fraxinus.undiff.","Galium","Hypericum","Hypoxis.hirsuta","Ilex","Indeterminable","Iva","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Lamiaceae","Liquidambar.styraciflua","Liriodendron.tulipifera","Lonicera","Lycopodiaceae","Magnolia","Malvaceae","Mitella","Morus","Myrica.type","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Platanus","Poaceae.undiff.","Polygonum.hydropiper.type","Polypodium","Populus","Potamogeton","Prunus","Pteridium","Quercus","Rhamnus","Robinia","Rubus","Rumex","Salix","Sambucus","Solanaceae","Sparganium.type","Thalictrum","Tilia","Toxicodendron.radicans","Trifolium","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica","Viburnum","Vitis","Xanthium","Zanthoxylum.americanum","Zea.mays"
10,-23,1,0,2,1,3,68,2,0,4,0,0,4,1,0,3,13,2,0,0,0,4,0,0,3,0,1,4,11,0,0,0,0,0,0,1,1,17,20,3,0,0,0,1,2,0,0,4,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,29,34,6,3,0,2,75,0,0,1,4,0,0,129,0,0,3,0,28,2,0,0,2,0,0,0,0,2,15,1,2,0,2,0,0,0
20,-15,1,0,0,1,4,108,0,0,8,0,0,4,4,0,1,17,4,3,1,0,2,10,0,2,0,1,2,13,0,0,1,0,0,2,0,1,17,17,6,0,0,0,0,2,0,0,5,5,0,7,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,7,30,32,2,3,0,0,27,0,0,0,1,1,0,109,1,0,2,1,41,3,0,0,0,0,0,0,0,1,10,0,0,0,3,3,1,0
30,-7,0,0,0,1,4,237,1,1,3,0,0,5,1,0,0,10,2,2,1,0,0,4,0,1,0,1,4,15,0,0,0,1,0,0,0,0,16,19,2,0,0,0,0,4,0,0,4,5,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,27,41,4,6,0,1,17,0,0,1,57,0,0,123,0,0,1,0,38,3,1,0,0,0,0,0,1,1,1,0,0,1,2,0,0,1
40,1,1,0,0,0,3,236,0,0,18,0,0,3,4,0,3,9,2,44,2,0,0,7,0,2,0,1,4,16,0,0,0,0,0,0,1,4,6,7,0,0,0,0,1,7,1,0,9,5,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4,36,58,3,3,0,0,32,0,0,0,50,0,0,123,0,0,1,3,27,1,0,0,0,0,0,1,0,4,4,0,2,0,1,4,0,2
50,9,0,0,0,0,1,569,0,0,16,0,0,2,10,0,1,1,0,22,0,0,0,3,0,2,1,0,4,22,0,0,0,0,0,0,0,0,4,10,6,0,1,0,0,6,1,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,26,54,0,1,0,2,20,0,0,0,6,0,0,136,0,0,14,0,12,0,1,0,0,0,0,0,0,7,4,0,0,1,1,10,0,1
70,25,0,1,0,0,1,208,0,0,8,0,0,8,3,0,3,1,0,18,0,0,0,6,0,1,0,1,7,7,0,0,0,0,0,0,0,0,9,8,5,0,0,0,0,8,1,0,4,5,0,2,0,0,0,1,0,0,2,1,0,0,1,1,0,0,0,3,29,43,3,1,0,0,26,0,0,0,7,0,0,128,0,0,3,2,23,2,0,0,0,0,0,0,0,11,1,0,1,0,2,0,0,0
90,41,0,0,1,1,3,321,1,0,45,0,0,6,13,0,0,7,0,10,0,0,0,0,0,2,0,0,2,14,0,0,1,0,0,0,0,0,6,3,1,0,0,0,0,6,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,82,2,0,0,0,19,1,0,0,1,0,0,137,0,0,5,0,16,1,1,1,0,0,0,0,0,0,4,0,0,0,1,6,0,2
110,57,0,1,0,0,1,303,0,0,36,1,0,1,17,0,0,8,0,18,1,0,1,4,0,1,0,1,4,44,0,0,0,0,0,0,0,1,3,8,1,0,0,1,0,8,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,25,79,0,0,1,1,27,1,0,0,1,0,0,139,0,1,2,0,18,0,0,1,1,0,0,0,0,0,1,0,1,0,3,2,0,0
130,73,0,0,1,0,0,254,0,0,21,0,0,1,10,0,2,4,0,7,0,0,0,2,0,0,0,0,3,27,0,0,0,0,0,0,1,1,2,4,3,0,0,0,0,7,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,37,67,0,0,0,0,13,0,0,0,0,0,0,101,0,1,2,0,74,0,1,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0
150,88,0,1,0,0,0,723,0,0,41,1,0,0,7,0,3,5,0,10,3,0,0,1,0,0,0,1,0,15,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,10,1,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,22,39,0,0,0,0,21,0,0,0,1,0,0,74,0,0,0,0,191,2,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,3
