"sample.depths","sample.ages","upland.sum","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Ranunculaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Rosaceae.undiff.","Juniperus.type","Ephedra","Poaceae","Abies.balsamea","Acer.saccharum","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Cyperaceae","Ericaceae","Brassicaceae","Rhamnus.cathartica","Acer.spicatum","Tilia","Carya.ovata","Castanea.dentata","Salix.undiff.","Populus.balsamifera.type","Corylus.cornuta","Amaranthaceae","Impatiens","Taxus","Nemopanthus.mucronatus","Thalictrum","Caryophyllaceae","Polygonum.lapathifolium.type","Acer.saccharinum","Morus.rubra.type","Pinus.resinosa.type","Saxifragaceae.undiff.","Shepherdia.canadensis","Prunus.pensylvanica","Acer.cf..A..pensylvanicum","Salix.herbacea.type","Lonicera","Epilobium","Polygonaceae.undiff.","Viburnum","Onagraceae.undiff.","Salix.vestita.type","cf..Oxyria.digyna","Prunus.undiff.","Fabaceae.undiff.","Asteraceae.subf..Cichorioideae","Oxytropis.maydelliana.type","Potentilla.palustris.type","Saxifraga.cernua.type"
5,61,584,3,1,7,4,24,1,254,20,3,1,1,9,2,4,66,29,1,9,1,1,4,1,1,14,1,5,12,11,5,13,37,6,9,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,305,698,1,1,6,3,2,3,322,43,8,0,0,9,4,0,36,47,3,23,0,2,8,0,1,2,0,6,5,19,1,26,39,0,4,64,0,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,610,460,0,1,0,7,1,1,240,28,2,1,0,2,2,0,12,15,1,24,0,0,3,0,1,7,0,8,9,16,1,18,8,0,0,36,3,3,2,0,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,915,426,0,0,1,0,2,3,205,29,6,2,3,1,0,0,10,4,0,22,0,0,6,0,0,0,0,4,1,8,0,30,47,0,2,35,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1220,580,0,1,7,3,3,2,267,28,3,2,1,4,5,0,43,19,1,32,0,1,6,0,0,0,0,3,0,33,0,25,13,0,1,49,12,9,1,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1525,704,0,6,4,1,2,1,309,75,12,2,2,5,0,0,26,20,0,20,0,0,11,0,3,5,0,7,9,30,2,24,29,0,0,67,4,17,1,0,0,1,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1830,703,0,1,7,3,0,1,378,37,3,2,0,2,3,0,20,32,0,14,0,0,16,0,0,4,0,5,1,22,0,14,15,0,3,74,7,23,7,0,0,0,3,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2135,591,0,1,4,0,0,4,300,53,5,2,0,1,0,0,5,30,0,14,0,0,9,0,0,2,0,5,0,10,1,29,11,0,0,74,4,17,6,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2440,750,0,2,2,6,0,1,380,72,8,2,1,6,3,0,9,25,1,13,0,0,18,0,1,5,0,3,9,25,1,9,21,0,2,100,2,5,0,0,0,0,2,3,3,3,0,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2745,476,0,0,10,5,2,2,281,15,3,1,0,5,1,0,2,12,0,11,0,1,9,0,0,0,0,5,6,10,1,13,22,0,0,44,0,5,5,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,3050,412,0,2,0,2,0,0,188,49,4,2,0,2,3,0,1,16,0,13,0,0,8,0,1,1,0,4,8,19,0,19,21,0,0,30,1,9,0,0,0,2,0,2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,3355,548,0,2,10,3,0,1,251,35,13,7,0,1,4,0,8,19,0,16,0,1,9,0,1,3,0,7,6,25,1,23,36,0,0,43,4,13,1,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,3608,719,0,2,0,9,0,1,363,51,10,6,1,0,8,0,3,55,4,24,0,2,7,0,1,3,0,9,5,18,3,19,50,0,0,43,2,8,1,0,0,0,0,4,0,2,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,3741,406,0,1,4,3,0,0,213,29,3,2,0,2,3,0,3,12,0,11,0,0,10,0,1,4,0,3,7,17,1,4,17,0,0,47,1,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,3874,454,0,0,1,6,0,0,221,47,3,2,0,0,3,0,3,22,0,14,0,1,9,0,0,1,0,4,3,12,0,15,10,0,0,56,3,7,1,0,0,2,1,0,0,2,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,4007,552,0,1,12,0,0,0,309,32,1,1,1,0,1,0,9,6,0,22,0,0,12,0,0,1,0,2,1,11,0,47,29,0,1,38,0,8,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,4139,597,0,3,8,0,1,1,306,21,5,2,1,1,3,0,6,44,1,20,0,1,9,0,0,2,0,5,5,28,2,43,32,0,1,30,4,8,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,4272,616,0,3,7,5,0,0,339,40,5,3,0,0,6,0,2,7,3,23,0,2,8,0,1,1,0,9,0,19,1,34,58,0,2,28,0,4,2,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,4405,477,0,2,11,1,1,0,246,23,6,1,0,0,3,0,3,37,4,10,0,0,5,0,0,1,0,4,2,20,2,31,27,0,0,20,2,7,1,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,4538,489,0,1,9,4,2,0,251,16,6,3,1,0,3,0,2,22,0,38,0,0,7,0,1,1,0,0,3,19,1,34,35,0,0,15,1,11,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,4671,604,0,2,7,1,1,0,375,13,5,1,2,1,2,0,3,29,5,18,0,1,22,0,0,0,0,3,0,22,0,12,29,0,0,25,0,18,1,0,0,0,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,5227,701,0,0,25,4,1,1,358,23,9,2,0,1,2,0,7,42,3,24,0,2,10,0,0,0,0,2,4,16,2,10,51,0,1,75,3,2,1,0,0,1,1,2,1,0,0,1,1,0,5,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,5784,640,1,0,10,3,0,3,233,7,12,3,1,0,2,0,3,103,3,17,0,1,3,0,0,4,0,5,0,12,0,10,39,0,1,154,1,4,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,6341,471,0,1,14,1,0,0,230,10,1,1,0,0,1,0,1,27,0,21,0,0,7,0,0,3,0,0,0,8,0,23,33,0,2,76,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
