"sample.depths","sample.ages","Acer.negundo","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Rumex","Salix","Thalictrum","Tilia","Ulmus","Apiaceae","Alnus","Ambrosia","Juniperus.Thuja","Populus","Poaceae","Brassicaceae","Dalea.candida","Iva.xanthifolia","Abies.balsamea","Acer.saccharum","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Fraxinus.pennsylvanica","Humulus.lupulus","Pinus.strobus.type","Parthenocissus","Asteraceae.subf..Asteroideae.undiff.","Juglans","Polygonum","Carya","Caryophyllaceae","Sarcobatus.vermiculatus","Plantago","Larix.laricina","Vitis","Galium","Ephedra","Iva.annua","Acer.rubrum","Celtis","Liliaceae","Amorpha","Rosaceae","Ericaceae","Xanthium","Hydrophyllum.virginianum","Ranunculaceae.undiff.","Dalea.purpurea","Impatiens","Platanus","Lythrum.alatum","Viburnum.lentago","Lamiaceae","Arceuthobium","Shepherdia.argentea","Shepherdia.canadensis"
1,-8,0.00209205020920502,0.0167364016736402,0.131799163179916,0.0481171548117155,0.0125523012552301,0.0606694560669456,0.00209205020920502,0.0523012552301255,0.00836820083682008,0.119246861924686,0.177824267782427,0.00209205020920502,0.00627615062761506,0.00209205020920502,0.00836820083682008,0.096234309623431,0.00418410041841004,0.0271966527196653,0.0815899581589958,0.00418410041841004,0.0146443514644351,0.0606694560669456,0.00209205020920502,0.00209205020920502,0.00209205020920502,0.00418410041841004,0.00418410041841004,0.00836820083682008,0.0125523012552301,0.0125523012552301,0.00418410041841004,0.00836820083682008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,36,0,0.0204498977505112,0.139059304703476,0.0470347648261759,0.016359918200409,0.065439672801636,0.00204498977505112,0.081799591002045,0.00613496932515337,0.104294478527607,0.16359918200409,0,0.0102249488752556,0.00204498977505112,0.0347648261758691,0.0572597137014315,0,0.0265848670756646,0.0879345603271984,0,0.0102249488752556,0.0674846625766871,0.00408997955010225,0,0,0,0.0081799591002045,0.00204498977505112,0.0102249488752556,0.00613496932515337,0.00613496932515337,0,0.00204498977505112,0.0122699386503067,0.00204498977505112,0.00408997955010225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,59,0,0.0448430493273543,0.13677130044843,0.0201793721973094,0.015695067264574,0.0426008968609865,0,0.0695067264573991,0.015695067264574,0.219730941704036,0.13677130044843,0,0.00448430493273543,0.00224215246636771,0.031390134529148,0.0762331838565022,0,0.015695067264574,0.0717488789237668,0,0.00896860986547085,0.0358744394618834,0,0.00224215246636771,0.00224215246636771,0.00672645739910314,0.00672645739910314,0.00896860986547085,0.00448430493273543,0.00448430493273543,0,0.00224215246636771,0,0.00672645739910314,0,0,0.00224215246636771,0.00224215246636771,0.00224215246636771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,116,0,0.0579064587973274,0.260579064587973,0.0022271714922049,0.0267260579064588,0.0378619153674833,0,0.102449888641425,0.0089086859688196,0.144766146993318,0.122494432071269,0,0.0089086859688196,0.0044543429844098,0.0334075723830735,0.0601336302895323,0,0.0200445434298441,0.0267260579064588,0.0022271714922049,0,0.0334075723830735,0,0,0.0022271714922049,0,0.0044543429844098,0.0022271714922049,0.0066815144766147,0.0022271714922049,0,0.0111358574610245,0,0.0111358574610245,0,0,0.0022271714922049,0,0,0.0022271714922049,0.0022271714922049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,208,0,0.0279187817258883,0.15989847715736,0.0050761421319797,0.0279187817258883,0.0253807106598985,0,0.126903553299492,0.0228426395939086,0.213197969543147,0.157360406091371,0,0.0050761421319797,0.00253807106598985,0.0355329949238579,0.0532994923857868,0,0.0279187817258883,0.0228426395939086,0.00253807106598985,0.00253807106598985,0.032994923857868,0,0,0,0.00761421319796954,0,0.00253807106598985,0.0152284263959391,0.0050761421319797,0,0.0050761421319797,0,0.00761421319796954,0,0,0.00253807106598985,0,0.00253807106598985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,300,0,0.0416666666666667,0.245098039215686,0.00245098039215686,0.0245098039215686,0.0196078431372549,0,0.0612745098039216,0.0196078431372549,0.181372549019608,0.16421568627451,0,0.00980392156862745,0.00245098039215686,0.0196078431372549,0.0588235294117647,0.00245098039215686,0.0196078431372549,0.0196078431372549,0,0.0220588235294118,0.0367647058823529,0,0,0,0,0.00490196078431373,0.017156862745098,0.00245098039215686,0,0,0.0122549019607843,0,0.00735294117647059,0,0,0,0,0.00245098039215686,0,0.00245098039215686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,392,0,0.0454545454545455,0.184210526315789,0.0119617224880383,0.0215311004784689,0.0358851674641148,0,0.069377990430622,0.0334928229665072,0.210526315789474,0.148325358851675,0,0.00239234449760766,0,0.0191387559808612,0.0334928229665072,0,0.00717703349282297,0.0143540669856459,0.00239234449760766,0.0550239234449761,0.0406698564593301,0,0,0,0,0.00239234449760766,0.0191387559808612,0.0119617224880383,0.00239234449760766,0,0.00478468899521531,0,0.0119617224880383,0,0,0.00239234449760766,0,0.00239234449760766,0,0.00717703349282297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,622,0,0.0260115606936416,0.216763005780347,0.00289017341040462,0.0115606936416185,0.023121387283237,0,0.069364161849711,0.0289017341040462,0.199421965317919,0.170520231213873,0,0,0.00289017341040462,0.0115606936416185,0.0289017341040462,0,0.0375722543352601,0.0173410404624277,0.0173410404624277,0.0346820809248555,0.0144508670520231,0,0,0,0.00578034682080925,0.00289017341040462,0.0289017341040462,0.00867052023121387,0.00289017341040462,0,0.0173410404624277,0,0.00867052023121387,0,0,0,0,0,0,0.00867052023121387,0.00289017341040462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,807,0.00239234449760766,0.0478468899521531,0.0933014354066986,0.00239234449760766,0.0119617224880383,0.0717703349282297,0,0.090909090909091,0.0191387559808612,0.19377990430622,0.12200956937799,0,0.0119617224880383,0.00717703349282297,0.0215311004784689,0.0382775119617225,0,0.0167464114832536,0.0239234449760766,0.00239234449760766,0.00478468899521531,0.0430622009569378,0,0,0,0.00478468899521531,0.00956937799043062,0.0645933014354067,0.0119617224880383,0,0,0.0430622009569378,0,0.0191387559808612,0.00478468899521531,0,0.00239234449760766,0,0.00478468899521531,0.00239234449760766,0.00478468899521531,0,0.00239234449760766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,991,0.00465116279069767,0.0441860465116279,0.130232558139535,0.0116279069767442,0.027906976744186,0.0488372093023256,0,0.0976744186046512,0.0209302325581395,0.183720930232558,0.174418604651163,0,0.00697674418604651,0.00465116279069767,0.0162790697674419,0.0465116279069767,0,0.0232558139534884,0.0232558139534884,0.00232558139534884,0.00930232558139535,0.0255813953488372,0,0,0,0.00930232558139535,0.013953488372093,0.0162790697674419,0.00930232558139535,0.00697674418604651,0,0.0116279069767442,0,0.0186046511627907,0,0,0,0,0.00232558139534884,0,0.00465116279069767,0,0,0.00232558139534884,0.00232558139534884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,1175,0,0.0358744394618834,0.118834080717489,0.00224215246636771,0.0224215246636771,0.0291479820627803,0,0.0986547085201794,0.00672645739910314,0.145739910313901,0.177130044843049,0,0.00672645739910314,0.00672645739910314,0.0246636771300448,0.0269058295964126,0.00224215246636771,0.0269058295964126,0.0269058295964126,0.0179372197309417,0.0179372197309417,0.0672645739910314,0,0,0,0.00672645739910314,0.0269058295964126,0.0291479820627803,0.0112107623318386,0.00224215246636771,0,0.0358744394618834,0,0.00672645739910314,0,0,0.00224215246636771,0,0,0,0.00448430493273543,0,0,0,0,0.00224215246636771,0.00224215246636771,0.00448430493273543,0.00224215246636771,0.00224215246636771,0,0,0,0,0,0,0,0,0,0,0,0,0
165,1267,0,0.025,0.133333333333333,0.00833333333333333,0.0222222222222222,0.0444444444444444,0,0.113888888888889,0.0166666666666667,0.130555555555556,0.194444444444444,0,0.00277777777777778,0,0.0277777777777778,0.0722222222222222,0,0.025,0.0194444444444444,0.0138888888888889,0.0277777777777778,0.0416666666666667,0,0,0,0.00555555555555556,0.0138888888888889,0.0138888888888889,0.00555555555555556,0.00833333333333333,0,0.0166666666666667,0,0,0,0,0,0.00277777777777778,0,0,0.00833333333333333,0,0,0,0,0,0,0,0.00277777777777778,0.00277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0
195,1543,0,0.0289156626506024,0.173493975903614,0.0192771084337349,0.0192771084337349,0.0457831325301205,0,0.0698795180722892,0.00963855421686747,0.0746987951807229,0.240963855421687,0,0.0072289156626506,0.00963855421686747,0.0192771084337349,0.0457831325301205,0,0.036144578313253,0.0289156626506024,0.0120481927710843,0.0289156626506024,0.0385542168674699,0,0,0,0,0.00240963855421687,0.0192771084337349,0.00240963855421687,0.00963855421686747,0,0.0216867469879518,0,0.00963855421686747,0,0,0,0,0.00240963855421687,0,0.0120481927710843,0,0.00240963855421687,0,0.00240963855421687,0,0.00240963855421687,0,0,0.00240963855421687,0.00240963855421687,0,0,0,0,0,0,0,0,0,0,0,0
215,1727,0,0.013262599469496,0.0981432360742706,0.0106100795755968,0.0106100795755968,0.0450928381962865,0,0.0450928381962865,0.013262599469496,0.20159151193634,0.358090185676393,0,0,0,0.013262599469496,0.0450928381962865,0,0.0212201591511936,0.00530503978779841,0,0.00795755968169761,0.039787798408488,0,0,0,0.0159151193633952,0,0.0106100795755968,0,0,0,0.0344827586206897,0,0.00795755968169761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026525198938992,0,0,0,0,0,0,0,0,0,0,0
