"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.saccharinum.type","Acer.undiff.","Alnus.undiff.","Ambrosia.type","Artemisia","Betula","Carya","Celtis","Amaranthaceae.undiff.","Pinaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juglans","Populus","Poaceae","Abies","Cephalanthus","Tsuga","Myricaceae","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Vitis","Galium","Pinus.subg..Pinus","Rumex","Tilia","Urtica.type","Fabaceae","Iva","Larix","Thalictrum","Cornus","Liquidambar","Sarcobatus.vermiculatus","Rosaceae","Shepherdia","Acer.spicatum"
5,1,306,7,1,2,15,54,1,41,5,2,1,1,1,4,2,4,3,7,20,3,4,3,14,4,44,4,1,27,3,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,29,291,6,1,0,21,74,2,24,3,0,5,3,0,0,9,3,1,4,11,2,3,6,17,2,38,1,4,16,3,7,19,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,67,320,5,0,0,11,45,2,14,0,0,3,1,0,3,5,12,17,3,26,1,1,2,32,0,53,1,1,12,1,19,33,0,0,3,0,2,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,97,319,4,0,2,9,17,3,51,1,0,0,0,0,1,3,20,6,5,13,10,0,15,37,2,53,2,2,17,0,1,19,0,0,2,0,1,9,0,0,1,2,5,3,1,1,1,0,0,0,0,0,0,0,0
60,376,306,8,1,1,15,4,2,42,3,0,2,0,1,1,2,22,7,6,17,20,1,0,61,0,55,1,0,19,1,1,2,2,0,3,0,0,0,0,1,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0
94,1106,321,7,0,0,13,6,2,47,3,0,2,4,2,1,5,26,3,5,10,12,1,29,26,2,76,1,1,17,0,0,1,0,0,10,1,0,0,0,1,0,3,0,1,0,0,0,1,1,1,0,0,0,0,0
154,1718,318,4,1,1,22,3,2,39,5,0,0,0,2,3,6,10,6,5,17,10,1,0,56,0,94,0,4,11,2,2,5,0,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
194,2125,324,3,0,1,23,3,4,22,3,0,2,0,0,0,3,14,7,2,11,7,0,25,60,1,84,1,0,11,2,3,3,0,0,3,1,1,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
214,2329,306,5,0,0,19,4,3,19,1,0,0,1,3,1,12,8,5,1,12,7,0,15,52,0,108,4,2,12,2,1,4,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
254,2736,316,5,0,2,11,0,2,29,3,0,1,1,2,1,2,7,13,1,18,12,2,0,74,1,103,1,2,9,1,0,8,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0
294,3144,299,8,0,0,22,5,0,31,2,0,0,0,1,3,7,12,4,6,18,13,0,9,30,2,88,5,1,13,1,1,3,0,0,4,0,0,0,0,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0
314,3348,321,13,0,0,18,1,0,33,3,0,0,0,1,3,8,24,10,6,26,15,0,14,21,3,84,3,2,17,2,1,5,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
334,3567,314,10,1,2,24,4,2,31,7,0,0,0,0,1,8,32,8,0,22,11,0,0,31,3,86,2,0,13,1,3,3,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
374,4006,310,6,0,0,15,3,1,20,3,0,4,0,0,0,7,14,9,3,14,10,2,0,43,3,123,0,4,13,0,3,2,0,0,3,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
394,4226,311,4,0,1,18,2,1,30,1,0,2,1,0,1,12,15,8,3,15,20,2,0,35,1,103,1,3,12,5,2,6,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
414,4446,311,1,0,0,5,2,1,34,1,1,0,0,2,4,5,11,4,3,17,7,0,5,24,3,142,0,3,7,1,3,7,0,0,0,0,1,4,1,0,0,8,0,2,1,0,1,0,0,0,0,0,0,0,0
434,4666,326,5,0,0,21,1,1,24,1,0,0,0,0,7,9,10,14,1,17,11,0,10,21,1,115,3,2,18,0,0,9,0,0,2,0,0,21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
454,4886,309,4,0,0,1,2,1,25,0,0,0,0,9,7,12,14,9,5,20,9,0,0,48,0,106,2,2,16,5,1,5,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
474,5106,319,6,1,5,1,4,2,19,3,0,1,0,5,1,6,26,8,9,25,22,1,0,48,2,78,0,1,22,2,2,6,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,3,0,0,1,0,0,0,0
484,5216,314,6,0,1,4,3,2,9,7,0,1,0,0,0,3,9,7,1,14,6,0,10,45,2,151,1,1,16,4,0,4,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
494,5326,316,4,0,3,1,5,0,3,5,0,0,0,2,0,5,10,10,3,23,8,0,0,62,1,139,2,1,18,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
504,5436,315,6,0,0,3,5,1,15,3,0,0,0,0,2,4,6,6,0,20,23,1,7,21,2,132,2,2,31,7,0,8,0,0,0,0,0,3,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0
514,5546,310,9,0,1,5,3,1,11,4,0,2,0,0,2,6,5,7,7,16,15,0,12,12,4,133,4,0,24,4,1,11,0,0,1,1,1,0,0,1,0,3,0,2,0,0,0,1,0,0,1,0,0,0,0
523,5737,316,11,1,1,4,6,2,9,0,0,0,0,1,2,4,4,6,4,14,21,0,8,22,1,122,1,0,44,7,1,2,0,0,2,0,0,3,1,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0
534,6366,317,3,0,4,4,10,5,9,4,0,2,0,0,1,2,2,5,3,18,14,0,0,29,0,160,0,0,28,3,2,5,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
540,6709,360,11,1,0,3,9,4,4,4,0,3,0,3,10,4,2,8,15,25,33,0,23,16,2,128,1,0,30,3,0,4,0,0,0,0,0,3,0,0,0,4,0,5,0,1,1,0,0,0,0,0,0,0,0
544,6938,314,9,0,1,3,8,2,5,3,0,4,0,2,2,4,1,4,4,10,24,0,7,16,2,135,2,0,42,6,0,6,0,0,0,0,0,3,0,0,0,6,0,2,0,0,1,0,0,0,0,0,0,0,0
550,7296,328,20,0,0,4,4,4,7,3,0,0,0,1,5,3,3,3,4,13,28,0,14,14,4,101,1,2,69,4,0,3,0,0,0,0,0,4,0,0,0,3,0,6,0,0,0,1,0,0,0,0,0,0,0
554,7587,301,12,0,0,6,5,2,5,9,0,0,0,1,1,4,5,10,6,20,22,2,0,0,3,135,1,0,41,4,2,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
557,7805,314,24,0,0,2,2,0,4,11,1,2,0,1,3,3,2,0,3,7,47,0,5,19,4,110,1,0,46,5,1,3,0,0,0,0,0,2,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
559,7950,319,10,0,0,1,0,0,6,6,0,2,1,1,2,0,1,9,5,14,25,0,5,7,1,152,0,0,57,1,1,0,0,0,0,0,1,1,0,1,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0
564,8313,372,10,1,0,2,4,3,3,6,1,3,0,3,2,5,1,5,2,13,67,1,17,43,3,94,2,0,55,9,0,3,1,0,0,1,0,2,0,1,0,5,0,3,0,0,1,0,0,0,0,0,0,0,0
569,8676,321,15,0,0,1,2,0,14,5,0,4,0,1,5,3,1,3,0,5,59,0,21,26,4,106,1,1,36,0,1,3,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
574,9040,313,3,0,5,5,5,3,6,3,1,5,0,1,4,6,0,7,1,16,32,0,0,54,3,109,1,1,29,2,2,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0,0
579,9403,333,15,2,0,4,5,3,12,1,0,3,1,2,12,6,0,5,2,11,28,0,17,49,0,94,3,0,38,3,2,9,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
584,9766,329,10,1,0,0,2,3,17,5,0,2,1,1,8,2,0,8,3,15,27,0,46,41,1,86,0,0,22,0,2,1,0,0,0,0,2,0,0,0,0,19,0,3,0,0,0,1,0,0,0,0,0,0,0
