"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Herbs.undiff.","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Polygonaceae.undiff.","Quercus","Rumex","Salix","Taxus","Thalictrum","Trees.undiff.","Tsuga","Ulmus","Alnus","Acer","Rosaceae.undiff.","Fraxinus","Juglans","Myrica","Populus","Poaceae","Artemisia","Tilia","Asteraceae.subf..Asteroideae.undiff.","Plantago","Rhamnaceae.Vitaceae","Sarcobatus.vermiculatus","Liquidambar","Aquifoliaceae","Castanea","Shepherdia","Celtis","Ericaceae","Sanguisorba"
0,-30,395,3,56,74,1,1,5,4,3,4,3,1,18,18,15,24,11,1,45,6,5,1,1,1,3,20,13,12,1,6,3,2,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0
4,18,441,3,40,70,2,0,0,4,2,21,3,0,22,8,15,22,21,0,34,10,4,0,0,2,17,13,41,12,2,20,1,0,5,43,1,2,1,0,0,0,0,0,0,0,0,0,0
5,30,323,2,37,56,0,1,1,3,1,4,5,0,10,12,21,12,21,0,18,7,4,0,0,0,8,9,24,5,0,6,5,2,1,41,1,3,1,2,0,0,0,0,0,0,0,0,0
6,42,344,1,26,64,5,2,1,1,2,11,1,0,11,6,18,35,15,0,38,6,3,0,0,0,5,10,22,6,1,6,2,0,4,37,2,1,1,0,1,0,0,0,0,0,0,0,0
7,55,281,2,30,54,4,0,0,3,1,4,5,0,12,8,16,25,13,0,19,7,1,0,0,0,9,11,14,3,0,4,2,0,0,30,1,0,1,0,0,2,0,0,0,0,0,0,0
8,67,373,3,35,70,3,3,2,8,0,13,9,2,11,14,15,35,12,0,23,5,4,0,0,0,12,11,19,9,1,8,2,1,1,39,0,2,1,0,0,0,0,0,0,0,0,0,0
9,79,286,3,9,35,1,1,2,2,0,6,3,1,12,15,21,36,13,0,14,10,2,0,0,0,37,12,16,4,0,4,4,0,2,18,0,2,1,0,0,0,0,0,0,0,0,0,0
10,91,380,4,6,62,0,1,0,3,2,20,1,1,10,17,20,86,33,0,26,4,2,0,0,0,23,11,5,8,1,13,5,0,1,8,2,5,0,0,0,0,0,0,0,0,0,0,0
20,293,373,5,1,68,2,0,0,11,1,24,5,1,13,13,7,69,15,0,9,0,2,0,0,0,36,26,8,27,0,12,5,0,2,3,1,5,2,0,0,0,0,0,0,0,0,0,0
30,577,364,2,1,72,1,0,1,1,2,21,2,1,7,8,13,82,27,0,37,1,0,0,0,0,29,16,5,14,1,13,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
40,861,338,3,2,58,0,0,0,1,0,24,4,0,10,7,2,63,18,0,30,0,1,2,0,0,49,18,13,12,0,11,1,0,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0
50,1145,312,2,0,52,1,0,0,4,2,29,1,1,15,6,4,46,12,0,14,0,2,0,1,0,61,15,12,14,0,8,2,0,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0
60,1429,426,0,0,86,1,2,0,1,1,88,1,4,15,4,8,28,18,0,23,0,0,0,0,0,81,18,6,27,0,8,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
70,1713,356,1,1,75,1,0,0,1,0,56,0,0,11,3,9,36,17,0,33,0,0,1,0,0,59,16,3,14,0,8,1,0,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0
80,1997,413,5,1,100,2,0,0,1,2,47,3,0,16,6,8,44,23,0,26,0,0,0,0,0,55,11,8,26,1,13,7,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0
90,2281,497,4,0,102,3,0,0,3,0,96,6,1,22,0,5,43,19,0,28,0,1,2,0,0,71,23,2,36,1,16,5,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0
100,2565,632,6,1,131,1,0,0,3,0,113,5,1,20,6,18,59,22,0,37,0,2,0,0,2,85,25,10,46,1,20,4,0,2,0,1,9,2,0,0,0,0,0,0,0,0,0,0
110,2849,571,4,1,93,1,0,0,9,0,82,8,0,29,7,30,52,21,0,33,0,0,1,1,0,61,35,12,48,1,22,7,0,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0
120,3134,642,0,0,147,3,0,0,4,1,108,2,0,28,8,9,37,20,0,36,0,1,1,0,0,98,42,9,52,1,14,10,0,1,1,0,8,0,1,0,0,0,0,0,0,0,0,0
130,3418,507,1,1,106,2,0,0,1,2,62,4,1,32,3,11,78,18,0,32,0,0,0,0,0,47,36,6,31,0,26,2,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0
140,3696,407,2,0,108,2,0,0,10,1,38,2,1,14,5,14,33,17,0,53,0,0,2,0,0,20,14,15,27,0,16,6,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0
150,3971,609,1,0,123,0,2,1,10,0,82,1,0,29,3,18,75,21,0,91,1,0,1,0,0,34,18,11,38,0,31,8,1,2,1,0,5,1,0,0,0,0,0,0,0,0,0,0
160,4246,489,0,1,100,3,0,0,10,1,67,4,0,14,3,11,72,13,0,62,2,0,2,0,0,21,29,13,29,0,18,6,0,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0
170,4520,548,0,1,130,4,0,0,21,0,46,4,2,21,3,32,53,34,0,74,0,0,1,0,0,17,31,11,32,0,21,4,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0
180,4795,439,0,1,105,1,1,1,3,0,40,4,5,12,1,29,51,23,0,47,0,0,1,0,0,29,22,12,20,1,18,5,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0
190,5665,474,0,0,70,2,0,0,6,1,26,7,0,7,3,11,47,16,0,32,0,0,1,0,0,195,15,7,15,0,8,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
200,6534,379,0,1,65,0,0,0,7,1,30,4,0,16,2,20,41,21,0,33,0,0,1,0,0,77,19,5,21,0,8,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
210,7404,571,0,2,118,2,0,1,4,2,22,4,0,17,0,32,63,26,0,40,0,0,1,0,0,149,18,9,26,0,23,0,1,3,1,0,6,0,0,0,0,0,1,0,0,0,0,0
220,8274,544,0,1,86,1,0,0,7,0,14,5,1,35,3,29,78,34,0,99,0,2,1,0,0,67,21,7,11,1,30,1,0,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0
230,9029,797,4,2,103,1,1,3,3,4,5,1,2,42,2,105,194,76,0,123,1,2,3,0,0,8,43,11,14,0,27,0,2,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0
240,9709,523,1,0,99,0,0,0,2,4,1,2,3,12,4,94,127,59,0,48,0,1,2,0,1,6,14,8,3,0,11,0,2,10,5,3,1,0,0,0,0,0,0,0,0,0,0,0
250,10388,562,7,1,145,2,1,2,6,0,0,3,0,10,13,139,77,60,0,37,0,0,0,0,0,1,16,6,2,0,18,0,1,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0
260,11068,696,5,3,117,1,1,1,2,4,3,6,3,20,9,138,133,69,0,90,0,0,2,1,0,13,25,4,15,1,17,1,2,5,3,1,0,0,0,0,0,0,0,1,0,0,0,0
270,11437,362,1,1,91,0,1,2,0,0,0,2,2,8,33,89,7,25,0,26,0,4,1,0,0,1,10,6,2,2,11,0,4,23,6,4,0,0,0,0,0,0,0,0,0,0,0,0
280,11805,290,0,6,19,1,0,1,4,2,1,3,4,19,56,29,10,17,0,31,0,3,0,0,0,0,10,5,1,0,9,1,2,39,6,8,0,1,0,1,0,0,0,0,1,0,0,0
290,12174,304,1,2,32,1,0,1,9,6,1,4,0,7,88,36,23,7,0,25,0,3,0,0,0,2,5,5,3,0,2,1,2,33,0,3,0,0,0,0,0,0,0,0,1,1,0,0
295,12359,302,1,1,32,0,0,0,2,15,0,3,0,5,17,40,25,13,0,4,0,13,0,0,0,1,1,8,0,1,2,1,2,104,3,4,0,2,0,0,0,0,0,0,2,0,0,0
300,NA,319,1,0,37,1,1,0,1,27,0,6,0,6,13,49,24,16,0,13,0,34,0,1,0,6,6,16,0,4,1,0,2,19,10,14,0,2,1,0,1,0,0,1,4,0,1,1
302,NA,252,0,1,12,0,0,3,1,15,0,8,0,6,23,79,3,15,0,8,2,5,0,0,0,2,1,18,0,17,1,0,1,3,4,20,0,3,1,0,0,0,0,0,0,0,0,0
310,NA,204,0,1,14,0,0,4,0,6,0,14,0,5,21,18,2,21,0,8,1,6,0,0,0,2,3,43,0,0,4,0,0,3,5,21,0,1,0,0,0,0,0,0,1,0,0,0
320,NA,220,0,0,19,0,1,0,0,10,0,8,0,1,12,70,1,24,0,3,0,4,0,1,0,4,3,16,1,1,2,0,1,0,10,25,0,3,0,0,0,0,0,0,0,0,0,0
