"sample.depths","sample.ages","Picea","Abies","Larix","Juniperus.Thuja","Pinus.stomata","Pinus.banksiana.P..resinosa","Pinus.undiff.","Pinus.strobus","Betula","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Populus.tremuloides.type","Populus.balsamifera.type","Ulmus","Tilia","Ostrya.Carpinus","Quercus","Acer.saccharum","Acer.saccharinum.type","Acer.rubrum","Acer.negundo","Acer.undiff.","Carya","Platanus","Morus","Celtis","Tsuga.canadensis","Juglans.cinerea","Juglans.nigra","Fagus","Salix","Alnus.incana.type","Alnus.viridis.type","Corylus","Sarcobatus.vermiculatus","Ephedra.torreyana.type","Ephedra.nevadensis.type","Rosa.type","Shepherdia.argentea","Rhus","Myrica","Ceanothus","Vitis","Cornus.undiff.","Cornus.sericea","Viburnum","Cyperaceae","Poaceae.undiff.","Cerealia.undiff.","Avena.Triticum","Zea","Artemisia","Ambrosia.type","Iva.annua.type","Iva.xanthifolia.type","Xanthium","Bidens","Aster.type","Anthemis.type","Taraxacum.type","Chenopodiaceae.undiff.","Humulus.Cannabis.sativa","Urtica","Plantago.undiff.","Plantago.major.P..media","Rumex","Thalictrum","Dalea.purpurea","Amorpha.type","Potentilla.type","Spiraea.type","Sanguisorba.canadensis","Ranunculaceae.undiff.","Anemone.type","Ranunculus.type","Stachys.type","Polygonum.persicaria","Campanula","Armeria","Gentiana","Caryophyllaceae","Apiaceae","Rubiaceae","Brassicaceae","Fabaceae.undiff.","Trifolium.repens","Onagraceae","Knautia","Liliaceae","Allium.type","Myriophyllum","Potamogeton.natans","Stuckenia.cf..S..pectinata","Typha.latifolia","Typha.angustifolia.type","Sagittaria","Caltha","Nuphar","Alisma","Spore..monolete.","Pteridium","Botrychium","Huperzia","Equisetum","Sphagnum","Pediastrum","Spike..number.counted.","Spike.tablets..concentration..grains.tablet.","Spike.tablets..added..number.","Sample.volume..ml."
505,5166,3,1,1,5,0,77,0,6,48,3,3,0,0,9,0,12,207,1,0,0,0,0,0,1,0,0,0,0,0,0,3,23,8,3,0,0,0,0,0,0,0,0,0,0,0,0,7,56,0,0,0,28,5,1,2,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,16,150,10679,2,1
510,5228,2,0,0,1,1,59,0,2,76,3,1,1,0,12,1,1,314,1,0,0,0,0,2,0,0,0,0,0,0,0,3,26,2,10,0,0,0,0,0,0,0,0,0,0,0,0,22,38,0,0,0,33,10,1,0,0,1,8,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,175,10679,3,1
520,5351,5,0,0,3,0,67,1,7,30,5,2,2,0,8,0,5,190,0,0,0,0,0,0,0,0,0,0,0,1,0,5,30,18,3,0,0,0,0,0,0,0,0,3,0,0,0,19,66,0,0,0,32,8,0,0,0,0,5,0,0,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,15,85,10679,2,1
530,5473,1,0,0,1,0,52,0,1,53,11,1,2,0,4,0,10,280,3,0,0,0,1,1,0,0,0,1,0,0,0,1,33,5,11,6,0,0,0,0,0,0,0,0,0,0,0,13,65,0,0,0,60,21,1,0,0,0,8,0,0,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,188,10679,3,1
535,5534,0,1,1,0,0,54,0,5,30,5,1,2,0,5,1,4,208,1,0,0,0,0,0,0,0,0,0,0,0,0,2,26,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,78,0,0,0,55,14,1,1,2,0,1,0,0,3,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,7,1,0,0,0,0,34,104,10679,2,1
539,5582,4,1,0,2,0,121,0,2,47,3,2,1,0,9,2,4,334,0,1,0,2,0,0,0,0,0,0,0,1,0,7,46,1,4,5,0,0,0,0,0,1,0,0,1,0,0,25,87,0,0,0,71,15,2,0,3,2,11,0,0,14,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,2,0,0,2,0,17,161,10679,3,1
550,5714,2,0,0,1,0,81,1,1,31,2,0,2,0,15,0,5,148,1,0,0,0,0,1,0,0,0,0,0,2,0,4,26,7,3,0,0,0,0,0,0,0,0,0,4,0,0,20,58,0,0,0,46,9,0,1,0,5,2,0,0,8,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,12,132,10679,2,1
560,5834,3,0,3,0,0,59,2,5,65,2,1,1,0,15,1,8,168,0,0,0,0,1,1,0,0,0,0,1,0,1,4,24,3,9,1,0,0,0,0,0,0,0,0,0,0,0,7,57,0,0,0,50,9,1,0,0,0,5,0,0,4,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,5,104,10679,2,1
570,5953,5,2,0,0,0,87,2,13,75,6,2,1,0,24,1,32,210,0,0,0,0,1,0,0,0,0,0,2,1,0,7,23,11,11,2,0,0,0,0,0,0,0,0,2,0,0,25,55,0,0,0,60,12,0,1,0,2,6,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,3,0,0,0,0,23,114,10679,2,1
580,6072,2,0,0,1,0,38,0,12,47,5,3,3,0,9,0,20,158,2,1,0,0,0,0,0,0,0,0,0,0,0,9,24,3,6,2,0,0,0,0,0,0,0,2,0,0,0,19,54,0,0,0,65,20,0,0,0,0,6,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,2,0,12,151,10679,2,1
590,6191,1,0,1,5,0,65,0,6,29,3,2,0,0,12,0,9,286,1,0,0,0,0,0,0,0,0,0,0,0,0,4,23,7,24,1,0,0,0,0,0,0,0,1,0,0,0,4,54,0,0,0,67,39,4,0,0,3,9,0,0,26,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,1,1,0,0,1,0,12,140,10679,2,1
600,6313,2,0,2,1,0,65,1,6,48,0,0,1,1,14,0,5,233,1,0,0,0,1,0,0,0,0,0,1,0,0,8,17,7,5,3,0,0,0,0,0,0,0,0,0,0,1,12,53,0,0,0,42,20,1,0,0,5,0,0,0,12,0,0,0,0,0,0,0,2,1,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,0,0,0,5,82,10679,2,1
610,6437,6,0,0,0,0,120,0,7,41,2,0,0,0,15,0,12,154,0,0,0,0,0,3,0,0,0,0,0,0,0,6,38,6,17,0,0,0,0,0,0,0,0,0,0,0,0,15,84,0,0,0,121,28,2,1,0,0,11,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,7,269,10679,3,1
621,6579,2,1,0,5,0,116,0,23,48,4,1,1,0,24,0,24,302,0,0,0,1,1,0,3,0,0,0,3,0,0,9,62,9,7,5,0,1,0,0,0,0,0,2,1,1,0,30,98,0,0,0,101,18,2,1,0,0,7,1,0,23,0,0,0,0,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,1,0,0,1,0,9,154,10679,3,1
630,6700,2,0,1,1,0,86,0,7,82,12,3,2,0,28,1,32,455,2,1,0,0,1,2,0,0,0,0,0,0,0,16,33,16,11,1,0,0,0,0,1,0,0,0,0,1,0,34,105,0,0,0,169,31,4,2,0,1,3,0,0,23,0,0,1,0,0,1,1,4,0,3,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,2,8,0,0,4,0,14,127,10679,2,1
641,6855,10,0,0,0,0,88,0,16,40,13,3,5,0,26,0,24,187,0,2,0,0,0,0,1,1,0,25,0,0,0,11,47,5,12,1,0,0,0,1,0,1,0,0,0,0,0,22,124,0,0,0,160,28,3,0,1,0,11,1,0,28,0,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,21,214,10679,3,1
645,6914,2,1,2,2,0,38,0,5,17,5,0,1,0,6,0,8,107,0,0,0,0,1,0,0,0,0,0,0,1,0,1,14,2,7,0,0,0,0,0,0,0,0,0,0,0,0,6,64,0,0,0,66,11,2,1,0,1,0,0,0,10,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,20,101,10679,2,1
650,6989,11,0,0,3,0,93,0,23,37,3,4,4,0,20,2,16,178,3,0,0,0,0,0,0,0,0,0,2,0,0,7,37,10,7,1,0,0,0,0,0,0,0,0,0,0,0,34,180,0,0,0,143,42,5,2,1,0,6,0,0,22,0,0,0,0,0,0,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,0,0,0,2,2,0,0,0,2,0,8,211,10679,3,1
660,7143,2,0,0,3,0,61,5,7,29,2,5,0,0,21,1,9,170,1,0,0,0,0,2,0,0,0,1,0,0,0,9,27,9,5,1,1,0,0,0,0,0,0,0,0,0,0,7,55,0,0,0,52,12,1,5,0,2,2,0,0,13,0,0,1,1,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,9,94,10679,2,1
675,7384,4,1,5,2,0,103,0,7,54,4,0,0,0,38,2,21,324,3,0,0,0,2,0,0,1,0,0,0,0,1,14,24,14,14,0,0,1,0,1,0,0,0,0,0,0,0,29,141,0,0,0,169,32,6,0,2,0,8,0,0,36,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,5,8,0,0,1,0,15,152,10679,2,1
681,7482,1,0,0,1,0,92,0,9,44,7,2,2,0,18,1,15,195,2,0,0,4,0,1,0,0,0,0,0,0,0,8,53,4,16,3,0,0,0,0,0,0,0,0,2,1,0,20,90,0,0,0,98,32,4,0,1,2,9,0,0,17,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,4,3,0,0,1,0,8,154,10679,3,1
690,7632,3,2,0,0,0,95,3,6,52,7,4,0,0,22,1,24,262,4,2,1,0,0,0,0,0,0,0,0,0,0,6,25,8,18,3,0,0,0,0,0,1,0,2,2,0,0,29,89,0,0,0,114,31,0,2,1,0,8,0,0,28,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,1,1,3,1,0,0,1,0,8,151,10679,2,1
700,7799,8,0,2,0,0,38,0,15,34,4,5,2,0,15,0,21,200,1,1,0,0,0,0,0,0,0,0,3,0,0,13,26,8,15,1,0,0,0,0,0,0,0,0,0,0,0,17,60,0,0,0,80,17,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,2,0,0,0,0,5,131,10679,2,1
705,7883,7,2,6,2,0,94,0,3,43,13,1,0,0,27,0,14,254,0,5,0,0,0,0,3,0,0,0,0,1,0,8,25,11,12,3,0,0,0,0,0,0,0,1,0,0,0,18,103,0,0,0,109,27,4,0,2,1,4,0,0,28,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,1,1,0,5,2,0,0,0,0,14,151,10679,2,1
710,7966,4,0,0,3,0,52,0,7,22,7,3,1,0,16,0,11,124,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,8,9,1,0,0,0,0,0,0,0,0,0,0,0,20,61,0,0,0,92,19,3,0,1,0,12,0,0,22,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,5,166,10679,2,1
720,8132,1,0,0,2,0,56,0,4,29,5,2,0,0,24,0,13,193,1,0,0,0,0,2,0,0,0,0,1,0,0,15,28,7,10,5,0,0,0,0,0,0,0,1,0,1,0,26,66,0,0,0,134,38,4,1,0,0,7,0,0,24,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,0,4,153,10679,2,1
730,8295,5,3,1,3,0,42,0,10,30,7,0,1,0,32,0,17,149,0,0,0,0,3,2,0,0,0,0,0,1,0,2,8,4,14,5,0,0,0,0,0,1,0,0,0,0,0,157,96,0,0,0,120,57,7,2,0,8,1,0,0,20,0,0,1,0,0,0,1,2,0,0,0,0,0,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,6,2,0,0,0,0,7,111,10679,2,1
740,8454,1,0,0,3,0,21,0,1,25,10,0,0,0,36,0,3,176,1,0,0,0,0,1,0,0,0,0,0,0,0,4,9,0,17,1,0,0,0,0,0,0,0,1,0,0,0,11,65,0,0,0,64,40,7,1,3,0,3,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,3,86,10679,2,1
746,8546,1,0,0,3,0,47,1,4,10,5,4,1,0,19,0,5,112,0,0,0,0,1,1,0,0,0,0,0,0,0,5,6,6,8,5,0,0,0,0,0,3,0,0,3,0,0,17,95,0,0,0,167,75,8,1,0,8,2,1,0,30,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,2,4,0,0,0,0,3,124,10679,2,1
756,8695,1,0,3,2,0,58,0,2,25,8,0,0,0,15,1,9,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,8,1,0,0,0,0,0,0,0,0,0,0,0,18,62,0,0,0,88,29,5,0,2,1,5,0,0,25,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,15,102,10679,2,1
766,8835,6,1,2,1,0,113,1,2,29,2,2,4,0,12,0,9,79,1,0,0,0,1,0,0,0,0,1,0,0,0,20,12,7,23,4,1,0,1,0,0,0,0,0,1,1,1,28,110,0,0,0,249,78,3,2,0,2,9,0,0,47,0,0,0,0,0,3,0,5,2,2,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,9,1,0,0,0,0,7,90,10679,2,1
775,8953,5,1,1,3,0,171,0,11,43,12,1,1,0,23,0,11,74,0,0,0,0,0,4,0,0,0,0,1,0,0,21,19,12,19,1,0,0,0,0,0,0,0,0,0,0,0,28,68,0,0,0,90,35,3,0,2,0,5,0,0,22,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,5,164,10679,2,1
776,8966,3,0,1,5,0,135,0,4,41,10,2,0,0,20,0,13,63,0,0,0,0,1,0,0,0,0,0,0,0,0,6,19,11,10,2,0,0,0,2,0,0,1,1,0,0,0,15,67,0,0,0,74,30,1,1,2,0,7,0,0,28,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,7,123,10679,2,1
786,9088,6,3,0,2,0,164,0,6,45,4,6,2,0,8,0,2,16,0,0,0,0,1,1,0,0,0,0,0,0,0,7,34,4,13,0,0,0,0,3,0,0,0,0,1,0,0,14,56,0,0,0,66,20,1,1,0,2,2,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,3,2,0,0,1,0,15,109,10679,2,1
791,9146,9,0,0,5,0,325,0,7,77,7,4,0,0,20,0,18,50,1,0,0,0,2,0,0,0,0,1,0,0,0,18,27,9,33,2,0,0,0,0,0,0,0,0,0,1,0,29,77,0,0,0,124,40,0,1,0,1,7,0,1,23,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,2,5,0,2,0,1,2,83,13350,3,1
795,9192,4,0,1,6,0,261,0,4,48,9,1,0,0,21,0,8,32,2,0,0,0,0,1,0,0,0,0,0,0,0,11,11,14,4,4,0,0,0,1,0,0,1,0,0,0,0,30,71,0,0,0,99,22,1,0,3,1,9,0,0,23,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,3,4,0,0,0,0,2,130,10679,2,1
796,9203,9,0,1,3,0,455,0,4,157,15,0,2,1,20,1,20,137,5,0,1,0,1,4,1,1,0,0,0,0,0,13,67,7,33,5,0,0,0,3,0,0,0,0,0,0,0,28,128,0,0,0,236,66,2,1,1,0,15,0,0,65,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,5,4,0,0,0,0,9,257,10679,2,1
801,9258,15,2,3,3,0,451,0,2,71,4,0,0,0,27,0,18,52,0,2,0,0,0,2,0,0,0,1,1,1,0,8,52,5,15,1,0,0,0,0,0,0,0,0,0,0,0,50,97,0,0,0,131,65,1,1,1,2,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,12,0,0,0,0,2,123,13350,3,1
806,9312,8,0,1,8,0,213,0,8,56,3,0,0,0,20,0,17,28,0,0,0,0,0,1,0,0,0,0,0,0,0,15,34,11,15,4,0,0,0,0,0,0,0,0,2,0,0,25,67,0,0,0,83,22,0,2,1,0,7,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,1,1,3,0,0,0,0,3,155,10679,2,1
816,9418,3,0,0,6,0,192,21,2,27,6,1,0,0,18,1,8,24,0,1,0,0,0,1,0,0,0,0,0,0,0,4,23,10,1,0,0,0,1,1,0,0,0,0,1,0,0,20,26,0,0,0,56,33,1,1,0,2,0,0,0,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,4,9,0,0,0,0,2,85,10679,2,1
826,9521,12,4,4,0,0,155,0,2,34,1,0,2,0,7,0,4,20,2,0,0,0,0,0,0,0,0,0,2,1,0,2,20,13,12,2,0,0,0,0,0,0,0,0,0,1,0,13,32,1,0,0,46,13,0,1,0,5,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,184,10679,2,1
829,9551,15,1,18,19,0,384,0,6,80,7,2,5,0,38,0,11,45,1,1,0,0,0,2,0,0,0,0,4,0,0,4,46,27,5,1,0,0,0,1,1,0,1,0,0,0,0,49,110,3,0,0,179,78,3,4,0,2,0,0,0,23,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,6,0,0,5,0,6,258,10679,2,1
833,9592,12,4,5,11,0,163,0,4,54,7,4,6,2,30,0,6,25,1,1,0,0,1,0,0,0,1,0,2,2,0,9,45,12,16,1,1,0,2,1,0,0,0,0,0,0,0,12,52,0,0,0,51,24,0,0,0,3,2,0,0,20,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,0,0,2,2,1,0,0,0,10,86,10679,2,1
835,9613,9,3,13,13,0,293,1,7,56,7,1,6,2,26,1,25,27,1,0,0,0,0,2,0,0,0,0,2,1,0,27,37,3,14,1,1,0,0,2,0,1,0,0,1,0,0,10,44,0,0,0,111,38,1,2,0,7,5,0,0,39,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,3,0,1,0,1,0,10,86,10679,2,1
840,9664,9,2,4,12,0,176,0,2,70,9,2,9,0,51,0,6,27,2,0,0,0,1,3,0,0,1,0,0,0,0,7,30,11,10,1,0,0,0,0,0,0,0,0,0,0,0,8,40,0,0,0,60,31,1,0,0,0,5,0,0,19,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,5,0,0,1,0,0,155,10679,2,1
842,9684,2,0,0,2,0,200,0,4,52,3,1,5,0,3,1,3,15,0,0,0,0,1,0,0,0,0,0,0,1,0,3,5,1,6,1,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,56,23,1,3,0,1,4,0,0,55,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,2,3,0,0,0,1,0,90,10679,2,1
850,9767,11,8,6,20,0,350,0,21,60,3,2,3,0,18,1,20,7,1,0,1,0,0,0,0,1,0,1,2,1,0,7,35,13,2,2,1,0,0,1,0,1,0,0,0,0,0,18,30,0,0,0,45,27,1,2,0,1,4,0,0,20,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,1,5,11,0,0,0,0,4,185,10679,2,1
851,9777,12,1,6,1,0,357,0,3,69,2,0,2,1,31,0,4,28,1,0,0,0,0,2,0,0,0,0,0,0,0,4,15,6,6,0,0,0,0,0,0,3,0,0,0,1,0,21,32,0,0,0,31,19,0,0,0,0,3,0,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,141,10679,2,1
852,9788,3,4,1,3,0,333,0,2,48,0,1,0,0,8,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,6,1,0,0,0,1,0,0,0,0,0,0,0,0,13,19,0,0,0,21,12,0,1,2,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,1,179,10679,2,1
854,9809,1,5,5,4,0,341,0,1,62,2,0,1,0,18,0,23,13,0,0,0,0,0,2,0,0,0,0,0,7,0,6,12,7,6,1,0,0,0,2,1,0,0,0,0,0,0,2,25,0,0,0,39,23,1,0,0,1,3,0,0,21,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,89,10679,2,1
856,9830,6,7,4,3,0,284,0,24,28,1,5,3,0,10,0,5,7,0,1,0,0,0,2,0,0,0,0,0,0,0,9,13,7,2,0,0,0,0,0,1,2,1,0,0,0,0,27,24,0,0,0,40,7,1,1,0,2,0,0,0,7,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,3,103,10679,2,1
857,9841,11,8,7,11,0,467,0,16,56,6,1,3,0,29,0,17,30,5,1,0,0,0,4,0,0,0,0,1,1,0,12,26,11,6,0,0,0,0,2,1,1,0,0,0,0,0,15,53,0,0,0,32,14,1,0,1,4,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,1,125,10679,2,1
859,9862,14,9,15,0,0,244,0,10,33,2,3,4,0,27,1,3,12,1,0,0,0,0,0,0,0,2,1,1,0,0,2,19,9,5,1,1,0,0,0,0,1,0,0,0,0,0,27,39,0,0,0,49,22,6,1,0,6,0,0,0,19,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,7,0,0,0,0,5,85,10679,2,1
860,9873,5,5,18,5,0,469,0,5,26,4,4,1,0,33,0,14,10,0,0,0,0,1,1,0,0,0,0,2,0,0,5,19,17,3,1,1,1,0,0,0,0,0,0,0,0,0,24,48,0,0,0,34,29,1,1,0,2,1,0,0,17,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,10,0,0,2,0,9,127,10679,2,1
862,9894,5,6,2,2,0,180,0,7,30,0,2,1,1,14,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,6,2,0,0,0,0,0,0,2,0,0,0,0,0,12,14,0,0,0,21,10,1,1,0,1,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,2,86,10679,2,1
864,9916,16,7,7,7,0,627,0,41,68,3,4,7,0,39,0,22,33,0,0,0,0,0,5,0,0,0,0,3,2,0,16,32,7,4,1,1,0,0,0,0,0,0,0,1,0,0,27,39,0,0,0,41,16,1,0,0,0,4,0,0,11,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,13,0,0,0,0,1,128,10679,2,1
865,9927,15,23,3,5,0,332,0,25,58,3,4,1,0,19,0,10,16,1,2,0,0,0,0,0,0,0,0,2,0,0,2,16,15,3,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0,0,0,45,15,1,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,12,0,0,0,0,3,133,10679,2,1
