"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Bidens.type","Carya","Cephalanthus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Itea","Juglans.nigra","Juglans.undiff.","Liquidambar","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Plantago.major","Plantago.lanceolata","Quercus","Rubus","Salix","Sambucus","Thalictrum","Ulmus","Apiaceae","Populus","Amaranthaceae","Hypoxis","Acer.saccharinum","Acer.saccharum","Achillea.type","Polygonum.hydropiper.type","Castanea","Fraxinus.undiff.","Juglans.cinerea","Acer.negundo","Iva.annua.type","Galium","Ilex","Platanus","Tsuga","Fagus","Urtica.type","Lamiaceae","Amelanchier.type","Zea.mays","Corylus","Iva.xanthifolia.type","Liriodendron","Magnolia","Tilia","Spiraea","Dalea","Cornus.florida","Prunus","Polygonum.aviculare.type","Rumex","Cornus.canadensis.type","Celtis.Maclura","Ranunculaceae.undiff.","Humulus.Cannabis.sativa","Acer.pensylvanicum","Pinus.subg..Strobus","Abies","Sanguisorba.canadensis","Potentilla.type","Cirsium.Carduus.type","Malvaceae","Onagraceae","Caryophyllaceae","Polygonum.viviparum","Asteraceae.subf..Cichorioideae","Alnus.viridis","Larix","Xanthium","Caltha.type","Viburnum.opulus.type"
95,-24,528.5,1,1,3,97,1,5,5,23,45,2,14,13,3,41,2,4,1,14,7,10,1,24.5,1,4,173,2,11,1,1,4,1,6,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,-3,513,3,0,1,73,0,2,1,17,53,1,8,14,9,47,2,3,1,13,4,6,0,18,0,3,198,8,15,0,1,3,0,2,1,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,19,473,1,1,1,65,0,1,1,17,43,0,10,11,4,36,1,1,1,18,7,6,0,15,0,0,185,8,13,0,0,6,0,5,3,0,0,2,0,1,1,2,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,40,477.5,4,0,0,73,1,0,2,15,33,1,8,10,4,43,0,5,2,14,4,4,2,12.5,0,2,198,4,8,0,2,8,0,3,4,0,2,3,0,0,1,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,62,508,3,0,2,75,0,0,3,16,56,1,9,12,5,46,1,3,2,13,3,3,0,20,0,1,192,4,10,0,1,10,0,3,3,0,0,2,0,0,2,1,1,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,83,541,3,0,2,80,0,0,3,18,76,2,11,16,7,46,3,1,1,12,2,3,0,21,1,0,180,9,11,0,1,11,0,3,1,0,0,1,1,0,4,1,1,0,1,0,0,2,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,105,506.5,2,0,0,65,0,3,4,22,65,1,17,12,3,30,2,2,2,10,2,3,2,10.5,0,0,186,14,16,0,0,15,0,2,2,0,0,3,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,126,506,2,0,2,48,0,4,3,21,80,1,16,10,3,33,3,2,2,10,6,5,0,11,0,1,190,8,17,0,0,10,0,3,2,0,0,2,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,191,523,3,0,4,34,0,0,2,17,99,0,16,8,2,35,5,2,3,7,9,4,0,11,0,1,206,7,14,0,0,6,1,3,2,0,0,1,0,3,7,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,320,542,3,0,3,7,0,2,3,21,115,0,27,20,3,51,4,2,1,9,9,7,2.5,13.5,0,0,172,11,18,0,2,8,1,6,0,0,0,2,0,3,5,2,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
