"sample.depths","sample.ages","upland.sum","Acer.rubrum","Artemisia","Betula","Asteraceae.undiff.","Corylus","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Picea","Pinus.undiff.","Platanus","Populus.tremuloides.type","Quercus","Salix","Thalictrum","Tilia","Ulmus","Ambrosia","Ostrya.type","Poaceae","Pinus.strobus","Chenopodium.type","Pinus.banksiana.P..resinosa","Alnus.cf..A..viridis","Alnus.cf..A..incana","Thuja.type","Acer.saccharinum.type","Humulus.type","Larix","Rumex","Acer.negundo.type","Medicago.sativa","Abies","Polygonum.lapathifolium.type","Rhus","Xanthium","Juglans.cinerea.type","Iva.annua.type","Tsuga","Acer.saccharum","Carya","Dalea.candida.type","Dalea.purpurea","Iva.xanthifolia.type","cf..Ceanothus","Sarcobatus.vermiculatus","Caryophyllaceae","Rosaceae","Liliaceae","Verbena","Mentha.type","Amorpha"
0,-29,310,1,9.5,66.5,2,2,2,2,5,1,96.5,1,10,37.5,1,1,1,3,25,5,6,3.5,8,12.5,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,47,357,0,4,18,1,2,8.5,3,1,4,149,0,3,19,4,2,1,4,16,5,8,22.5,4,57,2,10,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,128,333.5,2,3,25,1,1,7.5,3,0,1.5,113.5,0,3,21,1,1,0,3,4,7,11,35.5,3,64,0,13,3,1,0,3.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,584,395,1,4.5,41,1,2,6,1,1,8.5,220,0,3,20.5,3,0,2,1,11.5,6,8,17,2,12.5,0,17,0,0,0,0,0,0,0,1.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1192,384,0,11.5,20.5,7,2,9.5,1,2,3.5,175,0,2,46,0,1,0,1,3,7,7,23,0,35,1,19,2,0,0,1,0,0,0,0.5,0,0,0,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0
200,1344,369.5,0,8.5,42.5,2,1,5,2,3,5.5,161,0,1,68,2,1,0,6,7,1,11,5,1,6,0,22,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
225,1565,504,1,7,20,4,2,12.5,3,0,2,200,1,6,58,0,0,0,9,7,6,20,83.5,3,42,1,7,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
250,1908,320,0,10,38.5,3,2,9,2,1,5,105,0,0,59,1,0,0,2,6,5.5,23,8,2,3.5,0,26,0,0.5,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0
300,2594,319,1,13,44.5,6,2,8.5,7,3,3.5,69,0,1,71,0,1,1,2,10,6.5,16,17.5,0,3,0,22.5,1,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
350,3280,283,0.5,14,38,5,3,3,1,1,4.5,37,2,0,86,1,0,1,6,6,17.5,19,1,6.5,1,2,19,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
375,3624,246.5,1,19,24,8,2,8,0,3,2.5,36,0,0,68,0,0,1,3,17,2,23,1.5,2,0.5,0,18,2,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,NA,246.5,1,31,23.5,10,0,10,4,0,8,19.5,1,1,57.5,2,0,0,6,18,3,27,1,5.5,0.5,1,10,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
485,NA,354,0,53,6,10,2,15.5,5,1,3,21,1,2,91,2,0,1,8,27,6,52,14,8,4.5,2,7,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1
