"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Asteraceae.undiff.","Cyperaceae","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Humulus.type","Larix","Picea","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Thalictrum","Tilia","Ulmus","Ambrosia","Ostrya.type","Avena.type","Pinus.strobus","Acer.negundo.type","Chenopodium.type","Pinus.banksiana.P..resinosa","Alnus.cf..A..viridis","Alnus.cf..A..incana","Abies","Iva.annua.type","Corylus","Fraxinus.nigra.type","Hypericum","Iva.xanthifolia.type","Salsola","Thuja.type","Acer.rubrum","Morus","Rosaceae","Platanus","Rhus","Tsuga","Urtica.type","Acer.saccharum","Galium","Populus.balsamifera.type","Apiaceae","Viburnum.lentago","Amorpha","Dalea.candida.type","Vitis","Sarcobatus.vermiculatus","Acer.saccharinum.type","Nyssa","Myrica","Zigadenus","Anemone.type","Xanthium","Carya","Juglans.cinerea.type"
0,-29,210,5,11,5,8.5,1,3,1,1,8.5,63.5,1,30,3,1,1,6,10,8,1,6.7,3,4,21.8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,87,509,17,45,8,9,0,19,0,3,13,111,14,45,9,1,0,13,17.5,6,2,39.5,0,3,89,1,17,1,1,4,3,2,2,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,189,371,14,37,10,7,1,12,0,1.5,12,142.5,2,18,3,1,0,5,11,9,0,20.5,1,1,45,3,6,0.5,0,3,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,276,399.5,13.5,28,10,9.5,7,12,0,1,8,109,2,43.5,2.5,1,1,9,5,10,0,45.5,0,4,56.5,2,5,2.5,0,2,3,0,1,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,450,310,7.5,34,4,13,2,16,0,3,8.5,71,7,54.5,2,0,0,7,9,5,0,18,0,1,12,1,8,3.5,0,13,0,0,1,0,2,1,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,624,391.5,26,28,4,9,2,10,0,3,5.5,115,0,46,0,1,1,9,1,10,0,68.5,0,1,35.5,0,7,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,798,298.5,5,26,1,7,3,16,0,2,7.5,77.5,5,49,3,0,3,5,1,9,0,30.5,1,2,29.5,1,8,1.5,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
150,1059,385.5,9.5,26,13,16,0,20,0,4.5,10.5,75.5,3,55,0,2,0,8,5,10,0,59.5,1,2,34,2,11,1,0,6,5,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
200,1494,304.5,21,41,5,11,3,11,0,1,14,69,3,53.5,2,0,2,4,21,11,0,5.9,0,0,7.1,1,11,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
250,1929,450.5,34.5,60,10,11,5,29,0,2,8,63.5,8,78.5,3,0,1,9,13,26,0,30,1,2,5,2,21,0,1,14,5,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
300,2364,352.5,19,37,9,16.5,4,25,0,3,4,39,2,80,5,0,1,12,4,16,0,26.5,1,7,9.5,1,16,0,0,5,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
350,2799,317.5,24,65,9.5,9.5,2,26,1,2.5,3.5,15,4,64,2,0,2,12,12,24,0,4.5,0,4,3,2,13,0,0,5,1,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
400,NA,329,45.5,24,12,22,4,57,0,0,2,16,1,52.5,3,0,0,3,10,22,0,3,0,7.5,0.5,2,27,1,0,5,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
450,NA,234.6,32.5,16,9,16.5,0,33.5,0,0,1,21,0,39.5,3,0,0,2,16,2,0,6.1,0,6,1.5,0,16,0.5,0,1,2,0,1,0,3,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
