"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.spicatum","Acer.undiff.","Alnus.incana.type","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Caltha","Carya","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Cyperaceae","Fabaceae","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Galium","Huperzia.lucidula","Indeterminable","Iva","Juglans","Larix","Liquidambar","Lycopodium.annotinum","Menyanthes.trifoliata","Myricaceae","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Vitis"
5,1,0,0,1,7,0,2,0,15,0,1,54,1,1,41,0,0,5,2,0,0,1,4,2,0,4,0,3,7,20,0,0,2,0,3,0,0,0,0,0,0,0,1,3,4,1,0,3,14,4,25,0,3,0,0,44,0,0,4,0,0,0,0,0,0,0,0,27,12,0,0,0
20,29,3,0,1,6,0,0,0,21,0,5,74,2,4,24,0,0,3,0,1,0,0,0,9,0,3,1,1,4,11,0,0,19,0,3,0,0,0,0,1,0,0,0,2,3,3,0,6,17,2,19,0,7,0,2,38,0,0,1,0,0,0,0,0,0,1,1,16,7,0,0,0
40,67,0,2,0,5,0,0,9,11,2,3,45,2,1,14,0,0,0,0,0,0,0,3,5,0,12,3,17,3,26,0,0,8,0,1,0,0,4,0,0,0,1,0,1,1,1,0,2,32,0,33,0,19,0,0,53,0,0,1,0,0,0,1,0,0,3,1,12,6,0,0,1
56,97,0,1,0,4,0,2,9,9,0,0,17,3,2,51,0,0,1,0,0,0,0,1,3,1,20,1,6,5,13,1,0,9,1,0,0,0,0,0,0,0,0,1,10,0,0,2,15,37,2,19,0,1,0,1,53,0,5,2,0,0,1,0,0,3,2,0,17,0,0,1,0
60,376,2,0,1,8,0,1,0,15,0,2,4,2,0,42,0,0,3,0,0,0,1,1,2,0,22,2,7,6,17,0,0,4,0,1,2,0,0,0,0,0,0,2,20,1,0,0,0,61,0,2,0,1,0,1,55,0,0,1,0,0,0,0,1,2,3,1,19,5,0,0,1
94,1106,0,0,0,7,0,0,0,13,0,2,6,2,1,47,0,0,3,0,0,1,2,1,5,0,26,1,3,5,10,0,1,5,0,0,1,0,0,0,1,0,0,0,12,1,4,3,29,26,2,1,0,0,1,0,76,0,0,1,0,0,0,0,1,1,10,0,17,4,0,0,1
154,1718,0,1,1,4,0,1,0,22,0,0,3,2,4,39,0,0,5,0,0,0,2,3,6,0,10,2,6,5,17,0,0,6,0,2,0,0,0,0,1,0,0,1,10,1,0,0,0,56,0,5,0,2,1,1,94,0,0,0,0,0,0,0,0,1,4,0,11,1,0,0,0
194,2125,0,1,0,3,0,1,23,23,0,2,3,4,0,22,0,0,3,0,0,0,0,0,3,0,14,0,7,2,11,0,0,9,0,2,1,0,0,0,1,0,0,0,7,0,0,0,25,60,1,3,0,3,0,0,84,0,0,1,0,0,0,0,0,0,3,0,11,3,0,0,0
214,2329,1,0,0,5,0,0,0,19,0,0,4,3,2,19,0,0,1,0,0,0,3,1,12,0,8,2,5,1,12,0,0,7,0,2,0,0,0,0,0,0,0,0,7,0,1,0,15,52,0,4,0,1,0,0,108,0,0,4,0,0,0,0,0,1,3,0,12,2,0,0,0
254,2736,0,0,0,5,0,2,0,11,0,1,0,2,2,29,0,0,3,0,0,0,2,1,2,1,7,0,13,1,18,0,0,6,0,1,2,0,0,0,0,0,0,0,12,2,1,0,0,74,1,8,0,0,0,0,103,0,0,1,0,0,0,0,0,1,1,0,9,3,0,0,0
294,3144,0,0,0,8,0,0,0,22,0,0,5,0,1,31,0,0,2,0,0,0,1,3,7,0,12,0,4,6,18,0,0,13,0,1,2,0,0,1,0,0,1,0,13,0,0,7,9,30,2,3,0,1,1,0,88,0,0,5,0,0,0,0,0,0,4,0,13,1,0,0,1
314,3348,0,1,0,13,0,0,0,18,0,0,1,0,2,33,0,0,3,0,0,0,1,3,8,0,24,1,10,6,26,0,0,6,0,2,2,0,0,0,1,2,2,0,15,0,0,3,14,21,3,5,0,1,1,1,84,0,0,3,0,0,0,0,0,0,1,3,17,3,0,0,0
334,3567,0,0,1,10,0,2,0,24,0,0,4,2,0,31,0,0,7,0,0,0,0,1,8,0,32,0,8,0,22,0,0,9,0,1,2,0,0,0,1,0,0,0,11,0,0,0,0,31,3,3,0,3,0,0,86,0,0,2,0,0,0,0,0,2,4,2,13,0,0,0,0
374,4006,0,1,0,6,0,0,0,15,0,4,3,1,4,20,0,0,3,0,0,0,0,0,7,0,14,1,9,3,14,0,0,4,0,0,1,0,0,0,2,0,0,0,10,2,0,0,0,43,3,2,0,3,0,0,123,0,0,0,0,0,0,0,0,1,3,2,13,2,0,0,0
394,4226,0,1,0,4,0,1,0,18,0,2,2,1,3,30,0,0,1,0,0,0,0,1,12,0,15,1,8,3,15,0,0,8,0,5,1,0,0,0,2,0,0,0,20,2,1,0,0,35,1,6,0,2,0,0,103,0,0,1,0,0,0,0,0,3,0,1,12,1,0,0,0
414,4446,0,1,0,1,0,0,4,5,1,0,2,1,3,34,0,0,1,1,0,0,2,4,5,0,11,4,4,3,17,0,0,13,1,1,0,0,1,0,0,0,0,0,7,0,0,8,5,24,3,7,0,3,2,1,142,0,0,0,0,0,0,0,0,2,0,0,7,1,0,1,0
434,4666,0,0,0,5,0,0,21,21,0,0,1,1,2,24,0,0,1,0,0,0,0,7,9,0,10,2,14,1,17,0,0,6,0,0,0,0,1,0,0,0,0,0,11,0,0,0,10,21,1,9,0,0,1,6,115,0,0,3,0,0,0,0,0,2,2,0,18,4,0,0,0
454,4886,3,0,0,4,0,0,0,1,0,0,2,1,2,25,0,0,0,0,0,0,9,7,12,0,14,4,9,5,20,0,0,11,0,5,1,0,0,0,0,0,0,0,9,0,0,0,0,48,0,5,0,1,0,0,106,0,0,2,0,0,0,0,0,1,0,1,16,3,0,0,1
474,5106,0,2,1,6,0,5,0,1,0,1,4,2,1,19,0,0,3,0,0,0,5,1,6,0,26,0,8,9,25,0,0,7,0,2,3,1,0,0,0,0,0,1,22,1,0,0,0,48,2,6,0,2,1,0,78,0,0,0,0,0,0,0,0,7,0,2,22,0,0,0,0
484,5216,0,0,0,6,0,1,4,4,0,1,3,2,1,9,0,0,7,0,0,0,0,0,3,0,9,1,7,1,14,0,0,17,0,4,0,0,0,0,0,0,0,0,6,0,0,0,10,45,2,4,0,0,0,0,151,0,0,1,1,0,0,0,0,0,1,0,16,0,0,0,1
494,5326,0,0,0,4,0,3,0,1,0,0,5,0,1,3,0,0,5,0,0,0,2,0,5,0,10,1,10,3,23,0,0,5,0,3,2,0,0,0,0,1,0,0,8,0,0,0,0,62,1,5,0,0,0,1,139,0,0,2,0,0,0,0,1,0,0,0,18,2,0,0,0
504,5436,0,0,0,6,0,0,3,3,0,0,5,1,2,15,0,0,3,0,0,0,0,2,4,0,6,2,6,0,20,0,0,12,0,7,1,0,0,0,0,0,0,0,23,1,0,2,7,21,2,8,0,0,0,1,132,0,0,2,0,0,0,0,0,2,0,2,31,1,0,0,0
514,5546,0,1,0,9,0,1,0,5,0,2,3,1,0,11,0,0,4,0,0,0,0,2,6,0,5,6,7,7,16,0,0,13,0,4,1,1,0,0,1,0,0,0,15,0,0,3,12,12,4,11,0,1,0,1,133,0,0,4,0,0,0,0,0,2,1,0,24,2,0,0,1
