"sample.depths","sample.ages","Abies","Alnus","Amaranthaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.subtribe.Ambrosiinae","Betula","Botrychium","Carya","Caryophyllaceae","Cornus","Corylus","Dryopteris.type","Elaeagnus","Ephedra","Epilobium","Fraxinus","Huperzia.selago","Juglans","Lamiaceae","Lycopodiella.inundata","Onagraceae.undiff.","Picea","Pinus","Poaceae","Populus","Ranunculaceae.undiff.","Rosaceae","Salix","Shepherdia.canadensis","Symphoricarpos.albus","Symphoricarpos.occidentalis","Thalictrum","Tsuga","Ulmus","Viburnum"
265,NA,0,0,18,122,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,534,150,52,4,0,0,0,28,0,0,0,0,0,0
270,NA,0,0,50,78,10,4,98,10,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,218,78,20,12,0,0,0,14,0,0,0,0,0,0
275,NA,0,0,100,122,18,2,176,18,0,0,0,0,0,2,6,0,0,0,2,0,0,0,0,264,192,78,0,0,0,0,18,0,2,0,0,0,0
280,NA,0,0,112,98,36,10,180,0,0,0,0,0,0,2,4,0,0,0,2,0,0,0,0,292,118,72,0,2,0,0,72,0,0,0,0,0,0
290,11998,0,10,60,258,22,4,16,22,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,152,98,238,0,2,0,22,76,0,12,0,0,2,0
300,12050,0,18,158,258,24,8,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,190,104,0,0,2,10,28,0,0,0,0,0,0
305,12075,0,0,96,352,28,10,20,20,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,232,116,76,0,0,0,10,28,0,6,0,0,0,0
310,12101,0,10,122,310,46,0,24,14,0,0,0,4,18,2,0,0,0,0,0,2,8,0,0,140,104,122,18,0,0,18,24,2,8,4,0,0,0
315,12127,0,0,50,202,20,0,26,20,0,2,0,6,16,0,4,0,0,20,0,2,0,2,0,198,102,224,20,2,2,16,60,0,2,2,0,2,0
320,12152,0,0,40,222,20,0,16,20,0,0,2,4,0,0,0,0,0,0,2,0,2,0,0,80,60,368,90,12,0,30,26,0,2,2,0,2,0
325,12178,0,0,76,162,50,2,20,16,0,0,0,0,0,0,2,0,2,20,0,4,2,0,0,80,90,368,30,0,0,30,36,0,0,8,0,0,2
330,12204,0,0,18,76,10,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,232,94,70,18,0,4,12,50,0,0,0,0,0,0
340,12255,2,0,20,168,58,4,10,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,376,78,50,0,2,2,20,188,0,0,0,0,0,0
345,12281,0,14,22,214,18,4,8,10,0,0,0,0,0,0,2,0,0,14,0,2,0,0,2,234,76,48,22,0,2,32,30,0,2,2,0,0,2
350,12306,0,10,46,216,14,0,0,18,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,428,48,76,46,0,0,46,28,0,0,0,0,0,0
355,12332,0,24,28,138,0,0,20,12,0,0,0,0,20,0,2,0,0,0,0,0,0,0,0,162,72,112,122,0,0,52,36,0,0,0,0,0,0
360,12358,2,10,72,122,40,0,10,20,0,0,2,0,0,0,2,0,0,20,0,2,2,0,0,304,102,72,62,2,0,50,102,0,0,2,0,0,0
