"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Anacardiaceae","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Cerealia","Cornus","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Herbs.undiff.","Ilex","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Liquidambar","Lycopodium.type","Myrica","Nuphar","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago.lanceolata","Platanus","Poaceae.undiff.","Polygonum","Potamogetonaceae","Pteridium.type","Quercus","Rhamnaceae.Vitaceae","Rosaceae.undiff.","Sagittaria","Salix","Sanguisorba","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Ulmus","Unknown"
10,77,1,0,1,0,0,17,0,0,0,0,12,0,13,0,13,1,0,0,0,11,1,13,2,0,0,1,0,12,0,1,1,1,0,0,0,1,10,24,3,0,60,1,2,0,0,0,0,120,2,1,0,0,0,0,8,1,0,0,0,0
15,126,0,1,0,1,0,5,0,0,0,0,19,0,14,0,18,0,0,0,0,20,0,5,1,0,0,0,0,11,1,0,1,0,1,0,0,0,11,39,0,0,43,0,0,4,0,0,0,143,0,0,0,0,0,0,6,0,1,0,0,1
20,175,0,1,0,1,0,6,0,0,0,1,14,0,19,0,29,0,0,0,0,19,1,5,3,0,0,1,0,3,0,1,0,0,0,0,0,6,10,14,0,1,43,0,0,3,0,0,0,137,1,1,0,0,0,0,2,0,0,1,1,2
25,1234,1,1,0,1,0,2,0,0,0,0,21,1,15,0,24,0,0,1,0,18,0,6,2,0,0,1,0,4,2,0,1,3,1,0,0,11,11,15,0,1,45,0,1,6,0,0,0,125,2,1,0,0,0,0,3,1,0,2,0,0
30,2292,0,0,1,2,0,1,0,0,0,4,13,0,19,0,35,0,0,0,0,23,0,5,4,0,0,0,0,1,0,3,1,2,0,0,0,9,8,21,1,1,33,0,0,3,0,0,0,133,2,2,0,0,0,1,7,2,0,3,1,2
35,3351,1,0,0,2,0,2,0,1,1,0,21,1,11,0,39,0,0,0,0,20,2,3,3,0,0,1,0,4,0,0,0,2,0,0,0,6,13,9,0,0,30,0,2,1,0,0,0,138,0,0,0,0,0,0,1,0,0,2,2,0
40,4409,0,0,0,2,0,1,0,0,0,2,21,2,2,0,31,0,0,1,0,14,1,12,3,0,0,0,0,17,0,0,0,0,0,0,0,1,53,56,1,1,22,0,1,1,0,0,1,105,4,0,0,0,0,0,11,0,0,3,1,1
45,5468,1,1,1,2,0,1,0,0,0,0,16,2,4,0,35,0,0,1,0,15,1,13,2,1,0,0,0,25,0,0,0,1,1,0,0,0,55,25,1,1,6,0,0,1,0,0,0,108,2,2,0,0,0,0,5,0,0,1,1,2
50,6526,0,1,0,1,0,3,0,0,0,2,16,0,5,0,38,0,0,0,0,18,0,6,1,1,0,1,0,15,0,0,0,2,1,0,0,0,50,20,3,0,12,0,2,2,0,0,0,108,3,6,0,0,0,0,5,0,0,2,1,4
55,7585,0,1,2,0,0,2,0,0,0,0,16,2,1,0,52,0,0,0,0,13,0,6,2,0,0,0,0,19,1,0,0,1,0,0,0,0,77,12,1,0,14,0,3,4,0,0,1,78,0,1,0,0,0,0,4,0,0,1,1,2
60,8643,3,1,1,3,0,3,0,0,0,4,12,1,2,0,52,0,0,1,0,26,4,0,0,0,0,1,0,6,2,0,3,0,0,0,1,0,20,12,4,1,9,0,1,3,0,0,0,120,1,2,0,0,0,0,6,0,1,19,0,2
65,9702,0,1,0,3,0,0,0,0,0,1,16,0,4,0,40,0,0,1,0,13,6,1,3,0,1,1,0,6,1,0,0,3,0,0,0,0,16,7,2,0,18,0,0,2,0,0,0,145,1,1,0,0,0,0,4,1,0,17,2,2
70,10391,9,0,1,7,0,0,0,0,0,10,39,1,0,0,9,0,0,4,0,31,3,1,0,0,0,2,0,1,1,0,0,0,1,0,0,0,2,9,3,4,28,0,0,9,0,0,1,86,0,0,1,0,0,0,17,1,0,47,0,0
75,10525,10,0,1,13,2,2,0,1,0,19,23,1,4,0,3,0,1,7,0,20,3,0,7,1,0,1,0,0,1,0,0,0,0,0,0,0,0,7,8,20,38,0,0,5,0,0,1,76,0,1,5,1,0,0,10,1,0,37,1,1
80,10659,37,0,1,19,3,1,0,2,0,20,24,0,4,0,0,0,3,19,1,39,7,0,8,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,9,23,16,0,0,17,3,1,0,43,0,3,6,1,1,0,0,1,0,11,1,1
90,10928,17,1,0,18,1,0,1,2,0,30,20,0,7,0,2,0,0,17,0,13,1,0,7,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,13,51,26,0,0,10,1,2,0,54,0,5,6,0,0,1,0,3,2,15,2,0
100,11196,20,0,2,9,0,1,0,0,0,35,18,0,3,0,1,0,0,18,0,22,3,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,38,30,0,0,15,2,1,0,76,0,5,3,1,1,0,0,1,1,9,1,2
120,11733,21,0,3,10,6,1,0,0,0,36,17,0,3,0,1,0,0,14,1,47,3,0,1,0,0,4,1,0,0,0,2,0,0,1,0,0,0,0,12,26,28,0,0,17,2,0,0,55,0,0,0,1,1,0,1,2,0,3,2,1
140,12271,26,0,2,6,2,1,0,1,0,36,36,1,1,0,0,0,0,11,0,23,3,0,6,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,6,26,36,0,0,4,2,0,0,62,0,4,7,0,1,0,0,1,0,12,1,1
