"sample.depths","sample.ages","Carya","Asteraceae.undiff.","Cyperaceae","Quercus","Ambrosia","Fabaceae","Amaranthaceae","Thalictrum","Pinus","Cephalanthus","Casuarina","Polygonaceae","Myrica","Liquidambar","Poaceae","Cupressaceae.Taxaceae","Ericaceae","Betula","Magnolia","Ilex","Fraxinus","Ulmus","Euphorbiaceae","Bumelia","Bursera.simaruba","Alnus","Melastomataceae","Celtis","Salix","Anacardiaceae","Apiaceae"
1,-41,0.0098360655737705,0.0131147540983607,0.0131147540983607,0.0098360655737705,0.00327868852459016,0.00327868852459016,0.947540983606557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-32,0,0.00625,0.00625,0.003125,0,0,0.9625,0.003125,0.01875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-23,0,0.0036101083032491,0.0036101083032491,0.0144404332129964,0.0036101083032491,0,0.949458483754513,0,0.0144404332129964,0.0036101083032491,0.0072202166064982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-15,0,0.0164473684210526,0.00986842105263158,0.00986842105263158,0,0,0.930921052631579,0,0.0197368421052632,0.00986842105263158,0,0.00328947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-6,0,0.0135135135135135,0.0135135135135135,0,0,0,0.945945945945946,0,0.0168918918918919,0,0,0.00675675675675676,0.00337837837837838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,0.00289017341040462,0.0317919075144509,0.0202312138728324,0.00867052023121387,0.00289017341040462,0.00289017341040462,0.855491329479769,0,0.0317919075144509,0.00867052023121387,0.0115606936416185,0.00578034682080925,0.00289017341040462,0.00289017341040462,0.00867052023121387,0.00289017341040462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,11,0.0151515151515152,0.0303030303030303,0.0404040404040404,0.00505050505050505,0.00505050505050505,0.00505050505050505,0.813131313131313,0,0.0656565656565657,0,0,0.0101010101010101,0.00505050505050505,0,0,0,0.00505050505050505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,20,0.00297619047619048,0.0297619047619048,0.00892857142857143,0.0119047619047619,0.0208333333333333,0.00297619047619048,0.74404761904762,0.00297619047619048,0.0625,0.00297619047619048,0.0208333333333333,0.00297619047619048,0.074404761904762,0,0.00297619047619048,0,0,0.00595238095238095,0.00297619047619048,0,0,0,0,0,0,0,0,0,0,0,0
17,28,0.00793650793650794,0,0.00793650793650794,0,0.00793650793650794,0,0.857142857142857,0,0.0634920634920635,0,0.0238095238095238,0.0158730158730159,0.0158730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,37,0,0.0212765957446809,0.0132978723404255,0.00265957446808511,0.0106382978723404,0.00265957446808511,0.625,0,0.180851063829787,0,0,0.00265957446808511,0.122340425531915,0,0.00797872340425532,0,0,0,0.00265957446808511,0.00531914893617021,0.00265957446808511,0,0,0,0,0,0,0,0,0,0
21,46,0,0.00740740740740741,0.0666666666666667,0.037037037037037,0.00740740740740741,0,0.407407407407407,0,0.355555555555556,0,0,0.0148148148148148,0.0666666666666667,0.00740740740740741,0.00740740740740741,0.00740740740740741,0.00740740740740741,0,0.00740740740740741,0,0,0,0,0,0,0,0,0,0,0,0
