"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Ericaceae","Fraxinus.nigra.type","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Juniperus.type","Amaranthaceae","Poaceae","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Cyperaceae","Fagus","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Taxus","Nemopanthus.mucronatus","Pinus.resinosa.type","Juniperus.communis.Thuja.occidentalis.type","Ranunculaceae.undiff.","Campanula.type","Juglans.cinerea","Populus.balsamifera.type","Fraxinus.americana.type","Rubiaceae","Caryophyllaceae","Lonicera","Prunus.pensylvanica","Tilia","Fabaceae.undiff.","Carya.ovata","Castanea.dentata","Rumex.type","Juglans.nigra","cf..Oxyria.digyna","Impatiens","Acer.saccharinum","Shepherdia.canadensis","Oxytropis.maydelliana.type"
350,8725,673,0,0,3,14,4,3,136,0,2,0,52,67,60,14,6,0,3,6,0,12,0,6,5,3,2,0,122,99,0,10,9,0,0,11,1,4,0,0,12,0,0,0,1,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0
360,9144,567,0,0,4,63,0,11,177,0,2,1,11,10,41,9,5,0,11,7,1,73,4,5,7,0,0,0,59,19,0,9,12,0,0,22,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
380,9983,593,0,0,1,33,0,6,55,1,4,0,60,72,7,15,8,0,11,8,0,45,4,11,0,4,0,1,176,2,1,35,23,0,0,4,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
400,NA,413,0,0,2,20,2,6,35,0,0,0,64,12,7,21,6,0,16,11,2,43,14,17,1,0,0,1,110,2,0,10,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,NA,468,0,0,3,8,2,12,18,0,4,0,29,29,7,28,9,1,10,13,2,28,8,13,0,1,0,2,198,8,0,6,22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0
440,NA,531,0,0,0,10,0,2,23,0,3,6,58,31,4,14,1,0,4,6,0,26,2,12,0,0,0,0,291,4,0,24,5,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
450,NA,592,0,0,9,16,6,11,53,1,3,0,27,41,6,11,6,0,2,8,1,42,5,10,0,0,1,1,224,61,1,16,11,0,2,1,2,1,0,0,9,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
460,NA,415,0,0,3,15,1,7,44,0,6,0,38,35,11,40,3,0,2,13,2,16,4,8,0,1,0,0,115,18,0,9,13,0,3,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
470,NA,454,0,0,3,24,0,2,40,0,4,0,52,30,4,21,0,0,3,15,0,17,2,7,0,0,0,0,183,4,0,25,13,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
480,NA,348,0,0,1,14,0,2,29,0,1,0,34,31,5,8,2,0,1,2,0,14,1,11,2,1,0,2,136,9,0,29,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,NA,377,0,0,4,3,0,1,28,0,1,0,24,30,0,14,0,0,4,4,0,20,0,7,0,0,0,0,183,11,0,19,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
500,NA,300,0,0,2,6,0,2,27,0,1,0,42,33,3,7,0,0,0,1,0,1,1,2,0,0,0,0,149,5,3,4,6,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
