"sample.depths","sample.ages","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Amaranthaceae.undiff.","Pinaceae.undiff.","Cyperaceae","Poaceae.undiff.","Larix","Picea","Pinus.subg..Pinus","Pinus.undiff.","Salix","Sarcobatus.vermiculatus","Trees.undiff.","Pinus.subg..Strobus","Myrica","Artemisia","Cupressaceae","Plantago","Ericaceae","Herbs.undiff.","Ostrya.Carpinus","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Acer","Fagus","Corylus","Fraxinus","Taxus","Caryophyllaceae","Rosaceae.undiff.","Castanea","Thalictrum","Fabaceae","Populus","Ulmus","Nyssa","Asteraceae.undiff.","Iva","Cornus","Sambucus","Vitis","Epilobium","Ranunculaceae.undiff.","Scrophulariaceae","Shepherdia.canadensis","Moraceae","Juglans","Polygonum","Celtis","Dryas.type","Euphorbia","Gentianaceae","Asteraceae.subf..Cichorioideae","Cerealia","Geranium","Ilex","Platanus"
2,232,0.0458015267175573,0.00458015267175573,0.0610687022900763,0.00152671755725191,0.082442748091603,0.00152671755725191,0.0473282442748092,0.00458015267175573,0.00152671755725191,0.0137404580152672,0.709923664122137,0.00305343511450382,0.00916030534351145,0.00305343511450382,0.00152671755725191,0.00916030534351145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,673,0.0411622276029056,0,0.0314769975786925,0,0.0556900726392252,0,0.0217917675544794,0,0.00242130750605327,0.00242130750605327,0.825665859564165,0,0.0121065375302663,0,0,0,0.00242130750605327,0.00484261501210654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1113,0.0499139414802065,0.00172117039586919,0.0550774526678141,0,0.0430292598967298,0,0.0258175559380379,0,0,0,0.80895008605852,0,0.00860585197934595,0,0,0,0,0,0.00172117039586919,0.00344234079173838,0.00172117039586919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1554,0.0650095602294455,0.00191204588910134,0.0592734225621415,0.00191204588910134,0.0611854684512428,0,0.0267686424474187,0.00382409177820268,0,0.00191204588910134,0.751434034416826,0,0.00764818355640535,0,0,0.00764818355640535,0,0,0,0,0,0.00191204588910134,0.00191204588910134,0.00573613766730402,0.00191204588910134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1995,0.0396375990939977,0.00339750849377123,0.0362400906002265,0,0.0611551528878822,0,0.0351075877689694,0.00226500566251416,0.00226500566251416,0.00339750849377123,0.785956964892412,0.00113250283125708,0.00906002265005663,0,0,0.00679501698754247,0.00339750849377123,0.00113250283125708,0,0,0,0.00113250283125708,0,0.00226500566251416,0.00113250283125708,0.00113250283125708,0.00113250283125708,0.00113250283125708,0.00113250283125708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2436,0.075134168157424,0,0.0572450805008945,0,0.0661896243291592,0,0.0411449016100179,0,0.00178890876565295,0.00178890876565295,0.745974955277281,0,0.00178890876565295,0,0,0,0.00178890876565295,0.00178890876565295,0,0.00178890876565295,0,0.00178890876565295,0,0,0.00178890876565295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2877,0.0360169491525424,0,0.0593220338983051,0,0.11228813559322,0,0.0677966101694915,0.00635593220338983,0.00211864406779661,0,0.690677966101695,0,0.00635593220338983,0.00211864406779661,0,0.00211864406779661,0.00635593220338983,0,0.00211864406779661,0,0,0,0,0,0,0,0,0.00211864406779661,0,0.00423728813559322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,3318,0.0494880546075085,0,0.0494880546075085,0,0.10580204778157,0,0.0307167235494881,0.00341296928327645,0.00341296928327645,0.0068259385665529,0.718430034129693,0,0.0136518771331058,0.00341296928327645,0,0.00341296928327645,0.00341296928327645,0,0,0.00170648464163823,0,0,0,0,0,0,0.00170648464163823,0,0,0.00170648464163823,0.00170648464163823,0.00170648464163823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3571,0.0481727574750831,0.00332225913621262,0.0149501661129568,0,0.0215946843853821,0,0.0215946843853821,0.00498338870431894,0,0.00166112956810631,0.865448504983389,0,0.00664451827242525,0,0,0,0.00332225913621262,0.00166112956810631,0,0,0,0.00332225913621262,0,0,0,0,0,0,0,0,0,0,0.00332225913621262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3825,0.043010752688172,0.000977517106549365,0.043010752688172,0,0.0694037145650049,0,0.0185728250244379,0.010752688172043,0.000977517106549365,0.00488758553274682,0.793743890518084,0,0.00977517106549365,0,0,0,0.00195503421309873,0.00195503421309873,0,0,0,0,0,0,0.000977517106549365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,4079,0.0538720538720539,0.00224466891133558,0.0437710437710438,0,0.0628507295173962,0,0.0112233445566779,0.00224466891133558,0,0.00561167227833894,0.783389450056117,0,0.0168350168350168,0,0,0.00224466891133558,0.00785634118967452,0,0.00112233445566779,0,0,0,0,0,0.00112233445566779,0,0,0,0.00224466891133558,0,0,0,0.00112233445566779,0.00112233445566779,0.00112233445566779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4333,0.0312989045383412,0.00156494522691706,0.0594679186228482,0.00156494522691706,0.161189358372457,0,0.0453834115805947,0.0125195618153365,0.00312989045383412,0.00469483568075117,0.663536776212833,0,0.00625978090766823,0,0,0,0.00156494522691706,0.00312989045383412,0,0,0,0.00156494522691706,0,0,0,0,0,0,0,0.00156494522691706,0,0,0,0,0,0.00156494522691706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4586,0.041044776119403,0.00373134328358209,0.0174129353233831,0,0.0621890547263682,0,0.0373134328358209,0.00621890547263682,0.00248756218905473,0,0.803482587064677,0.00124378109452736,0.00497512437810945,0,0,0.00373134328358209,0.00746268656716418,0,0.00124378109452736,0,0,0.00124378109452736,0,0,0,0,0,0.00497512437810945,0,0.00124378109452736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,4840,0.0485564304461942,0,0.036745406824147,0,0.0656167979002625,0,0.026246719160105,0.005249343832021,0.00131233595800525,0.0026246719160105,0.778215223097113,0.0026246719160105,0.010498687664042,0,0,0.00393700787401575,0.0078740157480315,0.0026246719160105,0.00131233595800525,0,0,0,0,0,0.005249343832021,0,0,0,0.00131233595800525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5094,0.03,0.00461538461538462,0.02,0.000769230769230769,0.0715384615384615,0,0.0407692307692308,0.0107692307692308,0.00153846153846154,0.00230769230769231,0.783846153846154,0,0.00692307692307692,0,0,0.0169230769230769,0.00384615384615385,0.000769230769230769,0.000769230769230769,0,0,0,0,0,0.00230769230769231,0.000769230769230769,0,0.00153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,5347,0.0653104925053533,0,0.0224839400428266,0,0.0877944325481799,0,0.0278372591006424,0.00963597430406852,0.00107066381156317,0.00321199143468951,0.76338329764454,0.00107066381156317,0.0117773019271949,0,0,0.00107066381156317,0.00214132762312634,0,0.00214132762312634,0.00107066381156317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,5584,0.0379746835443038,0,0.030379746835443,0,0.121518987341772,0,0.0354430379746835,0.0126582278481013,0,0.00379746835443038,0.729113924050633,0,0.00506329113924051,0.00126582278481013,0,0.0113924050632911,0.00506329113924051,0,0.00126582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126582278481013,0.00126582278481013,0.00253164556962025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,5770,0.0393900889453621,0.00127064803049555,0.0203303684879288,0,0.119440914866582,0,0.0177890724269377,0.00254129606099111,0,0.00127064803049555,0.777636594663278,0,0.0127064803049555,0.00127064803049555,0,0.00127064803049555,0.00127064803049555,0,0,0.00127064803049555,0,0,0,0,0,0,0,0,0.00127064803049555,0,0,0.00127064803049555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,5956,0.069377990430622,0,0.0322966507177034,0,0.117224880382775,0,0.027511961722488,0.0083732057416268,0,0,0.717703349282297,0.00119617224880383,0.0107655502392345,0,0,0.00478468899521531,0.00358851674641148,0,0.00119617224880383,0,0,0,0,0,0.00119617224880383,0,0,0,0,0.00119617224880383,0,0.00119617224880383,0.00119617224880383,0,0,0,0,0,0,0.00119617224880383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,6142,0.0775945683802134,0.000969932104752667,0.023278370514064,0,0.126091173617847,0,0.005819592628516,0.00969932104752667,0,0.00193986420950533,0.735208535402522,0,0.005819592628516,0,0,0.005819592628516,0.002909796314258,0,0,0,0,0,0,0,0.000969932104752667,0,0.000969932104752667,0.000969932104752667,0,0,0,0.00193986420950533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,6328,0.103991596638655,0.00105042016806723,0.0252100840336134,0,0.107142857142857,0,0.0220588235294118,0.00735294117647059,0.00210084033613445,0.00105042016806723,0.69327731092437,0,0.00735294117647059,0,0,0.0168067226890756,0.00630252100840336,0,0.00105042016806723,0.00105042016806723,0,0.00105042016806723,0,0,0.00210084033613445,0,0.00105042016806723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,6513,0.0988735919899875,0.0187734668335419,0,0,0.14017521902378,0.00125156445556946,0.0475594493116396,0.00250312891113892,0,0,0.658322903629537,0,0.0212765957446809,0,0,0.00500625782227785,0.00250312891113892,0,0,0.00125156445556946,0,0,0,0,0,0,0,0,0,0.00125156445556946,0,0,0,0,0.00125156445556946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,6699,0.199108469539376,0.00445765230312036,0.0237741456166419,0,0.062407132243685,0,0.062407132243685,0.00297176820208024,0,0,0.610698365527489,0,0.00891530460624071,0,0,0.0148588410104012,0.00891530460624071,0.00148588410104012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,6885,0.149273447820343,0.00396301188903567,0.0501981505944518,0,0.170409511228534,0.00132100396301189,0.120211360634082,0.0145310435931308,0.00264200792602378,0,0.439894319682959,0.00132100396301189,0.011889035667107,0,0,0.0198150594451783,0.00660501981505945,0,0,0,0,0.00132100396301189,0,0,0.00264200792602378,0,0,0.00132100396301189,0,0.00132100396301189,0,0,0,0,0,0,0,0,0,0.00132100396301189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,7071,0.144987572493786,0.00414250207125104,0.111847555923778,0,0.275062137531069,0,0.0729080364540182,0.00911350455675228,0.000828500414250207,0.000828500414250207,0.299088649544325,0.000828500414250207,0.0115990057995029,0,0,0.0497100248550124,0.0107705053852527,0.00248550124275062,0,0,0,0,0,0,0.000828500414250207,0,0.000828500414250207,0,0,0,0,0.000828500414250207,0,0.000828500414250207,0,0,0,0,0,0.00165700082850041,0.000828500414250207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,7257,0.268835616438356,0,0.116438356164384,0.00171232876712329,0.13013698630137,0,0.14041095890411,0.00856164383561644,0.00856164383561644,0,0.222602739726027,0,0.0256849315068493,0,0,0.0513698630136986,0.00856164383561644,0.00171232876712329,0,0.00171232876712329,0,0.00342465753424658,0,0,0.00513698630136986,0,0.00171232876712329,0.00171232876712329,0,0,0.00171232876712329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
