"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Larix","Ostrya.Carpinus","Picea","Platanus","Quercus","Salix","Ulmus","Alnus","Pinus","Populus","Poaceae","Humulus","Fraxinus.nigra","Juglans.nigra","Celtis","Sarcobatus.vermiculatus","Vitis","Acer.saccharum","Asteraceae.undiff.","Corylus","Tilia","Iva.annua","Fraxinus.pennsylvanica","Juglans.cinerea","Ranunculus","Epilobium","Rumex","Shepherdia.canadensis","Potentilla","Caryophyllaceae","Rosaceae.undiff.","Acer.negundo","Liliaceae","Thalictrum","Polygonum","Urtica","Ephedra","Ericaceae"
755,NA,335,6,4,4,68,1,1,1,10,4,5,31,3,17,5,37,33,90,5,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,NA,332,1,4,5,55,4,1,0,5,4,3,19,0,25,7,29,38,109,10,6,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,NA,444,2,8,6,75,2,5,0,9,10,9,49,0,39,9,20,13,152,7,10,0,9,2,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,NA,334,0,6,14,48,1,0,0,5,6,7,48,2,24,12,22,10,101,7,5,1,7,2,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,NA,405,2,7,17,36,2,1,3,9,4,6,76,0,29,16,23,7,129,2,7,1,19,2,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,NA,418,2,1,15,25,0,1,1,7,12,2,151,0,17,5,24,5,111,2,9,0,17,1,0,0,0,0,3,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
810,NA,441,0,6,14,37,1,2,1,20,11,9,162,0,22,5,26,6,61,10,4,0,32,0,2,1,0,1,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,NA,364,3,5,14,21,0,0,0,23,14,5,131,0,16,16,27,9,48,5,3,1,8,0,0,0,0,0,2,1,0,0,0,2,2,1,2,2,3,0,0,0,0,0,0,0,0,0
830,NA,521,2,6,19,35,0,5,3,17,30,2,200,0,23,20,37,5,43,14,9,1,26,0,0,1,0,3,2,7,0,0,3,0,1,1,0,0,0,1,2,1,2,0,0,0,0,0
830,NA,521,2,6,19,35,0,5,3,17,30,2,200,0,23,20,37,5,43,14,9,1,26,0,0,1,0,3,2,7,0,0,3,0,1,1,0,0,0,1,2,1,2,0,0,0,0,0
835,NA,155,0,5,4,5,0,1,2,10,16,0,56,0,7,6,9,5,12,3,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0
840,NA,355,0,6,15,24,0,3,5,20,19,6,130,0,18,10,27,9,14,14,4,1,18,0,0,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
845,12135,111,0,1,2,7,0,0,2,9,9,0,47,0,3,4,3,2,4,3,1,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,3,0,0,0,0,0
850,12158,484,6,4,9,41,2,5,5,18,20,6,188,0,20,23,44,9,15,10,8,1,30,0,1,1,0,0,1,4,0,1,0,0,4,0,0,0,0,0,2,4,1,1,0,0,0,0
850,12158,484,6,4,9,41,2,5,5,18,20,6,188,0,20,23,44,9,15,10,8,1,30,0,1,1,0,0,1,4,0,1,0,0,4,0,0,0,0,0,2,4,1,1,0,0,0,0
860,12204,442,2,5,17,39,0,4,0,38,21,4,184,0,16,9,17,7,19,4,15,0,13,0,0,0,0,2,2,4,0,0,1,0,11,0,0,0,0,1,0,0,0,0,0,7,0,0
