"sample.depths","sample.ages","Abies","Alnus","Amaranthaceae","Artemisia","Asteraceae.undiff.","Betula","Caryophyllaceae","Cyperaceae","Dryopteris.type","Ericaceae","Fabaceae","Fraxinus","Huperzia.selago","Isoëtes","Lycopodiaceae.undiff.","Nuphar","Onagraceae","Picea","Pinus","Poaceae","Quercus","Rubus","Salix","Saxifragaceae","Selaginella","Shepherdia.canadensis","Sphagnum","Woodsia"
0,34,8,37,0,1,0,38,0,0,2,1,0,0,0,3,1,0,0,136,1,1,0,0,0,0,0,0,6,0
10,580,16,32,0,0,1,34,0,0,1,2,0,0,0,2,2,0,0,197,3,0,0,0,0,0,0,0,5,0
20,1127,19,22,0,0,0,26,0,0,0,4,0,0,0,3,0,0,0,138,3,1,1,0,0,0,0,0,4,0
30,1673,14,36,0,0,0,53,0,1,0,4,0,0,0,7,1,0,0,199,1,1,0,0,0,0,0,0,2,0
40,2220,29,94,0,0,0,78,0,0,4,3,0,0,0,7,2,0,0,243,5,1,0,0,1,0,0,0,7,0
50,2766,17,38,0,0,0,70,0,0,0,3,0,0,0,1,3,0,0,233,2,2,1,0,0,0,0,0,5,0
60,3313,19,27,0,0,0,52,0,1,1,2,0,0,0,0,1,0,0,196,2,0,0,0,0,0,0,0,2,0
70,3859,19,30,0,0,0,50,0,1,1,0,0,0,1,0,3,1,0,236,4,0,0,0,0,0,0,0,2,0
80,4406,18,36,0,1,0,67,0,1,1,0,0,0,0,0,2,0,0,158,2,0,1,0,1,0,0,0,0,0
90,4952,20,31,0,0,0,78,0,3,5,1,0,0,0,0,1,2,0,198,0,1,0,0,0,0,0,0,2,0
100,5499,35,124,1,0,0,127,0,1,5,2,0,0,1,0,7,0,0,73,2,0,0,0,0,0,0,0,3,0
110,6045,42,80,0,0,0,109,0,0,7,0,0,0,0,0,8,0,0,14,2,1,0,0,0,0,0,0,0,0
120,NA,20,162,0,0,1,74,0,1,19,2,0,0,2,1,12,0,0,9,3,1,0,0,0,0,0,0,0,0
127,NA,32,111,0,0,0,84,0,2,7,2,0,0,3,0,5,0,0,17,3,2,0,0,0,0,0,0,2,0
140,NA,25,350,0,0,1,90,0,4,8,2,0,0,1,0,36,0,0,29,0,3,0,0,2,0,0,0,0,0
150,NA,21,123,1,0,0,56,0,2,6,0,0,0,0,0,13,0,0,5,2,3,0,0,0,0,0,0,1,1
160,NA,3,245,0,0,0,18,0,1,5,1,0,0,0,0,4,0,0,2,1,2,0,0,2,0,0,0,0,0
165,NA,1,141,1,2,1,63,0,5,1,3,0,0,0,1,4,0,0,11,5,9,1,0,6,0,1,1,0,1
170,NA,5,49,0,7,0,83,4,8,3,5,0,0,0,0,7,0,0,16,22,8,0,2,28,0,0,0,0,0
175,NA,2,38,0,2,1,76,1,6,0,8,1,1,0,0,4,0,1,20,19,26,0,1,40,1,0,0,0,0
180,NA,0,21,1,3,0,36,3,8,0,1,0,0,0,0,0,0,0,15,29,16,0,4,6,0,0,0,0,0
