"sample.depths","sample.ages","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Picea","Salix","Asteraceae.subf..Asteroideae.undiff.","Alnus","Ambrosia","Pinus","Amaranthaceae","Poaceae","Cupressaceae","Abies","Iva.annua","Shepherdia.canadensis","Juglans.cinerea","Fraxinus.nigra","Myrica","Populus","Tilia","Ulmus","Iva.xanthifolia","Apiaceae","Thalictrum","Quercus","Onagraceae"
1,-2,0.00925925925925926,0.203703703703704,0.169753086419753,0.00308641975308642,0.00308641975308642,0.364197530864198,0.00617283950617284,0.00308641975308642,0.203703703703704,0.00308641975308642,0.0123456790123457,0.00308641975308642,0.0154320987654321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,112,0.00589970501474926,0.188790560471976,0.156342182890855,0.0117994100294985,0.00294985250737463,0.40117994100295,0.0088495575221239,0,0.171091445427729,0.00294985250737463,0.0265486725663717,0,0.023598820058997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,253,0.00303030303030303,0.23030303030303,0.151515151515152,0.00606060606060606,0.00606060606060606,0.403030303030303,0.00303030303030303,0.0212121212121212,0.112121212121212,0.00303030303030303,0.0303030303030303,0,0.0272727272727273,0.00303030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,395,0,0.160990712074303,0.148606811145511,0.00309597523219814,0.00309597523219814,0.424148606811146,0.00928792569659443,0.00619195046439629,0.185758513931889,0,0.0247678018575851,0,0.0309597523219814,0,0.00309597523219814,0,0,0,0,0,0,0,0,0,0,0,0,0
20,536,0,0.194444444444444,0.154320987654321,0.00925925925925926,0,0.435185185185185,0,0,0.157407407407407,0.00308641975308642,0.0185185185185185,0,0.0246913580246914,0.00308641975308642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,678,0.00309597523219814,0.188854489164087,0.108359133126935,0.00619195046439629,0,0.461300309597523,0.00619195046439629,0,0.151702786377709,0,0.0340557275541796,0,0.0371517027863777,0.00309597523219814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,819,0.0029940119760479,0.197604790419162,0.101796407185629,0.0029940119760479,0,0.440119760479042,0.0119760479041916,0.00598802395209581,0.182634730538922,0,0.0389221556886228,0,0.00898203592814371,0,0.0029940119760479,0.0029940119760479,0,0,0,0,0,0,0,0,0,0,0,0
35,961,0.00275482093663912,0.198347107438017,0.112947658402204,0.00550964187327824,0,0.509641873278237,0.00550964187327824,0.00275482093663912,0.110192837465565,0.00275482093663912,0.0413223140495868,0,0.00550964187327824,0,0,0,0.00275482093663912,0,0,0,0,0,0,0,0,0,0,0
40,1102,0.00305810397553517,0.198776758409786,0.091743119266055,0.0122324159021407,0.00305810397553517,0.480122324159021,0.00305810397553517,0.00305810397553517,0.155963302752294,0.00305810397553517,0.0336391437308868,0,0.0091743119266055,0,0,0,0,0.00305810397553517,0,0,0,0,0,0,0,0,0,0
45,1244,0.00536193029490617,0.235924932975871,0.112600536193029,0.00536193029490617,0.0107238605898123,0.466487935656836,0.00268096514745308,0.00268096514745308,0.112600536193029,0.00536193029490617,0.0294906166219839,0,0.00536193029490617,0.00536193029490617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1385,0,0.16875,0.121875,0.00625,0.003125,0.46875,0.009375,0,0.140625,0,0.04375,0,0.03125,0,0.003125,0,0,0,0.003125,0,0,0,0,0,0,0,0,0
55,1527,0.00328947368421053,0.213815789473684,0.141447368421053,0.00328947368421053,0,0.444078947368421,0.00328947368421053,0,0.131578947368421,0.00328947368421053,0.0394736842105263,0,0.0164473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1668,0,0.17629179331307,0.106382978723404,0.00303951367781155,0,0.48936170212766,0.00303951367781155,0.00303951367781155,0.161094224924012,0,0.027355623100304,0,0.027355623100304,0,0.00303951367781155,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1810,0.0032258064516129,0.225806451612903,0.116129032258065,0,0.0064516129032258,0.464516129032258,0,0,0.129032258064516,0,0.0290322580645161,0,0.0258064516129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1951,0,0.238235294117647,0.05,0,0,0.470588235294118,0.0117647058823529,0,0.194117647058824,0,0.0264705882352941,0,0.0088235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2093,0.00313479623824451,0.216300940438871,0.0783699059561129,0.00626959247648903,0.00313479623824451,0.467084639498433,0,0,0.172413793103448,0.00313479623824451,0.0407523510971787,0,0.00626959247648903,0.00313479623824451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2234,0.00278551532033426,0.214484679665738,0.0724233983286908,0.00278551532033426,0.00278551532033426,0.484679665738162,0,0,0.183844011142061,0,0.0194986072423398,0,0.011142061281337,0,0,0,0,0,0,0.00278551532033426,0.00278551532033426,0,0,0,0,0,0,0
85,2376,0.00311526479750779,0.246105919003115,0.105919003115265,0.00311526479750779,0,0.426791277258567,0.00311526479750779,0.00311526479750779,0.183800623052959,0,0.0124610591900312,0,0.00623052959501558,0,0,0,0,0,0,0,0,0.00311526479750779,0.00311526479750779,0,0,0,0,0
90,2517,0.0108695652173913,0.214673913043478,0.0706521739130435,0.00815217391304348,0.00271739130434783,0.510869565217391,0.00815217391304348,0.00271739130434783,0.141304347826087,0,0.0135869565217391,0,0.0108695652173913,0,0.00271739130434783,0,0,0,0,0,0,0,0,0.00271739130434783,0,0,0,0
95,2659,0,0.18562874251497,0.0449101796407186,0.00598802395209581,0.0029940119760479,0.479041916167665,0,0,0.24251497005988,0,0.0179640718562874,0,0.0209580838323353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2800,0.00557103064066852,0.192200557103064,0.0668523676880223,0,0,0.473537604456825,0,0.00278551532033426,0.220055710306407,0,0.0278551532033426,0,0.00835654596100279,0,0,0,0,0,0,0.00278551532033426,0,0,0,0,0,0,0,0
105,2942,0.00328947368421053,0.263157894736842,0.0657894736842105,0.00328947368421053,0.00328947368421053,0.450657894736842,0.00328947368421053,0,0.174342105263158,0.00328947368421053,0.0164473684210526,0,0.00657894736842105,0,0,0,0,0,0,0.00328947368421053,0,0,0,0,0.00328947368421053,0,0,0
110,3083,0,0.191358024691358,0.0709876543209877,0.00617283950617284,0.00308641975308642,0.472222222222222,0.00617283950617284,0.00617283950617284,0.209876543209877,0,0.0277777777777778,0,0.00308641975308642,0,0,0,0,0,0.00308641975308642,0,0,0,0,0,0,0,0,0
115,3225,0.0060790273556231,0.240121580547112,0.0820668693009119,0.00303951367781155,0.00303951367781155,0.428571428571429,0.00303951367781155,0.00303951367781155,0.185410334346505,0,0.033434650455927,0,0.00911854103343465,0,0,0,0,0,0.00303951367781155,0,0,0,0,0,0,0,0,0
120,3421,0.0029673590504451,0.195845697329377,0.0356083086053412,0,0.0029673590504451,0.492581602373887,0,0,0.231454005934718,0.0029673590504451,0.0207715133531157,0,0.0118694362017804,0.0029673590504451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,3618,0.0028735632183908,0.17816091954023,0.0660919540229885,0,0.0028735632183908,0.431034482758621,0.00574712643678161,0,0.28735632183908,0,0.00862068965517241,0,0.0172413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,3814,0.00591715976331361,0.224852071005917,0.0266272189349112,0.0029585798816568,0,0.437869822485207,0,0,0.281065088757396,0,0.014792899408284,0.0029585798816568,0,0,0.0029585798816568,0,0,0,0,0,0,0,0,0,0,0,0,0
