"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus","Amaranthaceae.undiff.","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Caryophyllaceae","Celtis","Corylus","Cyperaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Fraxinus.undiff.","Huperzia.lucidula","Ilex","Indeterminable","Juglans.cinerea","Juglans.nigra","Larix","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Myrica","Nuphar","Nymphaeaceae.undiff.","Osmunda.cinnamomea","Ostrya","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus.type","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus.balsamifera","Populus.grandidentata.type","Pteridium","Quercus","Rumex","Salix","Sarcobatus.vermiculatus","Sphagnum","Thuja.plicata.type","Tilia","Tsuga","Typha.angustifolia","Ulmus","Unknown","Unknown..monolete..psilate."
1,-21,3,5,1,9,1,0,6,1,7,2,0,136,0,0,0,0,7,7,2,3,0,0,0,1,0,0,1,1,0,0,0,15,2,0,13,4,9,65,29,0,0,5,0,2,3,16,0,0,0,0,19,1,83,0,5,0,0
2,-10,2,9,0,7,0,0,5,2,5,4,2,113,1,0,0,0,4,9,0,0,11,1,0,0,0,1,0,0,2,0,0,28,0,0,2,8,3,86,0,0,0,2,0,2,4,15,0,0,0,0,12,1,58,0,13,0,0
4,10,2,9,0,9,0,0,6,3,24,1,0,123,0,4,1,0,3,13,0,0,6,0,0,0,0,0,0,0,1,0,0,9,2,0,3,4,5,62,0,0,0,6,0,10,2,20,0,0,0,0,7,0,28,0,8,0,1
7,40,4,2,0,5,0,0,8,5,36,5,0,113,0,0,0,0,1,17,0,0,4,0,0,0,0,0,0,0,0,3,0,1,0,0,5,7,11,64,0,0,0,3,0,3,2,18,2,0,0,0,6,1,58,0,3,0,1
8,50,3,4,0,12,1,0,12,2,25,2,0,160,0,0,0,0,6,14,0,0,5,1,0,0,0,0,6,0,0,0,0,1,1,0,8,5,14,86,0,0,0,6,0,1,5,9,2,3,0,0,6,0,66,0,5,0,1
9,60,4,2,0,11,0,0,18,2,20,1,0,137,1,0,0,0,7,19,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,7,2,5,65,0,0,0,4,0,2,1,12,0,1,0,0,4,0,56,0,8,0,0
10,70,3,3,0,6,0,0,7,1,16,2,2,133,1,0,4,0,3,23,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,4,15,68,0,0,0,7,0,5,0,23,0,0,0,0,12,0,54,0,7,0,0
12,101,5,3,0,12,0,0,7,1,9,3,0,158,1,0,0,0,6,11,0,0,8,0,0,0,0,0,0,2,1,0,0,3,0,0,3,7,23,94,0,0,0,0,0,4,0,18,0,2,0,0,2,4,87,0,6,0,0
14,143,4,2,0,14,1,0,7,0,5,3,1,152,0,0,0,0,5,9,0,0,6,0,0,0,0,0,3,0,0,0,0,0,1,0,8,4,17,43,0,1,0,4,0,1,0,17,0,0,0,0,1,0,60,0,9,0,0
20,270,1,1,0,10,0,1,6,1,4,5,2,171,1,0,0,1,10,9,0,0,3,1,0,0,0,0,0,0,3,1,0,1,0,0,10,7,17,95,0,0,0,0,0,7,1,16,0,0,0,0,4,1,96,0,12,0,0
