"sample.depths","sample.ages","Abies","Acer","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brassicaceae","Carya","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum","Ephedra","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus","Huperzia.lucidula","Huperzia.selago","Isoëtes","Juglans","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Myrica","Nuphar","Ostrya","Oxyria.digyna","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum.viviparum","Polypodiaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae.undiff.","Rubiaceae","Rubus.chamaemorus","Salix","Selaginella","Shepherdia.canadensis","Sparganium","Sphagnum","Typha","Ulmus","Unknown"
0,58,0,0,6,88,4,6,3,3,110,2,0,0,0,3,30,0,0,0,1,4,0,0,0,0,1,0,5,2,2,1,1,1,0,0,0,549,14,1,3,0,0,4,0,2,0,0,1,2,0,0,0,3,0,0,0,54,0,0,0
1,230,0,0,4,98,5,11,14,2,103,0,0,0,0,6,23,0,0,0,0,5,0,0,0,0,2,0,1,2,2,2,2,1,0,0,0,314,20,0,4,0,0,2,0,1,1,3,0,2,0,0,0,3,0,0,0,45,0,0,1
2,397,0,0,4,98,7,5,9,3,104,0,0,0,0,5,24,0,0,1,0,3,0,0,0,0,0,0,1,6,1,1,1,1,0,0,0,350,16,2,7,0,0,5,0,2,0,1,0,0,0,0,0,3,0,0,0,53,0,0,2
3,558,0,0,2,100,1,4,2,2,98,0,0,0,0,7,28,0,0,0,1,2,1,0,1,0,1,0,1,1,1,2,2,2,0,0,0,405,13,2,3,0,0,7,0,3,0,3,0,1,0,0,0,3,0,0,0,36,0,2,1
4,714,1,0,1,69,1,1,5,1,81,0,0,0,0,3,17,2,0,0,0,6,0,0,0,0,4,0,3,2,1,1,0,0,0,1,0,382,10,1,3,0,1,5,0,2,0,0,0,0,0,1,0,1,0,0,0,37,0,0,0
5,866,0,0,1,80,0,3,4,0,62,0,0,0,2,10,17,2,0,0,0,8,0,0,0,0,2,0,0,1,4,2,0,1,0,1,0,369,13,3,13,0,0,10,0,1,1,3,1,1,0,0,0,2,0,0,0,33,0,0,3
6,1012,0,0,1,70,2,1,3,0,71,0,0,0,0,8,22,2,0,0,2,5,0,0,0,0,4,0,0,2,0,1,3,1,0,1,0,347,19,0,4,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,30,0,0,1
7,1154,0,0,1,82,0,3,4,0,85,0,0,0,0,11,25,0,0,0,0,2,0,0,0,0,3,0,4,0,1,1,2,3,0,1,0,388,9,1,11,1,0,6,0,2,0,0,0,0,0,0,0,1,0,0,0,41,0,0,0
8,1291,0,0,0,60,1,0,6,3,67,0,0,0,1,3,16,1,1,0,0,7,0,0,0,0,3,0,2,0,1,1,1,0,0,1,0,357,10,1,6,0,0,2,0,0,0,0,0,3,0,0,0,7,0,0,0,21,0,0,3
9,1423,0,1,1,78,0,2,3,1,51,0,0,0,0,8,18,2,0,1,0,3,0,0,0,0,4,0,3,1,1,2,0,0,0,1,0,400,13,0,5,0,0,5,1,1,0,0,0,1,0,0,1,0,0,0,0,20,1,0,0
