"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Betula","Carya","Castanea","Corylus","Cupressaceae","Ericaceae","Fagus","Ilex","Juglans.cinerea","Juglans.nigra","Liquidambar","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Cyperaceae","Iva.annua.type","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Rosaceae","Rumex","Thalictrum","Xanthium","Zea","Huperzia.lucidula","Lycopodium.annotinum","Osmunda","Pteridium","Sphagnum","Typha","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown"
49,760,0,7,7,8,110,9,6,0,1,0,119,2,0,0,0,6,0,5,7,4,21,13,0,1,76,1,0,139,2,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,4,2,0,1,1,5,0
51,840,0,6,15,0,81,4,3,1,0,4,117,0,1,0,0,4,0,0,9,2,32,9,2,0,75,0,1,159,6,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,6,2,0,2,0,3,1
53,920,1,3,9,5,108,6,4,0,0,1,114,3,2,1,0,2,0,2,5,4,23,12,1,0,72,0,1,158,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,1,7,1
55,1000,0,6,16,3,78,5,3,0,1,4,94,1,0,0,0,4,0,3,2,5,12,26,1,0,81,1,0,157,2,0,1,0,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,0
57,1080,0,8,9,5,78,7,8,0,1,1,112,5,1,0,0,2,0,2,3,2,19,5,3,1,85,1,0,138,9,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,1
59,1159,0,11,10,6,88,6,4,1,1,0,105,2,1,0,0,2,0,8,3,1,24,16,1,1,78,0,1,150,3,0,1,0,0,2,0,1,1,1,0,0,3,0,0,0,0,0,1,9,1,0,1,1,5,0
61,1234,0,14,16,10,85,3,0,0,0,1,117,0,0,0,0,0,0,0,5,0,27,5,0,1,85,0,0,138,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,7,3
63,1304,0,9,11,4,96,4,2,0,0,1,105,2,2,0,0,7,0,6,3,11,31,12,1,0,84,0,2,149,2,0,0,0,0,0,2,0,0,3,0,1,1,0,0,0,0,0,0,6,1,0,1,0,5,0
65,1374,1,10,5,7,75,4,5,1,0,1,121,1,0,0,0,1,0,4,7,6,31,20,1,0,73,0,1,146,8,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,1,1,0,1,1,6,0
67,1444,0,11,6,3,85,7,1,1,1,3,84,0,1,1,0,6,0,3,5,3,42,7,1,0,83,1,0,175,7,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,2,1,0,0,7,0
