"sample.depths","sample.ages","Abies","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fraxinus.nigra","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Larix","Lycopodium.annotinum","Myrica","Onagraceae","Picea","Pinus","Poaceae","Populus","Pteridium","Quercus","Sagittaria","Salix","Selaginella.selaginoides","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Ulmus","Unknown"
1,-2,0,66,1,1,0,3,1,66,0,55,1,0,1,0,3,0,0,0,1,6,0,0,118,4,5,0,0,0,0,2,0,0,4,0,0,0,0
5,112,0,58,0,1,0,2,0,64,0,53,0,0,4,0,5,0,0,0,1,5,0,0,136,9,8,0,0,0,0,3,0,0,5,0,0,0,1
10,253,0,37,0,1,0,1,7,76,1,50,2,0,2,0,0,0,0,0,2,3,0,0,133,10,9,0,0,0,0,1,0,0,7,0,0,0,1
15,395,1,60,0,0,0,0,2,52,0,48,0,1,1,0,4,0,0,0,1,7,0,0,137,8,10,0,0,0,0,3,0,0,4,0,0,0,2
20,536,0,51,0,1,0,0,0,63,1,50,0,0,3,0,0,0,0,0,0,9,0,0,141,6,8,0,0,0,0,0,0,0,1,0,0,0,1
25,678,0,49,0,0,0,1,0,61,1,35,0,0,2,0,3,0,0,0,0,5,0,0,149,11,12,0,0,0,0,2,0,0,4,0,0,0,1
30,819,1,61,0,0,0,1,2,66,0,34,1,0,1,0,1,1,0,0,0,4,0,0,147,13,3,0,0,0,0,4,0,0,6,0,0,0,1
35,961,0,40,0,1,0,1,1,72,0,41,1,0,2,0,0,0,0,0,0,2,0,0,185,15,2,0,0,0,0,2,0,1,2,0,0,0,1
40,1102,0,51,0,1,0,1,1,65,0,30,0,0,4,0,3,0,0,1,1,1,0,0,157,11,3,0,0,0,0,1,0,0,4,0,0,0,1
45,1244,0,42,0,2,0,2,1,88,2,42,2,0,2,0,3,0,0,0,4,3,0,0,174,11,2,0,0,0,0,1,0,0,4,0,0,0,0
50,1385,1,45,0,0,0,0,0,54,0,39,2,0,2,1,3,0,0,0,1,4,0,0,150,14,10,0,0,0,0,3,0,0,3,0,0,0,1
55,1527,0,40,0,1,0,1,0,65,0,43,0,0,1,0,1,0,0,0,0,6,0,0,135,12,5,0,1,0,0,1,1,0,2,0,0,0,0
60,1668,1,53,0,0,0,0,1,58,0,35,1,1,1,0,2,0,0,0,0,4,0,0,161,9,9,0,0,0,0,1,0,0,3,0,0,0,1
65,1810,0,40,0,0,0,1,0,70,0,36,0,0,0,0,1,0,0,0,2,3,0,0,144,9,8,0,0,0,0,0,0,0,0,0,0,0,0
70,1951,0,66,0,0,0,0,0,81,0,17,1,0,0,0,9,0,0,0,0,6,0,0,160,9,3,0,0,0,0,4,0,0,6,0,0,0,1
75,2093,0,55,0,1,0,1,0,69,1,25,0,0,2,0,1,0,0,0,1,3,0,0,149,13,2,0,0,0,0,0,0,0,2,0,0,0,1
80,2234,0,66,0,0,0,1,0,77,0,26,2,0,1,0,0,0,0,0,1,5,1,0,174,7,4,1,0,0,0,0,0,0,2,0,0,0,0
85,2376,0,59,0,0,0,1,1,79,0,34,1,0,1,0,3,0,0,0,0,2,0,0,137,4,2,0,1,0,0,1,0,0,5,0,1,1,1
90,2517,1,52,0,0,0,4,1,79,0,26,2,0,3,0,1,0,1,0,1,2,0,0,188,5,4,0,0,0,0,3,0,0,5,0,0,0,0
95,2659,0,81,0,0,0,0,0,62,0,15,0,0,2,0,1,0,0,0,1,5,0,0,160,6,7,0,0,0,0,0,0,0,4,0,0,0,0
100,2800,0,79,0,0,0,2,1,69,0,24,1,1,0,0,1,0,0,0,0,4,1,0,170,10,3,0,0,0,0,0,0,0,5,0,0,0,0
105,2942,0,53,0,1,1,1,0,80,0,20,1,0,1,0,2,0,0,0,1,2,1,0,137,5,2,0,0,0,0,1,0,0,1,0,0,0,0
110,3083,0,68,0,0,0,0,2,62,0,23,2,0,2,1,1,0,0,0,1,2,0,0,153,9,1,0,0,0,0,2,0,0,1,0,0,0,0
115,3225,0,61,0,0,0,2,1,79,0,27,0,0,1,1,2,0,0,0,1,2,0,0,141,11,3,0,0,0,0,1,0,0,4,0,0,0,1
120,3421,0,78,0,1,0,1,0,66,1,12,1,0,0,0,1,0,0,0,1,1,0,0,166,7,4,0,0,0,0,0,0,0,4,0,0,0,0
125,3618,0,100,0,0,0,1,0,62,0,23,0,0,0,0,2,0,0,0,1,5,0,0,150,3,6,0,0,0,0,2,0,0,4,0,0,0,0
130,3814,1,95,1,0,0,2,0,76,0,9,0,0,1,0,2,0,0,0,0,4,0,0,148,5,0,0,0,0,0,0,0,0,3,0,0,0,1
135,4010,1,87,0,0,0,0,0,77,0,5,0,0,1,0,0,0,0,0,1,6,0,0,134,5,2,0,0,0,0,1,0,0,0,0,0,0,0
140,4207,1,111,0,0,0,6,0,70,0,9,1,0,1,0,0,0,0,0,2,3,0,0,152,6,5,0,0,0,0,0,0,0,0,0,0,0,0
145,4403,0,87,0,0,0,0,0,83,0,5,0,0,0,0,2,0,0,0,1,5,1,0,147,6,3,0,0,0,0,1,0,0,0,0,0,0,0
150,4600,0,103,0,0,0,0,1,80,0,9,0,0,0,0,0,0,0,0,2,3,0,0,133,4,4,0,0,0,0,2,0,0,2,1,0,0,1
155,4796,0,87,0,0,0,2,0,87,0,11,2,0,1,0,1,0,0,0,1,5,0,0,131,3,4,0,0,0,0,2,0,0,0,0,0,1,0
160,4992,0,118,0,1,0,1,0,102,0,5,0,0,2,0,0,0,0,0,2,5,0,0,115,1,2,0,0,0,0,3,0,0,3,0,0,0,0
165,5189,1,111,0,1,0,0,1,117,0,10,2,1,1,0,2,0,0,0,2,5,0,0,95,4,6,0,0,1,0,1,0,0,2,1,0,0,0
170,5385,0,119,0,0,0,1,0,104,0,8,0,1,0,0,0,0,0,0,6,7,0,0,73,4,4,0,0,0,0,0,0,0,3,0,0,0,1
175,5581,1,121,0,0,0,2,1,118,0,16,1,0,2,0,0,0,0,0,1,6,0,0,58,2,2,0,0,0,0,3,0,0,1,0,0,0,0
180,NA,0,203,0,0,0,0,0,111,1,16,1,0,0,1,5,0,0,0,1,11,1,0,22,5,4,0,0,0,0,4,0,0,0,0,0,0,0
185,NA,0,193,0,0,0,0,0,97,1,23,1,1,1,0,1,0,0,0,0,14,0,0,18,4,7,0,0,0,0,3,0,0,3,0,0,1,0
190,NA,0,63,0,1,0,2,1,88,0,129,2,0,2,0,3,0,0,0,0,14,0,0,14,18,10,0,1,2,0,5,0,0,10,0,0,0,1
195,NA,1,75,0,2,0,4,2,63,0,50,11,0,2,1,3,0,0,0,0,17,0,1,14,40,44,0,4,3,1,25,0,0,4,0,0,2,2
