"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus.sericea","Corylus","Elaeagnus","Ephedra","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Liquidambar","Liriodendron","Magnolia","Morus","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Epilobium","Galium","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Poaceae.undiff.","Polygonum","Ranunculus","Rosaceae.undiff.","Rumex","Sanguisorba","Scrophulariaceae","Thalictrum","Urticaceae","Xanthium","Zea"
155,2390,425,0,1,22,4,35,32,3,1,0,0,0,0,0,86,11,29,0,3,0,0,0,0,0,0,0,0,0,22,0,0,0,3,8,0,106,0,0,0,5,11,39,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,2512,395,0,1,16,1,45,26,7,0,0,0,0,0,0,85,3,11,0,2,0,0,0,0,0,0,0,0,1,33,0,1,0,5,6,0,102,0,0,0,6,5,35,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
175,2619,409,0,2,19,2,46,18,5,0,0,0,0,0,0,82,22,28,0,4,1,0,0,0,0,0,0,0,1,21,1,1,0,4,2,0,88,1,0,0,5,14,31,8,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2668,461,0,3,20,2,44,15,11,0,0,0,1,0,0,90,7,33,0,2,1,3,0,0,0,0,0,0,2,34,0,3,0,2,5,0,110,0,0,0,11,13,43,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
190,2760,428,0,0,28,2,34,11,15,0,0,0,0,0,0,90,16,25,0,3,0,1,0,0,0,0,0,0,2,38,0,0,0,3,7,1,81,1,0,0,12,11,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2803,396,0,1,31,1,47,17,3,0,0,0,0,0,0,92,20,17,0,5,2,0,0,0,0,0,0,0,0,27,0,4,0,4,3,0,60,1,0,0,8,9,40,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2887,444,0,0,32,2,58,25,7,0,0,0,0,0,0,106,12,23,0,4,0,2,0,0,0,0,0,0,3,34,0,1,0,3,2,0,65,1,0,0,8,15,36,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2971,425,0,0,37,0,46,25,5,0,0,0,0,0,0,100,7,26,0,2,1,0,0,0,0,0,0,0,1,41,0,1,0,0,4,0,52,0,0,0,12,15,47,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,3058,468,0,0,38,4,38,22,4,1,0,0,0,0,0,112,7,27,0,8,3,0,0,0,1,0,0,0,0,23,0,6,0,4,2,0,77,1,0,0,6,15,67,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,3151,355,0,0,32,7,19,24,4,0,0,0,0,0,0,77,13,19,0,3,4,0,1,0,0,0,0,0,0,25,2,2,0,5,1,0,63,0,0,0,6,6,39,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
245,3254,400,0,1,18,2,31,27,5,0,0,0,0,0,0,77,10,11,0,8,2,0,0,0,1,0,0,0,2,32,0,3,0,5,2,0,117,2,0,0,4,5,31,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
255,3367,468,0,0,24,1,88,16,6,0,0,0,1,0,0,87,7,35,0,7,1,2,0,0,2,0,0,0,1,44,0,7,0,4,7,0,66,0,0,0,5,4,47,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,3489,408,0,0,49,1,31,25,6,1,0,0,0,0,0,85,8,21,2,2,0,3,0,0,0,0,0,1,0,47,0,4,3,1,3,0,62,0,0,0,9,11,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
275,3616,452,0,0,24,1,50,23,0,0,0,0,0,0,0,88,9,20,0,6,3,0,0,0,0,0,0,1,0,30,0,7,0,10,1,0,97,1,0,0,10,7,57,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0
