"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Adiantum","Alisma","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Fraxinus.undiff.","Impatiens","Indeterminable","Juglans.cinerea","Juglans.nigra","Larix","Lemna","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella.selaginoides","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Utricularia","Vitis","Xanthium","Zea.mays"
1,-22,0,6,0,2,0,0,4,2,62,0,2,5,0,25,0,0,1,0,0,0,0,3,4,3,0,0,3,0,7,3,1,0,0,0,0,0,3,0,0,3,2,31,0,0,32,21,0,0,70,0,0,0,0,9,0,0,0,4,3,0,0,1,4,8,2,0,3,0,0
10,40,0,6,0,5,0,0,1,4,52,1,0,4,0,21,0,0,1,0,0,0,0,4,0,1,4,0,4,1,9,4,1,0,1,0,0,0,5,0,0,3,0,27,1,1,21,13,0,0,90,0,0,0,0,9,0,0,0,9,0,0,2,4,4,7,15,0,0,0,1
20,109,0,8,0,8,0,0,3,8,84,1,0,4,2,25,0,1,0,1,0,0,1,2,4,1,3,0,1,1,18,4,1,0,0,2,0,0,11,0,0,8,5,14,2,3,20,7,0,3,83,0,0,1,1,5,0,0,1,5,2,0,1,4,7,13,6,0,0,1,0
30,178,0,3,0,3,1,0,6,3,94,1,0,4,3,28,1,1,2,0,0,0,6,3,4,1,3,0,3,1,4,0,0,0,0,1,0,0,2,0,0,3,5,27,0,0,31,7,0,0,65,0,0,2,0,2,0,0,0,0,0,0,0,11,8,28,15,0,1,1,0
40,247,0,12,0,1,0,0,1,11,185,0,0,5,4,42,0,0,4,0,0,0,0,1,1,3,1,0,1,1,15,0,0,0,0,0,0,0,0,0,0,2,1,22,1,1,49,4,0,1,72,0,0,3,0,1,0,0,0,2,3,0,1,3,6,28,8,0,1,0,0
50,316,1,5,0,4,0,0,3,4,153,0,0,9,2,35,0,1,0,0,0,2,0,3,0,6,0,0,0,0,7,1,0,0,0,0,0,0,5,0,0,3,3,30,2,1,1572,5,0,0,69,0,0,2,3,2,0,0,0,63,0,0,2,8,3,20,16,0,0,0,2
60,386,1,4,0,3,0,0,13,11,142,0,0,5,4,29,2,0,1,0,0,0,0,2,0,6,7,0,5,0,3,2,0,0,0,0,0,0,1,0,0,8,0,26,2,1,3522,1,2,5,62,0,2,5,0,3,1,0,0,0,0,0,3,11,4,18,0,1,1,0,0
70,455,1,1,0,6,0,0,8,12,65,0,0,9,3,19,3,4,0,0,0,0,3,7,3,5,3,2,4,0,5,0,0,0,0,0,0,2,0,0,1,7,3,57,1,1,1669,2,0,6,26,0,0,5,6,7,0,0,0,3,0,0,2,23,3,23,10,0,2,0,1
80,524,1,0,0,7,1,4,5,4,27,0,3,4,0,20,0,0,2,0,0,0,0,30,1,9,3,0,3,0,6,0,0,0,0,1,0,1,0,0,0,3,1,78,0,0,41,1,0,0,38,0,0,5,7,2,0,0,0,8,1,0,5,17,24,8,3,2,0,0,0
85,558,1,2,0,2,0,0,3,7,33,0,0,7,1,16,0,0,2,0,0,0,0,24,8,9,2,0,2,0,10,1,0,0,0,0,0,0,0,0,0,6,1,77,0,0,57,2,0,5,33,0,0,3,9,0,0,0,0,42,2,0,3,20,49,19,4,0,1,0,0
