"sample.depths","sample.ages","upland.sum","Pinus.Strobus","Pinus.banksiana.P..resinosa","Picea","Abies","Tsuga","Larix","Juniperus.Thuja","Quercus","Fagus","Carya","Populus","Acer.rubrum","Acer.saccharum","Betula","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Salix","Tilia","Ostrya.Carpinus","Ulmus","Alnus","Ericaceae","Corylus","Ilex.Nemopanthus","Cyperaceae","Poaceae","Chenopodiaceae.Amaranthaceae","Ambrosia","Rumex","Artemisia","Plantago","Lamiaceae","Apiaceae","Caryophyllaceae","Sambucus","Ranunculaceae","Morus","Liquidambar","Asteraceae.subf..Asteroideae.undiff.","Polygonum.amphibium","Iris"
0,-29,447,16,244,5,0,1,1,0,20,0,0,0,0,4,49,0,0,7,0,3,1,4,2,0,0,38,11,9,18,6,5,0,0,0,0,0,0,2,1,0,0,0
5,149,545,18,283,20,5,8,4,0,14,1,0,3,0,0,60,0,1,0,3,6,3,23,20,5,0,30,6,0,24,1,4,1,1,1,0,0,0,0,0,0,0,0
15,504,620,101,165,18,8,17,1,0,15,11,2,0,0,3,144,0,0,0,0,4,5,14,7,0,0,60,0,1,33,0,9,0,0,1,1,0,0,0,0,0,0,0
25,860,572,115,84,40,4,33,4,0,17,18,0,1,0,4,150,0,0,0,0,4,10,21,20,5,0,22,3,0,7,1,6,1,0,0,0,1,1,0,0,0,0,0
35,1216,553,168,44,11,9,17,1,0,20,14,1,0,1,7,148,0,0,0,0,10,12,11,10,3,0,54,4,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0
45,1571,584,120,76,25,5,17,4,0,28,6,0,1,1,3,156,0,1,1,0,11,8,14,9,0,0,84,3,2,3,0,6,0,0,0,0,0,0,0,0,0,0,0
65,2283,550,218,44,11,1,16,3,0,22,7,0,0,0,8,158,3,3,0,0,7,11,7,1,2,0,10,0,2,10,0,6,0,0,0,0,0,0,0,0,0,0,0
75,2638,534,190,60,12,3,17,4,0,19,10,0,0,0,10,164,5,0,1,0,0,6,8,1,2,0,9,2,3,2,0,6,0,0,0,0,0,0,0,0,0,0,0
85,2994,589,266,50,8,2,13,0,0,25,6,0,1,1,7,135,4,0,0,0,7,12,7,1,1,1,33,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0
90,3172,639,206,62,16,4,16,1,0,29,12,1,0,0,6,176,1,1,3,1,11,5,15,0,3,1,55,3,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0
95,3350,654,340,42,14,4,8,0,0,25,2,0,0,0,6,129,0,3,0,0,9,10,14,1,3,1,29,4,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0
102,3599,569,202,90,12,0,13,6,0,37,3,1,0,0,12,56,0,0,2,1,4,8,9,0,1,0,97,2,2,1,0,8,0,0,0,0,0,0,0,0,1,1,0
107,NA,438,212,58,8,0,23,8,1,24,3,0,0,0,6,32,2,0,0,0,1,8,7,0,1,0,25,3,0,6,0,5,0,0,0,0,0,0,0,0,1,0,4
