"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana.type","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae","Ambrosia.Iva","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Campanula","Carya","Caryophyllaceae","Castanea","Cephalanthus.occidentalis","Coniferophyta.undiff.","Cornus","Corylus","Cupressaceae","Cyperaceae","Diospyros","Diphasiastrum.complanatum","Drosera","Epilobium","Equisetum","Ericaceae","Fabaceae","Fagus.grandifolia","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Galium","Huperzia.lucidula","Huperzia.selago","Ilex","Indeterminable","Isoëtes.lacustris","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Liquidambar.styraciflua","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.obscurum","Menyanthes.trifoliata","Nuphar","Nymphaea","Nyssa","Osmunda.cinnamomea","Osmunda.regalis.O..claytoniana","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus.occidentalis","Poaceae","Polemonium","Polygonum.lapathifolium.type","Polypodiaceae","Populus","Pteridium","Quercus","Rhamnaceae","Rosaceae.undiff.","Sagittaria","Salix","Sanguisorba.canadensis","Selaginella.selaginoides","Sphagnum","Stuckenia.vaginatus.type","Thalictrum","Tilia","Tsuga","Typha.angustifolia.Sparganium","Ulmus","Unknown","Unknown..trilete..undiff.","Urticaceae"
0,1,0,0,0,0,0,1,0,1,0,14,0,1,0,7,0,7,0,0,0,14,0,4,12,0,0,2,0,9,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,2,0,1,2,0,0,1,2,0,0,0,6,0,1,0,6,2,0,0,0,0,0,83,0,1,2,0,0,0,1,0,208,0,0,0,10,0,0,0,0,0,0,1,1,0,5,0,0
10,658,0,0,0,0,0,0,0,1,0,7,0,0,0,2,0,21,0,0,0,12,0,24,71,0,0,1,0,5,0,0,0,0,2,1,2,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,5,0,5,0,0,0,7,4,32,0,0,0,0,1,0,0,1,208,0,0,0,24,0,0,0,0,0,0,1,0,0,7,0,0
20,1315,0,0,2,1,0,1,0,1,0,4,1,0,0,1,0,12,0,2,0,11,0,9,60,0,0,1,0,12,0,0,0,0,1,0,0,3,0,0,2,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,2,0,2,0,0,2,3,2,28,0,1,2,0,0,0,1,0,219,0,0,3,26,0,0,0,0,0,0,3,2,2,6,0,0
30,1972,0,0,3,1,0,0,0,0,0,2,1,0,0,0,0,7,0,1,0,12,0,11,111,0,3,0,0,6,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1,2,0,0,0,2,0,1,1,1,3,0,0,1,3,0,22,0,3,0,0,0,0,5,0,191,0,0,0,39,0,0,0,0,2,1,1,0,1,1,9,0
40,2630,1,1,1,0,0,0,0,0,0,3,1,0,0,3,0,8,0,0,0,15,0,20,33,0,0,1,0,11,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,4,2,0,0,1,0,5,24,0,0,6,0,1,0,1,1,168,0,0,0,17,0,0,0,0,1,0,1,0,0,10,0,0
50,3287,2,0,0,0,0,1,0,0,1,4,0,0,0,2,0,9,0,0,0,14,0,9,34,0,0,0,0,15,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,5,5,1,0,0,0,2,4,5,28,0,0,6,0,4,0,6,7,191,0,0,0,13,0,0,0,0,1,1,0,0,0,2,0,1
60,3946,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,14,0,0,0,17,0,4,43,0,0,0,0,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,9,2,2,0,4,5,0,0,0,0,5,29,0,0,8,0,1,1,0,1,194,0,0,0,23,0,0,0,0,0,0,0,0,0,10,0,0
70,4605,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,4,0,0,0,29,0,0,66,0,0,2,0,1,0,0,0,0,2,0,0,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,6,0,8,2,1,2,0,0,1,2,2,45,0,3,3,0,4,0,3,0,225,0,0,0,61,0,0,0,0,1,1,5,0,0,0,0,0
80,5269,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,9,0,0,0,25,0,1,58,0,0,0,0,2,0,0,0,0,4,1,1,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,9,2,1,1,0,0,0,3,0,35,1,0,22,0,8,0,2,0,226,0,0,0,87,0,0,0,0,2,1,11,0,0,8,1,0
90,5941,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,8,0,0,0,29,0,1,19,0,0,1,0,1,2,0,0,0,1,0,0,8,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,0,1,0,0,0,0,1,44,1,0,13,0,6,2,2,0,251,0,0,0,38,0,0,0,0,0,1,16,0,2,6,0,0
