"sample.depths","sample.ages","upland.sum","Abies","Acer","Alnus","Betula","Carya","Corylus","Cupressaceae","Ephedra","Fagus","Fraxinus","Juglans","Larix","Liquidambar","Ostrya.Carpinus","Other.trees.and.shrubs","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhus","Salix","Sarcobatus.vermiculatus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia.Iva","Apiaceae","Artemisia","Asteraceae.undiff.","Brassicaceae","Cannabis.sativa","Caryophyllaceae","Chenopodiaceae.undiff.","Cyperaceae","Fabaceae","Humulus","Liliaceae","Other.herbs","Plantago","Poaceae","Polemoniaceae","Polygonaceae.undiff.","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Urtica"
1,-20,344,0,0,0,6,5,1,1,0,0,6,2,4,0,1,1,0,3,2,22,0,0,67,4,6,0,0,1,3,0,14,0,4,4,1,0,0,0,20,10,0,0,4,0,135,0,0,8,5,4,0,0
10,72,316,0,1,2,7,3,0,0,0,0,1,2,6,0,1,0,2,2,1,18,0,0,72,1,4,0,0,1,1,0,5,0,6,2,1,0,0,1,8,9,0,0,0,0,155,0,0,0,1,3,0,0
20,173,335,0,2,0,3,0,1,0,0,0,8,1,5,0,0,0,0,0,0,11,0,0,64,0,2,0,0,0,8,0,3,0,2,5,2,2,0,2,10,28,0,0,1,0,173,0,1,0,0,1,0,0
30,275,314,0,3,0,5,4,1,0,0,0,5,3,5,0,1,0,0,0,0,17,1,0,79,1,4,0,0,0,6,0,10,0,7,1,1,0,0,1,10,0,0,0,0,0,142,0,0,1,4,2,0,0
40,377,313,0,1,0,6,5,0,1,0,0,4,1,3,0,3,0,0,0,2,17,0,0,118,0,0,0,0,0,3,0,9,0,2,0,0,0,1,0,8,0,0,0,0,0,129,0,0,0,0,0,0,0
50,478,333,0,2,3,9,9,1,0,0,0,1,1,2,0,1,1,1,1,0,23,0,0,148,0,0,0,0,2,6,0,5,1,2,2,0,0,0,2,17,0,0,0,0,0,92,0,0,0,0,0,1,0
60,580,312,0,0,3,5,4,0,0,0,1,2,0,2,1,4,0,1,0,4,17,2,0,84,0,0,0,1,0,1,0,3,1,1,2,1,0,0,2,9,0,0,0,0,0,159,0,0,0,0,1,1,0
70,682,306,0,1,2,8,2,0,1,0,2,2,1,2,0,1,0,1,0,2,16,0,1,109,0,1,0,0,0,4,1,5,0,1,2,0,0,0,3,17,0,0,0,0,0,121,0,0,0,0,0,0,0
80,783,347,0,1,1,2,2,1,0,0,0,2,0,4,0,3,0,0,0,1,13,2,1,82,0,0,0,0,0,3,0,6,1,4,2,1,0,0,2,8,0,0,0,0,0,204,0,0,0,0,1,0,0
100,987,309,0,3,0,2,5,0,0,0,1,2,1,2,0,0,1,2,0,1,12,0,0,90,0,1,0,0,0,4,0,15,0,0,1,0,0,0,5,6,0,0,0,0,0,154,0,0,1,0,0,0,0
