"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium.simplex.type","Botrychium.undiff.","Carya","Caryophyllaceae","Castanea","Cornus.sericea","Corylus","Cupressaceae","Cyperaceae","Dennstaedtia","Diphasiastrum.complanatum","Dryopteris.type","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Huperzia.selago","Indeterminable","Isoëtes","Juglans.cinerea","Larix","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Myrica","Myriophyllum.alterniflorum","Osmunda.cinnamomea","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera","Potamogetonaceae","Potentilla","Pteridium","Quercus","Rosaceae.undiff.","Rumex.Oxyria.digyna","Salix","Saxifraga.oppositifolia.type","Selaginella.rupestris","Selaginella.selaginoides","Selaginella.sibirica","Shepherdia.canadensis","Sparganium","Sphagnum","Spiraea","Thalictrum","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown","Woodsia.ilvensis"
681,NA,3,1,0,0,1,0,0,10,1,0,0,0,3,156,0,0,0,1,0,0,0,1,0,0,0,3,0,0,1,0,0,1,0,6,40,0,2,0,1,0,2,0,11,0,1,0,2,0,9,6,0,74,27,0,3,0,0,0,24,0,0,1,0,0,0,0,0,0,1,1,0,2,0,3,3,0
691,NA,4,0,1,1,0,0,0,4,0,0,0,0,4,100,0,0,0,0,1,0,0,0,1,0,0,15,0,0,2,0,0,2,0,5,43,0,5,0,0,2,5,0,30,0,3,1,4,0,26,18,0,38,11,2,4,0,0,0,34,0,0,1,0,0,0,1,0,0,10,2,0,0,0,2,1,0
701,NA,0,0,0,0,0,0,0,6,0,0,0,1,2,125,0,0,0,0,0,0,0,4,2,1,0,34,1,0,1,0,1,2,0,2,25,1,7,1,0,1,3,1,33,0,2,0,1,4,25,22,1,19,5,3,4,0,2,0,8,0,0,3,0,0,0,1,0,0,1,3,0,0,0,2,1,0
702,NA,0,0,0,0,0,0,6,0,0,0,0,1,2,118,0,1,0,0,0,0,1,6,1,0,0,56,0,0,0,0,0,3,0,9,72,0,6,3,0,13,9,1,53,0,6,5,4,13,29,56,2,15,15,6,0,0,0,0,25,0,0,3,0,0,0,1,0,1,1,0,0,0,0,3,1,0
708,NA,2,0,0,0,1,0,0,2,1,0,0,0,3,77,0,0,0,0,1,0,0,4,0,0,0,64,0,0,3,0,1,2,0,8,239,0,0,3,0,11,21,7,62,0,0,0,1,4,2,26,2,11,8,16,1,0,1,1,16,1,0,15,0,0,0,1,0,0,8,2,0,1,0,0,3,0
716,NA,1,0,0,0,0,0,1,6,0,0,0,1,4,94,0,0,0,0,0,0,0,4,5,0,0,42,0,0,6,0,0,2,0,8,161,0,1,2,0,9,37,10,20,0,0,0,0,14,0,12,1,11,10,17,1,1,0,2,4,0,0,16,0,0,0,0,0,0,2,0,0,1,0,0,3,0
720,NA,0,0,0,0,0,2,1,8,0,1,0,1,3,127,0,1,0,0,0,0,0,0,5,0,0,30,0,0,10,0,0,1,0,9,205,0,0,5,0,27,21,9,23,0,0,0,0,3,2,12,6,5,17,10,1,0,0,0,9,0,0,16,0,0,0,1,0,0,5,0,0,0,0,0,0,0
722,NA,0,0,0,0,0,3,2,0,0,0,1,0,3,169,0,0,0,0,0,0,0,3,10,0,0,38,1,0,17,1,0,1,0,8,555,0,5,1,0,19,7,0,10,0,0,0,1,2,2,10,9,4,22,11,1,0,0,2,6,0,0,22,0,0,0,2,0,0,6,0,1,3,0,0,2,0
725,NA,0,0,0,0,0,0,0,12,0,0,0,0,2,150,0,0,0,0,0,0,0,0,18,0,0,62,0,0,7,0,0,0,0,8,103,0,0,3,0,6,2,3,17,0,0,0,1,0,2,9,3,4,28,3,0,0,0,0,3,0,1,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0
727,NA,1,0,0,0,0,0,2,11,0,3,0,2,4,142,0,0,1,0,0,0,0,0,35,0,0,69,1,0,7,0,0,0,0,19,43,0,0,7,0,8,4,2,10,0,0,0,2,0,3,3,0,0,18,9,0,0,0,0,0,0,0,6,0,0,0,2,0,0,4,0,2,0,0,2,4,0
729,NA,0,0,0,0,0,3,1,11,0,0,0,1,5,152,0,0,0,0,0,0,0,1,34,0,0,109,0,0,3,0,0,0,0,19,56,0,0,0,0,9,8,0,14,0,0,0,2,1,3,9,2,6,30,12,0,0,0,0,1,0,2,16,0,0,0,1,0,0,7,0,0,1,0,2,0,0
730,NA,0,0,0,0,0,1,3,10,0,0,0,3,3,158,0,1,0,0,0,0,0,1,27,0,0,79,0,0,5,0,0,2,0,14,56,0,0,1,0,7,5,4,15,0,0,0,3,0,2,6,1,5,33,5,0,0,0,0,1,0,0,9,0,0,0,0,0,0,8,0,2,0,0,1,1,0
734,NA,1,0,1,0,0,11,9,0,0,2,0,7,6,192,0,1,0,0,0,0,0,1,49,0,1,429,0,1,7,0,0,1,0,30,84,0,0,6,0,39,7,0,37,0,0,0,2,5,2,11,11,5,40,15,0,0,0,0,1,0,1,27,0,0,0,1,0,0,7,0,1,0,0,0,3,0
738,NA,0,0,1,0,0,0,0,12,0,1,0,1,5,97,0,0,0,0,0,0,0,1,23,0,0,168,0,0,4,0,0,0,0,15,23,0,0,5,0,6,1,1,23,0,0,0,1,0,2,7,1,3,17,8,0,0,0,0,2,0,1,16,0,0,0,0,0,0,6,0,1,0,0,2,2,0
742,NA,0,0,0,0,0,2,0,11,0,1,0,1,6,158,0,0,0,0,1,0,0,0,52,0,0,426,1,0,6,0,0,0,1,12,76,0,0,15,0,26,15,3,54,0,0,0,1,0,1,9,2,5,28,15,0,0,0,0,0,0,3,14,0,0,0,0,0,0,10,0,1,1,0,0,4,0
747,NA,1,0,0,0,0,3,0,0,0,1,0,1,7,112,0,0,0,2,0,0,0,3,16,0,0,380,1,0,3,0,0,0,0,21,74,0,1,3,0,57,6,3,49,0,0,0,0,4,3,26,12,2,19,13,0,0,0,0,0,0,1,5,0,0,0,2,1,0,8,0,0,2,0,0,2,0
748,NA,0,0,0,0,0,0,0,4,0,0,0,0,3,50,0,0,0,0,0,0,0,1,16,0,0,164,0,0,7,0,0,0,1,7,33,0,0,7,0,10,4,5,54,0,0,0,0,2,3,9,1,4,16,11,0,0,0,0,0,0,0,10,0,0,0,1,0,0,7,0,0,0,0,1,0,0
749,NA,1,0,0,0,0,0,1,3,1,0,0,1,5,67,0,0,0,0,0,0,0,1,19,0,0,202,1,0,7,0,0,0,2,10,37,0,0,9,0,29,3,3,39,0,0,0,1,1,3,22,4,1,17,12,0,0,0,0,1,0,1,9,0,0,0,0,0,0,10,0,0,0,0,0,1,0
751,NA,0,0,0,0,0,2,0,10,1,1,0,2,10,53,0,0,0,0,0,0,0,1,24,0,0,124,0,0,4,0,0,0,1,9,72,0,0,10,0,39,7,5,61,0,0,0,2,4,5,25,5,1,22,29,1,0,0,0,0,0,0,10,0,0,0,1,0,0,14,0,0,0,0,1,1,0
753,12535,0,0,0,0,0,1,0,7,0,1,0,2,4,61,0,0,0,0,0,0,0,2,10,0,0,68,0,0,6,0,0,0,0,3,31,0,0,2,0,23,7,7,50,0,0,0,1,10,6,41,6,3,18,22,0,0,0,0,3,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,1,0
754,12576,0,0,0,0,0,0,0,5,0,0,0,1,5,55,0,0,1,0,0,1,0,2,9,0,3,56,0,0,4,1,0,1,0,7,52,0,0,9,0,12,5,5,47,0,0,0,4,6,9,58,10,2,20,16,0,0,0,0,5,0,0,6,0,0,0,2,0,0,8,0,1,0,0,0,3,0
756,12659,0,0,0,0,0,0,0,3,0,0,0,1,4,77,0,1,2,1,0,0,0,2,12,0,0,41,1,0,2,1,0,0,0,13,61,0,0,2,0,15,10,9,52,1,0,0,10,13,9,84,5,0,19,14,7,0,2,0,7,0,0,2,0,0,0,3,0,0,7,0,0,1,0,0,7,0
758,12742,0,0,0,0,0,0,0,1,0,1,0,1,6,53,0,0,1,0,0,0,0,12,7,0,1,48,0,0,2,1,1,2,0,11,54,0,0,5,0,18,14,7,60,0,0,1,5,3,16,92,3,1,9,15,3,0,0,0,11,0,0,7,0,0,0,0,0,0,11,0,1,0,0,1,2,0
760,12824,0,0,0,0,0,0,0,2,0,0,0,4,2,46,0,0,0,0,0,1,0,4,8,0,1,42,0,0,2,1,1,1,1,14,30,0,0,1,0,14,11,7,57,0,0,0,6,8,9,62,4,1,13,9,8,0,0,0,11,0,0,6,0,0,1,0,0,0,9,0,0,0,0,0,0,0
762,12907,0,0,0,0,0,0,0,0,0,0,0,0,3,77,0,0,1,0,0,0,0,2,6,0,1,47,0,0,4,0,0,0,0,12,17,0,0,3,0,22,10,0,69,0,0,0,6,64,4,79,6,0,7,22,2,0,0,1,12,0,0,6,0,0,0,0,1,2,6,0,0,0,0,0,2,0
