"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya","Caryophyllaceae","Castanea","Cornus.sericea","Cornus.undiff.","Corylus","Cupressaceae","Cyperaceae","Cystopteris.bulbifera","Dalea","Dryas","Elaeagnus","Ephedra.torreyana.type","Equisetum","Ericaceae","Fabaceae.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica","Humulus","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Lamiaceae","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Myrica","Nuphar","Osmunda.cinnamomea","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Poaceae","Polygalaceae","Polypodiaceae","Populus.balsamifera","Potamogetonaceae","Potentilla","Pteridium","Quercus","Ranunculus","Rosaceae.undiff.","Salix","Sarcobatus.vermiculatus","Saxifraga","Selaginella","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Typha.latifolia","Ulmus","Urtica.type","Vitis"
270,3575,37,0,0,18,16,0,1,0,7,0,0,0,0,0,0,0,0,3,2,19,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,16,8,2,1,3,0,1,125,61,22,170,0,0,6,3,1,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
340,5045,13,0,0,42,13,2,1,0,5,3,59,0,0,0,0,0,0,2,4,9,1,0,0,0,0,2,0,0,2,0,0,3,0,0,0,0,10,3,0,1,1,0,0,41,65,34,215,3,0,10,0,1,0,1,3,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0
355,5360,11,0,0,19,11,1,5,0,6,0,53,2,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,9,3,2,0,1,0,0,60,76,39,238,4,0,16,2,1,0,2,4,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0
370,5675,21,0,0,18,16,2,0,0,6,0,38,1,0,0,0,0,0,4,3,3,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2,0,3,1,0,0,23,37,39,287,3,0,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
385,5990,16,0,0,16,12,1,2,0,3,1,72,0,0,0,0,0,0,3,3,5,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,1,0,3,0,0,1,24,64,84,317,4,0,6,2,0,0,3,5,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0
400,6346,15,0,0,11,5,1,7,0,3,1,36,0,0,0,0,1,0,2,4,2,2,0,0,0,0,0,0,0,4,1,0,3,1,2,0,0,2,2,0,1,0,0,4,15,53,103,347,2,0,4,2,0,0,2,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
415,6905,17,0,0,21,15,3,5,0,8,1,65,0,0,0,0,0,0,3,2,9,0,0,0,0,0,0,0,1,5,0,0,5,0,0,0,0,3,1,1,5,0,0,4,32,43,60,253,3,0,8,3,1,0,6,5,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
425,7278,16,0,0,37,10,2,4,0,5,1,52,0,0,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,1,3,2,0,1,24,112,33,106,4,0,4,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
430,7464,24,0,0,10,4,5,0,0,2,0,80,1,0,0,0,0,0,3,2,3,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,6,2,0,7,1,0,0,65,98,25,165,6,0,11,1,0,0,1,2,0,0,1,0,0,0,0,0,2,0,0,1,2,0,0
440,7782,24,1,0,12,2,0,0,0,2,1,101,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,8,1,1,0,0,0,3,77,160,22,143,4,0,5,0,0,1,2,5,0,0,1,0,0,0,0,0,1,0,0,0,3,0,1
