"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Betula","Carya","Castanea","Cephalanthus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Liquidambar","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Iva.annua.type","Plantago","Poaceae","Polygonaceae.undiff.","Rosaceae","Rumex","Thalictrum","Huperzia.lucidula","Lycopodium.annotinum","Osmunda","Pteridium","Sphagnum","Typha","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown"
49,427,0,3,10,10,62,7,11,0,0,0,3,30,0,0,0,0,5,0,0,0,26,0,3,3,8,30,95,2,2,207,1,0,44,3,0,6,1,0,0,0,3,0,0,5,0,2,0,0,0,0,2,8,2,0,8,0,6,1
51,467,1,5,6,2,66,11,11,0,1,3,2,40,0,0,0,0,9,1,0,0,10,0,5,5,32,34,60,2,0,179,2,0,55,6,0,2,0,1,0,0,2,0,0,6,1,0,2,1,1,1,1,10,0,0,6,0,5,0
53,507,1,3,8,11,77,6,13,0,1,3,0,30,0,0,0,0,9,0,0,0,10,0,2,16,10,22,78,2,1,170,1,1,58,5,3,0,0,0,0,0,2,0,0,13,0,0,6,1,0,0,3,16,1,0,3,1,5,2
55,547,0,5,12,3,84,9,9,0,1,0,2,50,0,0,0,0,3,0,0,0,18,0,2,11,15,34,58,3,0,168,1,1,47,11,0,0,2,2,0,0,2,0,0,3,0,0,0,0,0,0,3,23,0,0,3,0,6,1
57,587,0,5,14,0,80,9,12,0,0,2,6,32,0,0,0,0,3,0,0,0,9,0,3,8,15,29,83,2,2,171,2,0,37,4,0,2,1,3,0,1,2,0,0,3,0,1,2,1,0,0,3,6,2,0,5,0,5,2
59,627,1,3,11,2,54,11,17,0,0,3,5,40,0,0,0,0,7,0,0,0,6,0,0,6,11,17,69,2,1,207,1,0,57,2,2,2,2,0,0,0,0,0,0,5,0,0,0,0,0,0,3,6,0,0,2,0,6,1
61,667,0,6,5,5,70,9,14,0,1,2,6,50,5,2,0,2,9,0,0,0,11,0,3,3,14,38,80,2,1,187,0,0,73,5,0,3,0,2,0,0,0,0,0,5,0,0,3,0,0,0,0,14,9,0,2,2,6,1
63,706,0,3,5,1,89,9,5,2,0,0,3,41,11,3,2,0,3,0,0,0,6,0,3,12,12,18,101,3,2,167,1,0,46,8,0,2,0,2,0,0,2,0,0,5,0,0,0,1,0,2,2,11,5,0,5,3,5,3
65,746,1,6,5,5,62,11,5,1,1,0,2,60,8,8,0,0,2,1,0,0,13,0,6,14,9,41,63,0,0,162,1,0,52,9,0,0,1,0,0,0,2,0,0,5,0,0,2,0,0,0,1,16,2,0,2,0,5,1
67,777,1,8,8,5,73,8,18,0,1,0,2,50,0,0,0,0,5,0,0,0,6,0,7,9,12,40,52,2,1,168,0,1,41,3,0,0,1,2,0,0,0,0,1,6,2,0,0,0,0,0,5,9,0,0,3,2,3,0
69,797,0,14,9,1,106,11,9,0,0,0,5,60,3,3,0,2,6,1,0,0,9,0,6,8,6,22,54,3,0,181,1,0,61,5,0,1,1,0,0,0,0,0,0,3,0,0,2,0,1,5,0,14,0,0,0,2,6,1
71,817,1,9,9,5,63,11,9,0,1,0,3,64,8,3,2,5,3,1,0,0,2,0,2,8,9,43,70,0,3,180,0,0,61,6,0,0,0,2,0,0,3,0,0,3,0,0,0,1,0,0,3,15,2,0,2,2,6,0
73,838,0,3,8,3,96,6,14,1,0,2,3,54,8,7,0,0,5,1,0,0,12,0,2,6,14,35,55,2,0,161,0,0,66,8,0,0,1,0,0,2,6,0,0,8,0,0,0,0,1,0,0,15,0,0,2,2,6,0
75,858,0,3,15,2,67,5,12,0,0,3,3,64,0,0,0,0,3,1,0,0,8,0,3,3,8,26,70,0,0,181,1,0,57,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,5,6,2,0,6,3,2,2
77,879,1,3,3,2,87,3,2,0,1,0,0,86,2,5,0,0,2,1,0,0,11,0,3,5,9,38,50,2,2,200,0,0,58,6,2,2,2,5,0,0,0,0,0,2,3,0,0,0,1,0,5,5,3,0,0,5,3,2
79,899,0,5,5,0,84,5,13,0,0,2,3,73,3,3,0,0,5,0,0,0,9,0,5,5,5,27,41,0,2,196,2,0,44,11,2,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,2,9,0,0,2,0,5,3
83,NA,0,5,3,8,74,5,29,0,0,0,3,58,0,0,0,0,4,2,0,0,6,0,3,13,13,27,34,0,1,187,0,0,53,3,0,2,1,1,1,0,1,0,0,5,0,0,2,0,0,0,2,8,0,0,3,2,5,3
