"sample.depths","sample.ages","upland.sum","Acer","Alnus","Betula","Carya","Corylus","Cupressaceae.Taxaceae","Fagus","Fraxinus","Juglans","Liquidambar","Nyssa","Ostrya.Carpinus","Picea","Pinus","Quercus","Tilia","Tsuga","Ulmus","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Cyperaceae","Plantago","Poaceae"
1,-38,311,0,1,3,14,1,1,0,2,3,3,0,1,0,87,135,0,0,0,43,8,2,0,3,4
9,53,304,0,3,6,15,1,0,0,0,5,13,0,0,0,149,60,0,0,1,42,3,1,1,0,4
19,167,343,0,1,7,15,2,0,0,0,5,7,0,1,1,181,61,0,3,0,46,6,2,0,3,2
29,280,317,0,0,3,15,0,1,0,1,0,7,0,1,1,171,78,0,2,2,28,0,1,0,1,5
39,394,338,0,0,4,24,0,1,0,1,2,5,3,1,0,156,100,0,0,1,34,4,0,2,0,0
49,507,313,1,0,2,27,1,0,1,0,0,4,0,0,0,173,85,0,8,1,3,0,1,0,1,5
59,620,314,1,0,2,25,0,1,0,0,1,4,1,0,0,188,78,0,5,0,4,2,0,1,0,1
69,724,314,0,0,2,38,0,0,0,0,1,5,1,0,1,153,104,0,5,2,1,0,0,0,0,1
79,828,341,0,0,6,47,2,0,0,0,1,1,1,0,0,154,117,0,4,0,0,0,1,7,0,0
89,933,308,2,1,4,35,3,0,1,0,2,7,1,0,1,93,145,0,5,0,1,2,1,2,0,2
99,1037,337,0,0,5,64,0,0,0,0,3,2,1,0,0,143,105,0,6,0,3,0,0,5,0,0
109,1141,321,0,1,4,46,1,0,1,0,1,6,0,1,0,138,114,0,4,0,2,0,0,0,0,2
119,1245,340,1,0,4,43,0,0,0,0,2,2,1,0,0,136,143,0,3,2,1,0,0,2,0,0
129,1349,308,1,0,4,49,0,1,1,0,0,1,0,0,1,134,109,0,2,0,2,1,1,0,0,1
139,1453,322,0,0,6,61,0,0,0,0,2,0,0,0,0,127,117,1,2,0,2,1,2,0,0,1
149,1557,309,0,0,4,86,1,2,1,0,2,3,0,0,1,118,85,0,3,0,1,0,0,1,0,1
159,1661,324,0,0,7,46,0,1,1,0,4,1,1,0,0,104,146,0,4,0,3,0,3,0,0,3
169,1765,318,1,2,0,48,0,0,0,0,2,6,1,0,2,125,117,0,9,1,0,0,2,2,0,0
179,1869,308,0,1,3,50,1,0,0,0,3,3,0,0,0,155,82,0,5,0,0,1,0,1,0,3
189,1973,316,1,0,5,45,0,0,0,0,2,4,0,0,0,157,95,0,3,0,0,0,1,2,0,1
199,2077,308,1,0,9,45,0,0,0,0,1,3,0,0,0,139,99,0,6,1,2,0,0,0,0,2
209,2181,305,0,0,3,33,0,0,0,0,2,2,0,0,0,148,111,0,3,0,0,1,1,0,0,1
219,2285,306,0,0,1,22,0,0,1,1,0,0,3,0,0,160,108,0,4,0,0,0,1,1,0,4
229,2389,305,0,0,2,37,1,0,0,0,1,2,0,0,0,126,127,0,2,0,2,1,0,0,0,4
239,2493,321,0,0,8,37,1,0,4,1,1,4,0,0,0,149,102,0,8,1,0,0,1,2,1,1
249,2597,310,0,0,4,51,1,0,0,0,0,4,0,1,1,154,89,0,3,0,1,0,0,0,0,1
259,2701,331,0,0,2,49,0,0,0,0,4,5,0,0,0,139,120,0,4,0,1,1,1,1,0,4
269,2805,313,0,0,0,49,0,0,1,0,1,3,0,0,3,129,120,0,6,0,0,0,0,0,0,1
279,2909,311,0,0,5,44,1,1,1,0,3,3,0,0,0,154,89,0,5,0,0,0,2,2,0,1
289,3013,323,0,0,4,49,1,0,0,0,2,3,1,0,0,111,141,0,7,0,2,0,0,2,0,0
299,3117,325,1,0,4,42,0,1,1,0,3,2,0,3,0,117,140,0,5,1,2,1,1,1,0,0
309,3221,313,3,0,1,50,1,0,0,0,1,6,0,0,0,141,106,0,1,1,0,1,0,0,1,0
319,3325,331,1,1,3,38,1,1,2,0,2,1,0,0,0,128,138,0,6,1,3,0,0,0,1,4
339,3533,325,0,0,5,46,1,4,0,0,2,5,0,0,0,136,118,1,3,0,2,0,0,0,0,2
359,3741,321,0,1,4,45,1,0,2,0,1,6,0,0,1,106,148,0,3,0,1,0,1,0,0,1
379,3949,321,1,1,4,35,3,1,3,0,5,2,2,0,0,106,153,0,2,0,0,1,1,0,0,1
