"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus.incana.type","Ambrosia.type","Betula","Carya","Castanea","Cyperaceae","Ericaceae","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Ilex","Juglans.nigra","Nyssa","Ostrya.Carpinus","Platanus","Quercus","Pinus","Cerealia","Rhamnaceae.Vitaceae","Rubiaceae","Acer.saccharum.type","Alnus.viridis.type","Artemisia","Corylus","Fagus","Tsuga","Apiaceae","Caprifoliaceae","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Abies","Fraxinus.nigra.type","Tilia","Picea","Salix","Anacardiaceae","Myrica","Thalictrum","Larix","Sanguisorba","Cupressaceae"
0,0,350,2,1,14,7,5,9,12,1,1,10,1,1,9,1,2,150,58,6,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,67,379,4,4,11,11,8,18,10,0,0,14,2,2,9,1,2,140,45,1,1,84,4,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,133,455,3,0,15,5,8,18,6,0,2,9,2,0,2,3,1,175,42,0,0,156,0,0,0,0,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
20,776,604,2,0,1,2,4,11,0,1,0,5,8,0,16,4,0,186,46,0,1,306,1,0,0,0,3,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
25,1353,444,0,1,0,3,2,14,2,0,0,2,2,0,56,1,0,193,9,0,0,147,2,0,0,1,2,1,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0
40,3082,452,0,10,2,8,2,13,2,0,0,7,0,0,21,2,0,192,23,0,0,159,0,0,0,0,2,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
50,4236,405,1,5,0,2,8,40,5,0,1,2,4,0,28,2,0,161,25,0,0,102,3,0,0,2,4,3,0,0,1,1,1,0,0,2,0,1,1,0,0,0,0
60,5389,342,2,5,1,7,6,2,5,0,0,8,0,0,35,0,0,162,40,0,1,45,0,0,0,1,2,12,0,0,1,2,2,0,0,3,0,0,0,0,0,0,0
70,6542,336,0,8,3,5,5,6,10,0,0,6,0,0,16,3,0,193,26,0,1,38,0,1,0,2,3,6,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0
80,7695,330,1,3,0,9,2,2,32,0,0,4,0,0,14,0,0,175,30,0,1,36,0,0,0,2,2,10,0,2,1,0,0,1,0,1,0,0,0,2,0,0,0
85,8272,333,0,13,1,6,6,1,11,0,0,2,0,0,22,0,1,172,40,0,0,35,1,0,0,0,2,15,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0
90,8848,347,1,9,0,6,3,12,12,0,0,5,0,1,17,3,1,147,62,0,1,48,1,0,1,1,2,9,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0
95,9425,332,0,13,0,7,1,4,17,0,0,11,1,0,16,2,0,137,50,0,0,37,1,1,0,1,3,17,0,0,1,2,2,2,1,4,1,0,0,0,0,0,0
97.5,9713,300,0,3,0,16,0,1,28,0,2,12,0,0,3,9,0,48,90,0,0,2,1,2,0,35,1,3,0,1,2,1,16,1,0,13,6,0,1,3,0,0,0
100,10002,293,0,10,1,22,0,0,33,0,2,16,0,0,0,7,0,28,78,0,0,0,3,5,0,39,1,1,0,0,4,1,12,9,0,14,2,0,0,3,2,0,0
102.5,10290,298,0,5,0,30,0,0,16,0,0,11,0,0,0,12,0,23,103,0,0,0,0,1,0,47,1,4,0,1,5,2,12,3,0,13,6,0,0,2,0,1,0
105,10578,287,0,11,0,25,0,0,16,0,1,9,0,0,0,6,0,11,35,0,0,0,1,11,0,113,2,2,0,0,0,1,10,5,0,20,0,1,0,4,0,1,2
115,11731,296,0,13,0,25,0,0,22,0,0,15,0,0,0,5,0,18,29,0,0,0,1,11,0,110,4,0,0,0,5,1,7,4,0,16,4,1,0,5,0,0,0
125,12885,297,0,4,0,32,0,0,22,0,0,12,0,0,0,5,0,16,39,0,0,0,2,9,1,87,0,0,0,0,9,1,18,7,0,27,1,1,0,4,0,0,0
