"sample.depths","sample.ages","Carya","Asteraceae.undiff.","Ilex","Quercus","Alnus","Myrica","Pinus","Amaranthaceae","Poaceae","Cyperaceae.undiff.","Ambrosia.Iva","Aster","Casuarina","Bursera.simaruba","Betula","Cupressaceae.Taxaceae","Celtis","Cyrilla.racemiflora","Cephalanthus","Ericaceae","Liquidambar","Fabaceae","Nyssa","Euphorbiaceae","Ulmus","Lamiaceae","Polygonaceae","Arecaceae","Melastomataceae","Fraxinus","Acer"
0.5,-39,0.00343642611683849,0.00687285223367698,0.00343642611683849,0.013745704467354,0.00343642611683849,0.0927835051546392,0.216494845360825,0.395189003436426,0.0103092783505155,0.103092783505155,0.109965635738832,0.0309278350515464,0.00687285223367698,0.00343642611683849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-34,0,0.013840830449827,0,0.0242214532871972,0.00346020761245675,0.131487889273356,0.294117647058824,0.346020761245675,0.0069204152249135,0.041522491349481,0.100346020761246,0.0242214532871972,0.0069204152249135,0,0.00346020761245675,0.00346020761245675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-11,0,0.00454545454545455,0.00454545454545455,0.0181818181818182,0,0.131818181818182,0.327272727272727,0.436363636363636,0.0136363636363636,0.00909090909090909,0.0363636363636364,0.00909090909090909,0,0,0,0,0.00454545454545455,0.00454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,0.010989010989011,0,0,0.021978021978022,0.00549450549450549,0.148351648351648,0.450549450549451,0.285714285714286,0.010989010989011,0.00549450549450549,0.0164835164835165,0,0,0,0,0.010989010989011,0,0,0.00549450549450549,0.00549450549450549,0.00549450549450549,0.0164835164835165,0,0,0,0,0,0,0,0,0
7,18,0,0,0.0100502512562814,0.0251256281407035,0,0.115577889447236,0.442211055276382,0.366834170854271,0,0.0100502512562814,0.0050251256281407,0,0,0,0,0.0150753768844221,0,0,0,0,0,0,0.0050251256281407,0.0050251256281407,0,0,0,0,0,0,0
9,29,0,0,0,0.029940119760479,0.00598802395209581,0.0898203592814371,0.514970059880239,0.305389221556886,0,0.00598802395209581,0.00598802395209581,0,0,0,0,0,0,0,0,0.0119760479041916,0,0.00598802395209581,0.00598802395209581,0,0.00598802395209581,0.00598802395209581,0.00598802395209581,0,0,0,0
11,41,0,0,0.0099502487562189,0.0348258706467662,0,0.144278606965174,0.487562189054726,0.313432835820896,0,0,0.00497512437810945,0,0,0,0,0,0,0,0,0,0,0,0.00497512437810945,0,0,0,0,0,0,0,0
15,114,0,0,0,0.0289256198347107,0,0.107438016528926,0.5,0.334710743801653,0.0206611570247934,0.00413223140495868,0.00413223140495868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,216,0,0.00806451612903226,0,0.032258064516129,0.00806451612903226,0.0967741935483871,0.524193548387097,0.274193548387097,0.0161290322580645,0.0161290322580645,0.00806451612903226,0,0,0,0,0,0,0,0.00806451612903226,0.00806451612903226,0,0,0,0,0,0,0,0,0,0,0
21,266,0.0140845070422535,0,0,0,0,0.183098591549296,0.47887323943662,0.253521126760563,0,0.0140845070422535,0,0.0140845070422535,0,0,0,0,0,0,0,0.0140845070422535,0,0.0140845070422535,0,0,0.0140845070422535,0,0,0,0,0,0
23,317,0,0,0,0.0564516129032258,0.00806451612903226,0.129032258064516,0.306451612903226,0.42741935483871,0.00806451612903226,0.032258064516129,0.00806451612903226,0.00806451612903226,0,0.00806451612903226,0,0,0,0,0,0,0,0,0,0,0.00806451612903226,0,0,0,0,0,0
25,368,0,0,0,0.0185185185185185,0,0.12037037037037,0.5,0.333333333333333,0.00925925925925926,0.00925925925925926,0.00925925925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
