"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Acer.undiff.","Ailanthus","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae.type","Carya","Castanea","Celtis","Cephalanthus","cf..Heteranthera","cf..Opuntia","cf..Verbascum","Cornus","Corylus","Cupressaceae","Cyperaceae","Epilobium.type","Ericaceae","Euphorbiaceae","Fabaceae","Fagus","Fraxinus","Geranium","Humulus","Impatiens","Iris","Juglans","Lamiaceae","Larix","Liliaceae","Liquidambar","Lycopodium","Morus","Myrica","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Parthenocissus","Picea","Pinus","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Platanus","Poaceae.undiff.","Polygonum","Populus","Portulacaceae","Quercus","Ranunculus","Rhamnus","Rhus","Ribes","Rosaceae","Rumex","Salix","Sambucus","Saxifraga","Scrophulariaceae","Solanaceae","Sparganium.type","Sphagnum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica","Utricularia","Viburnum","Violaceae","Vitis","Zea"
1,-25,0,0,0,0,18,0,6,0,44,0,2,2,10,0,32,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,2,2,4,0,0,0,0,0,0,0,14,0,0,0,34,0,0,4,6,38,4,0,0,166,2,0,2,0,0,22,0,0,4,0,0,6,2,4,2,2,12,24,8,2,0,0,2,0,0,0
8,1,0,0,14,2,0,0,30,0,66,0,4,0,14,0,58,0,8,12,0,0,0,0,0,0,4,0,2,0,0,0,0,4,30,2,0,6,0,4,2,0,0,0,2,2,2,4,0,2,4,0,0,42,4,2,0,10,64,0,14,0,182,2,0,4,2,2,0,4,4,0,0,4,0,2,0,2,2,14,10,4,0,0,0,4,0,0,0
17,35,0,2,10,0,0,6,18,4,50,0,2,2,6,2,56,0,8,6,0,2,2,0,0,2,2,2,0,0,2,0,0,0,22,0,0,4,2,16,2,0,2,0,0,0,0,6,4,6,2,0,2,36,0,0,0,10,62,2,2,0,214,2,0,2,2,4,0,4,0,0,0,0,0,0,0,6,8,2,10,4,2,0,0,0,0,2,0
23,58,0,0,0,0,18,0,12,2,62,0,2,0,12,0,42,6,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,8,4,0,0,4,2,0,0,0,0,2,0,0,6,30,0,0,6,0,42,0,0,0,128,0,0,0,0,0,16,0,4,0,0,0,0,0,0,2,6,8,26,16,2,0,0,6,0,0,0
27,73,0,0,6,4,0,0,24,0,54,2,8,0,10,0,38,0,12,4,0,0,0,0,0,2,0,0,0,0,0,0,0,6,26,0,0,0,0,10,0,0,0,6,0,0,2,2,0,4,2,0,2,26,4,0,0,0,32,0,0,0,112,0,0,0,0,0,4,10,0,0,0,0,4,4,0,2,0,10,20,8,0,0,0,0,0,0,2
33,95,0,0,10,2,0,0,42,0,156,4,2,0,12,0,48,2,18,22,0,10,0,2,0,0,0,2,12,0,0,2,6,0,24,0,0,0,2,12,0,0,4,0,0,0,0,2,0,4,10,0,0,24,2,0,0,4,64,2,14,0,148,2,0,2,0,4,6,8,4,0,0,14,2,4,0,2,0,14,12,14,0,0,0,8,0,4,0
37,110,0,0,0,4,0,0,84,4,114,2,2,0,4,0,30,2,8,32,0,0,0,0,0,0,0,0,0,0,2,0,0,18,10,0,4,0,0,10,2,0,0,0,0,0,0,0,2,2,10,0,0,38,2,4,0,2,54,0,0,0,104,0,2,0,0,4,18,6,0,0,0,0,0,2,2,29,0,2,18,12,0,0,0,0,0,0,2
41,125,0,0,4,6,0,0,80,0,82,0,2,0,10,0,18,0,10,38,0,4,0,0,0,0,2,12,4,0,0,0,0,10,20,0,2,0,0,0,0,0,0,2,0,0,0,0,4,4,6,0,0,30,0,0,0,2,66,0,0,0,194,0,0,2,0,0,18,2,4,0,0,4,0,8,0,18,0,4,4,16,0,0,0,0,0,0,0
43,133,0,2,0,0,2,0,100,0,62,2,4,0,4,0,22,0,14,66,0,0,0,0,0,2,0,4,6,0,0,0,0,8,10,0,4,0,0,4,0,0,2,0,0,6,0,0,0,4,6,0,0,44,0,0,0,0,54,0,6,2,178,2,0,0,0,14,16,2,0,0,2,2,2,4,0,16,0,0,2,4,0,6,0,0,4,0,0
46,144,0,0,0,0,6,0,44,2,26,0,2,0,4,0,24,0,10,8,0,0,0,0,2,0,0,2,0,0,0,0,0,0,6,0,0,0,0,4,2,6,0,2,4,0,0,2,0,0,8,0,2,40,0,0,0,0,32,0,0,0,108,0,0,0,0,0,0,6,0,0,0,0,0,0,0,30,6,6,18,2,4,2,0,0,2,0,0
51,163,0,0,0,4,0,2,132,0,26,0,2,0,10,0,32,0,30,50,2,0,0,0,0,0,0,0,2,0,2,0,6,16,8,0,0,0,0,4,0,0,0,0,0,0,0,0,2,10,4,0,0,40,0,0,2,2,20,2,4,0,214,2,0,0,0,0,16,8,0,0,0,4,2,16,0,34,0,6,12,16,2,0,2,0,2,0,0
58,189,2,0,0,0,2,0,90,0,8,0,0,2,10,0,28,2,34,44,0,0,0,0,0,0,0,4,0,2,2,0,0,28,10,0,0,0,0,2,0,2,6,0,6,0,0,0,14,10,2,2,4,46,0,0,0,0,6,0,0,0,228,0,0,2,0,2,6,8,2,0,0,0,0,14,8,24,6,0,6,40,8,0,0,0,0,0,2
