"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Carya","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Fagus","Fraxinus.americana","Fraxinus.nigra","Impatiens","Indeterminable","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lycopodium.type","Nuphar","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Polygonum.persicaria","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella.selaginoides","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown"
1,-28,1,2,14,0,1,4,21,0,2,6,2,0,1,0,0,10,12,0,0,4,1,1,14,0,0,0,0,0,0,0,0,2,124,1,4,46,0,0,0,2,21,0,0,0,1,0,0,1,3,0,1,5,3,3,3
17,43,0,0,36,1,6,0,9,0,4,5,12,0,4,0,0,32,29,0,19,2,0,0,23,0,0,0,0,1,0,0,0,0,81,0,0,20,0,0,0,7,15,0,0,0,0,0,0,10,4,1,16,14,7,14,1
25,78,1,0,20,0,5,12,17,0,7,6,2,0,1,0,4,125,17,0,1,0,2,0,24,0,0,0,3,1,0,0,0,3,99,0,0,48,0,0,0,16,10,0,1,0,2,0,0,1,8,0,5,23,4,7,5
35,626,1,0,5,2,2,0,0,0,0,11,1,0,0,0,0,4,32,0,3,0,0,0,15,0,0,0,2,1,0,1,0,0,134,0,0,5,0,0,0,1,3,0,0,0,0,0,0,1,0,0,5,117,0,7,0
55,2730,0,0,10,0,6,0,0,0,3,0,6,0,2,0,2,13,20,0,13,4,0,0,11,2,0,0,1,1,1,0,3,1,84,0,0,12,0,0,0,0,7,0,0,3,0,0,0,5,0,0,7,117,7,7,1
65,3782,0,0,18,0,15,0,1,0,7,0,9,0,5,0,1,13,15,0,19,1,0,0,15,0,0,0,0,0,1,0,1,1,50,0,0,7,0,0,0,3,0,0,0,0,0,0,0,8,1,2,11,106,7,17,2
75,4834,0,0,14,0,14,0,2,1,8,0,9,0,0,1,1,8,13,0,14,0,4,0,14,0,1,0,0,1,0,0,5,0,76,0,0,5,2,0,0,2,0,0,0,0,1,0,0,3,0,0,5,97,1,12,1
85,5886,0,0,13,0,22,1,2,1,6,0,6,0,1,0,6,11,4,0,21,2,3,0,5,0,0,0,0,0,0,0,3,0,70,0,2,4,0,0,0,5,6,0,0,1,0,1,0,1,0,0,3,92,7,25,2
95,6938,1,0,18,0,9,0,2,1,4,0,1,0,1,0,2,31,7,0,24,0,5,0,8,1,0,0,0,0,0,0,2,2,114,0,0,4,0,0,0,1,19,0,0,3,0,0,0,1,0,1,1,45,7,12,1
105,7991,2,0,11,1,11,0,1,0,1,0,5,0,0,0,5,38,5,0,11,1,3,0,5,0,0,0,2,1,0,0,2,3,133,0,1,5,0,0,0,2,10,0,0,15,0,0,0,3,0,0,0,50,8,5,2
115,8344,0,0,7,0,7,1,0,0,0,0,8,0,0,0,2,32,2,0,2,0,2,0,3,0,0,0,2,0,1,0,1,1,198,0,0,3,0,0,0,1,23,0,0,2,0,0,0,2,0,0,1,7,2,4,0
145,9405,3,0,4,0,5,0,1,1,1,0,9,0,0,0,0,19,6,0,3,3,3,0,5,0,0,0,2,0,0,0,4,2,186,0,1,11,0,0,0,0,21,0,0,1,0,0,0,2,0,1,3,4,2,14,0
155,9759,5,0,6,0,8,0,0,0,5,0,6,0,0,0,6,18,1,0,1,0,0,0,3,0,0,0,1,0,1,0,6,1,214,0,1,7,0,0,0,1,6,0,0,5,1,0,0,1,0,0,0,3,9,5,2
165,10112,2,0,4,2,2,1,3,0,0,0,7,0,0,0,1,10,1,0,0,0,1,0,2,0,0,0,1,0,0,0,4,1,226,0,0,7,0,0,0,2,11,3,0,2,0,0,0,0,0,1,0,1,5,12,0
175,10466,3,0,4,1,9,0,0,0,1,0,15,0,1,0,0,8,2,0,0,0,1,0,3,0,0,0,1,0,0,0,5,2,207,0,0,18,0,1,0,0,15,2,0,0,0,0,1,1,0,1,0,0,0,7,0
185,10820,3,0,4,0,7,0,0,0,2,0,6,0,0,0,3,14,5,0,0,0,0,0,6,0,0,1,2,1,0,0,3,0,210,0,0,20,0,1,0,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
195,11173,4,0,3,0,0,0,1,1,1,0,5,0,0,0,0,13,1,1,2,0,2,0,5,1,0,0,7,0,1,0,3,6,225,0,0,7,0,3,0,0,11,0,0,1,0,0,3,0,0,0,0,0,8,3,1
205,11446,3,0,1,1,0,1,1,0,2,0,5,0,0,1,1,4,10,0,0,2,0,0,10,1,0,0,17,1,1,0,0,16,225,0,0,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,5,6,0
215,11718,2,0,1,0,0,1,0,0,7,0,2,0,0,0,0,1,3,1,0,2,0,0,1,0,0,0,6,0,1,0,3,8,250,0,0,5,0,0,0,1,6,0,0,0,0,0,3,0,0,0,0,2,8,4,0
225,NA,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,79,8,0,0,0,0,0,13,0,0,0,0,13,0,1,0,41,173,0,0,3,0,0,0,0,1,0,0,0,0,0,22,0,3,0,1,0,0,0,3
235,NA,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,138,5,0,0,0,0,0,7,0,0,0,0,1,0,0,0,76,130,0,0,8,0,0,0,1,2,0,0,0,0,0,40,0,0,0,0,0,0,0,4
245,NA,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,88,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,121,71,0,0,0,0,2,1,0,4,0,0,0,0,0,18,0,0,2,0,1,0,1,3
