"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Ulmus","Alnus","Populus","Amaranthaceae","Poaceae","Ericaceae","Asteraceae.subf..Asteroideae.undiff.","Myrica","Herbs.undiff.","Pinus.undiff.","Juglans.nigra","Liquidambar","Ephedra","Rosaceae.undiff.","Potentilla.type","Polygonum","Shepherdia","Elaeagnus"
1,120,0.0118110236220472,0.0216535433070866,0.00590551181102362,0.0551181102362205,0.00196850393700787,0.177165354330709,0.00590551181102362,0.00590551181102362,0.00984251968503937,0.0196850393700787,0.0393700787401575,0.00196850393700787,0.00196850393700787,0.00196850393700787,0.00196850393700787,0.00590551181102362,0.047244094488189,0.175196850393701,0.240157480314961,0.00196850393700787,0.0433070866141732,0.00196850393700787,0.00393700787401575,0.00196850393700787,0.047244094488189,0.015748031496063,0.0196850393700787,0.00590551181102362,0.0078740157480315,0.0196850393700787,0,0,0,0,0,0,0,0,0,0,0,0,0
5,199,0.00984251968503937,0.0255905511811024,0,0.0610236220472441,0.0078740157480315,0.226377952755905,0.00196850393700787,0,0.00393700787401575,0.0078740157480315,0.0354330708661417,0.00196850393700787,0,0,0.00196850393700787,0.0078740157480315,0.0433070866141732,0.112204724409449,0.251968503937008,0.00196850393700787,0.0393700787401575,0.015748031496063,0.00196850393700787,0.00196850393700787,0.0492125984251969,0.00984251968503937,0.0255905511811024,0,0.00590551181102362,0.0374015748031496,0.00984251968503937,0.00196850393700787,0,0,0,0,0,0,0,0,0,0,0
10,298,0.0075046904315197,0.026266416510319,0,0.0300187617260788,0.00187617260787992,0.189493433395872,0.00187617260787992,0,0.0075046904315197,0.00375234521575985,0.0562851782363977,0.00187617260787992,0.00187617260787992,0,0,0.0131332082551595,0.0225140712945591,0.191369606003752,0.273921200750469,0.00187617260787992,0.0619136960600375,0.00562851782363977,0,0.00375234521575985,0.026266416510319,0.0168855534709193,0.0300187617260788,0,0.00562851782363977,0.0131332082551595,0.00187617260787992,0.00187617260787992,0.00187617260787992,0,0,0,0,0,0,0,0,0,0
15,398,0.00938086303939963,0.0225140712945591,0,0.00562851782363977,0.00562851782363977,0.210131332082552,0.00187617260787992,0,0.0131332082551595,0.0112570356472795,0.0300187617260788,0,0,0,0.00187617260787992,0.00938086303939963,0.0375234521575985,0.155722326454034,0.378986866791745,0.00375234521575985,0.0206378986866792,0,0.00187617260787992,0.00187617260787992,0.0431519699812383,0.00938086303939963,0.0131332082551595,0,0,0.00562851782363977,0.00375234521575985,0.00375234521575985,0,0,0,0,0,0,0,0,0,0,0
23,556,0.00555555555555556,0.012962962962963,0,0.0185185185185185,0.00925925925925926,0.133333333333333,0.00185185185185185,0.00185185185185185,0.0166666666666667,0.00555555555555556,0.00925925925925926,0.0037037037037037,0.00185185185185185,0.00185185185185185,0.00185185185185185,0.00555555555555556,0.0148148148148148,0.292592592592593,0.344444444444444,0.00185185185185185,0.062962962962963,0,0,0.00185185185185185,0.00555555555555556,0.0185185185185185,0.0148148148148148,0,0,0.0111111111111111,0,0,0,0.00185185185185185,0,0,0,0,0,0,0,0,0
101.5,2113,0.00527240773286467,0.0140597539543058,0,0.00351493848857645,0.0070298769771529,0.154657293497364,0.00175746924428822,0.00175746924428822,0.00878734622144113,0.00351493848857645,0.0210896309314587,0.00175746924428822,0.00175746924428822,0,0.00175746924428822,0.0105448154657293,0.0140597539543058,0.0685413005272408,0.0579964850615114,0.00175746924428822,0.0509666080843585,0,0.00175746924428822,0.00175746924428822,0.0246045694200351,0.00527240773286467,0.015817223198594,0,0.0070298769771529,0.00527240773286467,0.00351493848857645,0.00351493848857645,0,0,0.500878734622144,0,0,0,0,0,0,0,0
104.5,2172,0.00368324125230203,0.0128913443830571,0.00368324125230203,0.00368324125230203,0.0128913443830571,0.176795580110497,0,0.00184162062615101,0.00736648250460405,0.00736648250460405,0.0202578268876611,0.00184162062615101,0.00736648250460405,0,0,0.0184162062615101,0.00920810313075507,0.0423572744014733,0.0755064456721915,0.00184162062615101,0.0386740331491713,0,0.00184162062615101,0,0.0276243093922652,0.0110497237569061,0.0276243093922652,0,0.00368324125230203,0.00368324125230203,0,0.00184162062615101,0.00184162062615101,0,0.475138121546961,0,0,0,0,0,0,0,0
110.5,2412,0.0150375939849624,0.012531328320802,0.0037593984962406,0.012531328320802,0.0050125313283208,0.161654135338346,0.0012531328320802,0.0075187969924812,0.0012531328320802,0.0075187969924812,0.0137844611528822,0.0012531328320802,0.0075187969924812,0,0.0037593984962406,0.0162907268170426,0.025062656641604,0.0789473684210526,0.0827067669172932,0.0025062656641604,0.0576441102756892,0,0.0025062656641604,0.0012531328320802,0.0100250626566416,0.012531328320802,0.0238095238095238,0,0.0012531328320802,0.0100250626566416,0.0012531328320802,0.0050125313283208,0,0,0.414786967418546,0,0,0,0,0,0,0,0
114.5,2685,0.00291545189504373,0.0102040816326531,0,0.00728862973760933,0.0102040816326531,0.150145772594752,0.00291545189504373,0.00291545189504373,0.0087463556851312,0.00291545189504373,0.021865889212828,0.00145772594752187,0.00145772594752187,0,0,0.0087463556851312,0.0233236151603499,0.0685131195335277,0.0728862973760933,0.00145772594752187,0.0495626822157434,0,0,0.00145772594752187,0.0306122448979592,0.021865889212828,0.0204081632653061,0,0,0.00291545189504373,0,0.00291545189504373,0,0.00145772594752187,0.470845481049563,0,0,0,0,0,0,0,0
119.5,3026,0.00378787878787879,0.0113636363636364,0,0.0113636363636364,0.00568181818181818,0.185606060606061,0.00189393939393939,0,0.00946969696969697,0.00757575757575758,0.00946969696969697,0.00568181818181818,0.00189393939393939,0.00189393939393939,0.00189393939393939,0.00757575757575758,0.0132575757575758,0.081439393939394,0.106060606060606,0.00378787878787879,0.0359848484848485,0,0,0,0.0227272727272727,0.00757575757575758,0.0189393939393939,0,0,0.00946969696969697,0,0,0,0.00189393939393939,0.433712121212121,0,0,0,0,0,0,0,0
