"sample.depths","sample.ages","Amaranthaceae","Ambrosia","Apiaceae","Arecaceae","Asteraceae.undiff.","Cephalanthus","Cladium","Cupressaceae.Taxaceae","Cyperaceae.undiff.","Ericaceae","Euphorbiaceae","Ilex","Iva","Justicia","Myrica","Nymphaea","Onagraceae","Osmunda.regalis","Pinus","Poaceae","Polygonaceae","Pteris.bahamensis","Quercus","Sagittaria","Salix","Typha","Unknown..monolete.","Unknown..tricolporate.","Unknown..trilete.","Unknown..triporate.","Unknown.undiff.","Utricularia"
0.5,-40,18,0,0,0,8,6,2,0,0,0,0,0,0,0,8,0,0,336,14,2,4,0,2,2,2,14,106,0,98,0,10,0
5.5,44,54,0,0,0,2,2,0,0,0,0,2,0,0,0,10,0,0,476,12,0,0,0,2,2,0,2,56,0,50,0,0,0
9.5,111,22,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,516,14,0,0,0,0,0,0,2,22,0,116,0,0,0
12.5,307,54,0,0,0,8,36,0,0,0,0,0,0,2,0,8,0,0,400,16,4,2,2,0,2,0,6,34,0,68,0,4,0
17.5,880,156,0,0,2,14,22,18,0,6,0,0,0,2,2,6,4,2,260,60,6,14,0,4,10,2,0,78,0,52,2,4,0
21,1281,46,0,0,0,12,2,20,0,6,0,0,2,2,0,0,0,0,174,52,0,6,0,4,8,0,0,38,0,42,0,10,0
25,1739,280,2,0,0,16,24,12,0,4,0,0,0,0,0,0,2,0,124,44,4,8,0,0,0,8,0,32,0,28,0,2,0
31,2426,186,0,0,0,10,8,0,0,6,2,0,0,0,0,2,4,0,152,40,2,14,0,0,8,0,6,24,0,26,0,0,0
35,2762,306,0,0,0,4,4,4,2,16,0,2,0,0,0,0,24,0,92,60,0,2,0,2,16,0,10,2,0,28,0,2,0
41,3207,176,0,2,0,0,0,10,0,2,0,0,0,0,0,0,14,0,82,62,0,4,0,2,8,2,0,20,0,24,0,4,0
45,3503,432,0,0,0,0,0,2,0,4,0,0,0,0,0,4,10,0,0,108,0,4,0,0,8,0,0,2,2,4,0,0,0
51,3906,432,0,0,0,2,4,2,0,0,0,0,0,0,0,2,44,0,0,116,0,4,0,2,8,0,0,0,4,0,0,2,2
55,4119,284,0,0,0,0,2,0,0,0,0,0,0,0,0,0,82,0,8,168,2,2,0,0,4,0,0,2,0,10,0,2,0
61,4439,498,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,0,0,48,0,0,0,2,6,0,4,0,0,0,0,0,0
65,4653,442,0,0,0,0,2,2,0,0,0,0,0,0,0,0,10,0,0,88,0,8,0,0,8,0,0,4,0,0,0,0,0
71,NA,354,0,0,0,2,0,0,0,6,0,0,0,0,0,0,48,0,0,42,0,0,0,4,24,0,2,0,0,0,0,4,0
