"sample.depths","sample.ages","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Larix","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Myrica.gale","Tsuga.canadensis","Picea.undiff.","Pinaceae","Betula.undiff.","Taxus","Pinus.strobus","Fraxinus.pennsylvanica.type","Picea.glauca.type","Castanea.dentata","Prunus","Juglans.cinerea","Ostrya.Carpinus","Salix","Tilia","Rosaceae.undiff.","Amaranthaceae","Ilex.Nemopanthus","Pinus.banksiana.type","Ambrosia.type","Caryophyllaceae","Shepherdia.canadensis","Juniperus.communis.Thuja.occidentalis.type","Rhamnus.alnifolia.R..frangula","Thalictrum","Carya.ovata","Betula","Acer.pensylvanicum","Viburnum","Populus.balsamifera.type","Epilobium","Ranunculaceae.undiff.","Oxytropis.maydelliana.type","Saxifraga.cernua.type","Liliaceae","cf..Oxyria.digyna","Asteraceae.subf..Cichorioideae","Koenigia.islandica","Polygonum.viviparum","Caprifoliaceae.undiff.","Saxifraga.oppositifolia.type","Brassicaceae","Pedicularis"
50,1064,0.003125,0.003125,0.071875,0.003125,0.003125,0.003125,0.003125,0.00625,0.00625,0.00625,0.009375,0.090625,0.00625,0.003125,0.00625,0.003125,0.003125,0.00625,0.0625,0.01875,0.0125,0.00625,0.01875,0.025,0.040625,0.578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1596,0.00390625,0,0.02734375,0.0078125,0,0.00390625,0,0.015625,0.0078125,0.00390625,0.0234375,0.09375,0.0078125,0,0.0078125,0.0078125,0.00390625,0.015625,0.015625,0.015625,0,0,0.01171875,0.01953125,0.02734375,0.6640625,0.00390625,0.01171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2128,0.0043859649122807,0,0.0394736842105263,0.0043859649122807,0,0.0087719298245614,0,0.0307017543859649,0.0131578947368421,0,0.043859649122807,0.0701754385964912,0,0.0175438596491228,0,0.0043859649122807,0,0.0131578947368421,0.0307017543859649,0.0043859649122807,0.0087719298245614,0.0043859649122807,0,0.0175438596491228,0.0263157894736842,0.62280701754386,0.0043859649122807,0.0175438596491228,0.0043859649122807,0.0043859649122807,0.0043859649122807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2660,0,0,0.0257731958762887,0.00515463917525773,0,0,0,0.0103092783505155,0.00515463917525773,0,0.0412371134020619,0.123711340206186,0,0.00515463917525773,0,0.00515463917525773,0,0.0103092783505155,0.077319587628866,0.0154639175257732,0.00515463917525773,0,0.0103092783505155,0.0257731958762887,0.0257731958762887,0.577319587628866,0.00515463917525773,0.0154639175257732,0,0,0,0.0103092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3192,0.00260416666666667,0,0.0221354166666667,0.00260416666666667,0.00130208333333333,0.00651041666666667,0.00260416666666667,0.0182291666666667,0.01171875,0,0.0299479166666667,0.0807291666666667,0.00130208333333333,0.015625,0,0,0,0.00911458333333333,0.0364583333333333,0.00911458333333333,0.0104166666666667,0.00260416666666667,0.0078125,0.0260416666666667,0.0182291666666667,0.614583333333333,0,0.05078125,0.00130208333333333,0.00130208333333333,0,0,0.00130208333333333,0.00130208333333333,0.00130208333333333,0.00130208333333333,0.00130208333333333,0.00130208333333333,0.00130208333333333,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3724,0.00557103064066852,0.00278551532033426,0.0306406685236769,0.00278551532033426,0.00278551532033426,0,0.00278551532033426,0.0250696378830084,0.00835654596100279,0,0.0278551532033426,0.0947075208913649,0.00278551532033426,0.00278551532033426,0,0.00278551532033426,0,0.00278551532033426,0.0222841225626741,0.011142061281337,0,0.00278551532033426,0.00835654596100279,0.0194986072423398,0.0306406685236769,0.646239554317549,0,0.0389972144846797,0,0,0,0,0.00278551532033426,0,0,0,0,0,0.00278551532033426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,4256,0,0.00247831474597274,0.0136307311028501,0.00371747211895911,0.00123915737298637,0,0.00371747211895911,0.00247831474597274,0.0173482032218092,0,0.0247831474597274,0.0594795539033457,0,0.0247831474597274,0,0.00495662949194548,0,0.00867410161090459,0.0161090458488228,0.0111524163568773,0.0198265179677819,0.00619578686493185,0.00247831474597274,0.0161090458488228,0.0123915737298637,0.659231722428749,0,0.0557620817843866,0.00247831474597274,0.0111524163568773,0,0,0.00247831474597274,0.00619578686493185,0,0,0.00123915737298637,0,0,0.00371747211895911,0.00123915737298637,0.00123915737298637,0.00123915737298637,0.00247831474597274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,4789,0.00277777777777778,0,0.0333333333333333,0.00555555555555556,0,0.00277777777777778,0,0.0111111111111111,0.0166666666666667,0.00277777777777778,0.0138888888888889,0.122222222222222,0.00277777777777778,0.00555555555555556,0,0,0,0.00277777777777778,0.0305555555555556,0.0222222222222222,0,0.00277777777777778,0.00277777777777778,0.0194444444444444,0.0166666666666667,0.638888888888889,0.00833333333333333,0.0277777777777778,0.00555555555555556,0,0,0,0,0.00277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,5321,0.00493827160493827,0,0.0185185185185185,0.00617283950617284,0,0.00246913580246914,0.00123456790123457,0.00493827160493827,0.00617283950617284,0,0.0148148148148148,0.0888888888888889,0.00864197530864197,0.0172839506172839,0.00123456790123457,0.0148148148148148,0.00123456790123457,0.0037037037037037,0.0271604938271605,0.0172839506172839,0.00617283950617284,0.00123456790123457,0.00493827160493827,0.0160493827160494,0.0111111111111111,0.637037037037037,0,0.0592592592592593,0.0037037037037037,0.00493827160493827,0,0,0.00123456790123457,0.00246913580246914,0.00123456790123457,0,0,0.00123456790123457,0.00123456790123457,0.00617283950617284,0.00123456790123457,0,0,0,0.00123456790123457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,5853,0,0,0.0433925049309665,0.0236686390532544,0,0.00788954635108481,0,0.00394477317554241,0.00591715976331361,0.0019723865877712,0.0177514792899408,0.142011834319527,0,0.0157790927021696,0.00394477317554241,0,0.00788954635108481,0.00591715976331361,0.0177514792899408,0.00591715976331361,0.00788954635108481,0.0019723865877712,0.00788954635108481,0.0138067061143984,0.0276134122287968,0.546351084812623,0.0019723865877712,0.0828402366863905,0.0019723865877712,0,0,0,0,0.0019723865877712,0,0,0,0,0,0.0019723865877712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
