"sample.depths","sample.ages","upland.sum","Acer.negundo","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Fraxinus.pennsylvanica.type","Iva.xanthifolia.type","Ostrya.Carpinus","Picea","Quercus","Salix","Sarcobatus.vermiculatus","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Pinus","Poaceae","Brassicaceae","Dalea","Lamiaceae","Abies","Amorpha.type","Corylus","Asteraceae.subf..Cichorioideae","Thalictrum","Populus","Rumex","Apiaceae","Cupressaceae","Plantago","Fraxinus.nigra.type","Ephedra","Carya","Rosaceae","Fagus","Acer.saccharum.type","Iva.annua.type","Celtis","Juglans.nigra","Shepherdia","Platanus"
5,78,349,4,24,42,3,33,31,9,14,1,1,59,3,1,1,17,2,5,37,56,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,195,389,0,21,69,8,25,38,9,4,1,7,55,2,1,1,17,7,9,57,51,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,311,364,1,13,66,9,27,24,4,2,2,8,61,1,3,0,18,3,2,59,54,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,427,354,0,6,69,8,37,39,2,2,1,3,45,2,1,1,14,2,4,35,78,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,544,372,1,21,78,8,38,27,6,1,5,1,39,4,4,0,10,2,9,45,69,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
75,893,367,2,12,77,8,20,19,4,0,1,4,56,4,5,1,8,2,5,60,75,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
100,1184,381,0,8,88,3,24,31,2,0,2,3,40,3,0,0,20,5,5,58,81,0,1,0,0,0,0,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
120,1417,375,0,16,68,8,45,38,0,0,2,2,25,5,2,1,7,1,8,49,96,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1650,398,0,9,71,11,60,28,1,1,0,2,32,2,1,0,19,4,6,53,91,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
150,1766,450,0,13,59,21,26,39,7,1,3,2,46,3,1,0,15,6,8,80,108,0,4,0,0,2,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
165,1941,355,0,14,64,17,20,24,9,0,1,4,42,3,0,0,17,3,9,49,73,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
190,2232,354,0,10,63,12,19,18,3,1,0,0,65,3,0,0,13,3,5,63,72,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
210,2465,339,0,25,63,10,24,16,4,2,1,4,46,1,1,0,16,1,7,49,67,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
235,2756,409,1,15,69,16,60,39,3,0,1,1,21,3,0,0,15,2,7,59,95,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
255,2989,424,0,12,53,4,57,50,1,1,1,4,21,4,3,1,15,3,6,56,127,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
280,3280,454,1,26,95,9,30,26,3,3,4,4,31,3,0,0,23,2,6,65,115,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
