"sample.depths","sample.ages","upland.sum","Abies","Alnus.viridis.type","Betula","Picea","Pinus.subg..Pinus","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Populus","Ambrosia.type","Cyperaceae","Pinus.subg..Strobus","Ericaceae","Myrica","Artemisia","Rumex","Salix","Alnus.incana.type","Poaceae","Ulmus","Thalictrum","Ranunculus","Shepherdia","Amaranthaceae","Caryophyllaceae"
205,11,540,5,13,54,463,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,1066,569,4,19,47,491,1,1,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
252,2490,325,8,4,35,273,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
272,3545,371,8,10,56,291,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
292,4600,352,10,20,108,205,0,1,0,0,1,0,1,0,0,1,1,0,0,4,0,0,0,0,0,0,0
302,5128,316,22,109,109,51,5,0,0,0,2,0,10,1,0,3,0,0,0,1,3,0,0,0,0,0,0
315,5814,322,6,176,61,58,2,0,1,0,0,0,7,0,1,5,1,1,1,0,1,1,0,0,0,0,0
322,6183,305,0,130,84,76,2,0,1,1,0,0,3,0,0,2,0,0,2,1,3,0,0,0,0,0,0
332,6710,491,2,134,149,45,17,0,0,0,1,0,71,0,6,59,0,0,4,0,3,0,0,0,0,0,0
351,7445,323,6,61,162,24,11,0,0,0,0,1,25,0,5,17,1,0,8,0,1,0,1,0,0,0,0
358,7694,366,0,72,204,19,3,1,3,0,1,0,10,1,5,14,4,0,17,0,10,0,0,2,0,0,0
378,8403,331,0,40,180,18,8,6,0,0,0,0,29,6,10,10,1,0,18,0,5,0,0,0,0,0,0
397,9078,252,0,21,170,3,3,1,3,0,0,0,19,3,2,1,0,0,22,0,2,0,0,1,1,0,0
418,9823,197,0,8,114,1,0,10,1,0,1,0,15,1,5,7,0,0,25,3,5,0,0,0,0,1,0
438,10533,134,0,6,74,2,4,1,1,0,0,0,9,0,2,1,3,0,19,0,9,0,0,2,0,0,1
458,11243,113,0,2,28,0,0,3,1,0,2,1,20,0,1,1,1,0,14,1,10,0,0,26,2,0,0
496,NA,55,0,2,4,1,0,3,0,2,0,0,33,0,0,0,2,0,3,0,3,0,0,0,0,0,2
