"sample.depths","sample.ages","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Larix","Ostrya.Carpinus","Picea","Platanus","Quercus","Sarcobatus.vermiculatus","Tsuga","Alnus","Ambrosia","Fraxinus.americana.type","Populus","Poaceae","Acer.saccharum","Pinus.strobus","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Asteraceae.subf..Asteroideae.undiff.","Salix","Ulmus","Pinus.undiff.","Ephedra.nevadensis.type","Myrica","Thalictrum","Corylus","Acer.rubrum","Tilia","Amorpha","Iva.annua","Shepherdia.canadensis","Acer.negundo","Ericaceae","Rosaceae","Iva.xanthifolia","Carya","Apiaceae","Shepherdia.argentea","Elaeagnus","Juglans.cinerea","Xanthium","Rumex","Impatiens","Vitis","Humulus","Urtica","Liquidambar"
1,2,0.0388888888888889,0.0138888888888889,0.161111111111111,0.0166666666666667,0.0666666666666667,0.00833333333333333,0.00555555555555556,0.0138888888888889,0.00555555555555556,0.188888888888889,0.00277777777777778,0.0194444444444444,0.00277777777777778,0.00277777777777778,0.0611111111111111,0.0361111111111111,0.00277777777777778,0.00833333333333333,0.00833333333333333,0.00555555555555556,0.0666666666666667,0.261111111111111,0.00277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,265,0.0487012987012987,0.0064935064935065,0.133116883116883,0,0.11038961038961,0,0.0064935064935065,0.0194805194805195,0.00324675324675325,0.233766233766234,0,0.0227272727272727,0,0.0064935064935065,0.0422077922077922,0,0,0.00324675324675325,0.0064935064935065,0.00324675324675325,0.162337662337662,0.178571428571429,0.0064935064935065,0.0064935064935065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,557,0.0402298850574713,0.00574712643678161,0.169540229885057,0.00862068965517241,0.135057471264368,0,0.00574712643678161,0.028735632183908,0,0.189655172413793,0,0.0114942528735632,0,0.00862068965517241,0.0431034482758621,0.00574712643678161,0,0,0.0114942528735632,0,0.152298850574713,0.166666666666667,0.00574712643678161,0.00574712643678161,0.0028735632183908,0.0028735632183908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,849,0.0383386581469649,0.00958466453674121,0.191693290734824,0,0.121405750798722,0.0159744408945687,0,0.0255591054313099,0,0.156549520766773,0.00319488817891374,0.012779552715655,0,0.00958466453674121,0.060702875399361,0.00319488817891374,0,0.00319488817891374,0.012779552715655,0.00319488817891374,0.134185303514377,0.178913738019169,0,0,0.00319488817891374,0.00638977635782748,0.00958466453674121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1141,0.0231958762886598,0.0077319587628866,0.141752577319588,0.00257731958762887,0.211340206185567,0.00515463917525773,0.00515463917525773,0.0231958762886598,0,0.144329896907216,0,0.0128865979381443,0,0.0077319587628866,0.0541237113402062,0.00515463917525773,0.00257731958762887,0.0128865979381443,0.0128865979381443,0.00257731958762887,0.188144329896907,0.115979381443299,0.00257731958762887,0,0.00257731958762887,0.0103092783505155,0,0.00257731958762887,0.00257731958762887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1433,0.0128205128205128,0.00641025641025641,0.108974358974359,0.00320512820512821,0.246794871794872,0,0.00641025641025641,0.0256410256410256,0.00961538461538462,0.121794871794872,0,0.00320512820512821,0,0.00320512820512821,0.0256410256410256,0.00961538461538462,0.00320512820512821,0.00320512820512821,0.00961538461538462,0.00641025641025641,0.153846153846154,0.227564102564103,0.00320512820512821,0.00320512820512821,0.00641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1725,0.0369230769230769,0.0153846153846154,0.0984615384615385,0,0.246153846153846,0.00307692307692308,0,0.0123076923076923,0,0.104615384615385,0,0.00923076923076923,0,0.0123076923076923,0.0246153846153846,0.00307692307692308,0,0,0.00923076923076923,0.00923076923076923,0.258461538461538,0.144615384615385,0,0,0.00307692307692308,0.00307692307692308,0,0,0.00307692307692308,0.00307692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2017,0.017910447761194,0.00597014925373134,0.137313432835821,0.00597014925373134,0.2,0.00597014925373134,0,0.017910447761194,0,0.0716417910447761,0.00298507462686567,0.0149253731343284,0,0.00298507462686567,0.0417910447761194,0.00895522388059702,0,0.00895522388059702,0.0119402985074627,0,0.158208955223881,0.280597014925373,0,0.00597014925373134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2309,0.0252365930599369,0.00630914826498423,0.113564668769716,0,0.145110410094637,0,0,0.0126182965299685,0.00630914826498423,0.0599369085173502,0,0.0157728706624606,0,0.00315457413249211,0.0473186119873817,0.00630914826498423,0,0.0157728706624606,0.00315457413249211,0.00315457413249211,0.211356466876972,0.315457413249211,0,0,0.00315457413249211,0.00315457413249211,0,0,0,0,0.00315457413249211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2601,0.016025641025641,0.016025641025641,0.0769230769230769,0,0.233974358974359,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.0416666666666667,0,0.00641025641025641,0,0.00320512820512821,0.0544871794871795,0.016025641025641,0,0,0,0.00641025641025641,0.185897435897436,0.304487179487179,0.00320512820512821,0,0.00641025641025641,0.00641025641025641,0.00320512820512821,0,0,0,0.00320512820512821,0.00320512820512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
