"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Corylus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Salix","Tsuga","Ulmus","Alnus.incana","Ambrosia","Alnus.viridis","Fraxinus","Ostrya.type","Populus","Poaceae","Plantago","Ericaceae","Larix","Ranunculaceae","Cyperaceae","Fagus","Castanea","Carya","Rhamnaceae","Acer","Cupressaceae","Amaranthaceae","Asteraceae.subf..Asteroideae.undiff.","Cornus","Myrica","Brassicaceae","Shepherdia.canadensis","Rosaceae","Polygonum","Urticaceae","Rubiaceae","Vitaceae","Juglans","Elaeagnaceae.undiff.","Fabaceae","Lamiaceae","Oxyria.digyna","Tilia"
0,1,443,11,1,102,1,160,18,20,68,3,1,1,1,1,19,9,17,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,157,452,5,1,102,0,153,22,19,87,0,0,0,0,1,23,10,18,1,0,1,3,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,312,405.5,3,1,103,1,140.5,14,14,75,2,0,1,0,2,16,9,12,0,0,1,2,0,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,467,434.5,2,3,29,0,196,18,14,85.5,7,1,2,0,6,35,4,16,3,0,2,4,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,622,521,0,2,88,1,273.5,22,11,77.5,4,0,1,0,2,18,3,5,3,0,0,1,0,1,3,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,778,645,0,2,144,0,327.5,31,12,81.5,0,0,0,1,3,16,1,10,1,0,0,0,0,5,3,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,933,523,0,3,87,0,247,34,26,85,1,0,0,2,3,16,0,7,1,0,0,2,0,2,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1088,529,0,7,84,0,279.5,24,14,70.5,3,0,0,0,2,20,2,8,1,2,0,3,0,6,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1243,378.5,0,2,71,0,159,23,14,54.5,4,0,1,0,1,16,3,16,0,1,1,4,0,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1399,555.5,1,2,111,0,288,8,9,60.5,5,0,0,1,6,20,4,18,3,2,0,2,0,3,0,0,3,2,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1458,474.5,0,1,128,0,164,36,15,77.5,4,0,0,1,4,17,3,14,2,0,1,1,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1517,536,3,0,99,2,263,21,15,72,4,0,1,1,1,14,1,18,2,2,0,1,0,3,5,0,0,1,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
60,1577,553,0,1,100,0,274.5,22,12,90.5,6,0,1,0,4,21,2,5,1,0,0,1,0,6,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1636,410.5,3,4,108,0,184,15,15,49.5,0,0,0,1,1,12,1,5,0,0,1,1,0,4,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1695,523,0,1,121,0,290.5,10,4,54.5,2,0,1,0,1,15,0,4,1,0,4,1,0,7,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1754,478,2,2,100,0,279.5,12,9,24.5,2,0,2,0,3,15,0,10,1,1,0,1,0,4,2,0,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
80,1814,454,3,2,135,0,173,16,7,59,4,0,3,1,0,19,1,11,1,0,1,1,0,6,3,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85,1873,473.5,4,0,108,0,265,12,5,28.5,2,0,0,0,0,21,0,14,2,0,0,1,0,4,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1932,432,0,0,103,0,233.5,7,3,61.5,0,1,1,0,4,6,0,3,0,1,1,1,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1992,485,3,0,88,0,308.5,0,1,30.5,6,1,0,3,1,14,0,5,4,2,0,0,0,10,2,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2051,452,0,0,137,0,250,6,2,27,3,1,1,1,2,8,2,4,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2110,445,5,1,70,1,301.5,1,3,24.5,2,0,0,0,2,9,0,12,1,0,1,0,0,3,2,0,0,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2170,506.5,0,1,125,0,289,12,2,38.5,1,0,2,0,2,16,0,2,2,1,0,3,0,2,2,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
115,2229,445.5,0,3,94,0,289.5,4,0,18,3,0,1,1,1,7,0,14,0,1,0,0,0,2,2,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2288,553,4,3,160,0,206,17,13,64,3,0,3,0,2,41,1,16,2,0,2,0,0,4,2,0,3,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2348,470.5,4,0,104,0,277.5,8,3,38,5,0,0,1,2,9,0,4,1,0,0,0,0,1,8,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
130,2407,451.5,0,1,107,0,286,1,3,17.5,2,0,0,0,2,10,2,7,0,0,0,2,0,3,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2466,526,1,2,113,0,292,18,12,48,3,0,0,0,2,14,3,11,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
140,2525,500,1,2,127,0,290.5,6,3,26.5,4,0,0,0,0,16,1,11,0,0,0,0,0,4,3,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2585,476.5,5,2,115,0,260,11,8,40.5,3,0,0,0,4,10,1,6,1,0,0,0,0,0,2,0,2,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2670,525,1,0,104,1,335.5,12,4,29.5,2,0,0,1,0,23,0,4,1,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2756,450,0,0,100,1,294,8,1,15,2,0,1,0,1,10,1,3,2,1,2,1,0,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2842,395,0,2,110,0,235,5,1,19,1,0,0,1,3,5,1,2,0,0,1,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
165,2928,425,1,1,139,1,229.5,3,1,11.5,4,0,0,1,1,10,1,10,0,0,0,0,0,3,0,0,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,3013,524,0,0,153,0,274.5,11,5,36.5,1,0,0,1,3,18,3,4,1,0,0,0,0,3,3,0,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
175,3099,410,0,3,133,0,213.5,10,4,20.5,1,0,0,0,0,11,0,5,0,0,2,1,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3185,487,1,1,129,0,285,10,1,30,2,0,0,0,2,11,1,2,1,0,0,2,0,0,4,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,3270,477,0,0,190,0,213,7,4,19,4,0,0,3,3,15,2,5,0,0,0,1,0,3,1,0,0,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,3356,494.5,0,3,183,0,226.5,5,5,36,1,0,1,0,1,18,0,4,2,0,0,0,1,0,2,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,3442,464.5,3,2,164,0,228.5,2,3,21,3,0,0,1,1,13,1,9,1,0,2,4,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3528,481,1,3,143,1,266,5,1,24,3,0,2,0,0,17,1,6,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
205,3613,445.5,3,0,173,0,219.5,2,1,20,1,0,1,1,2,9,0,6,2,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,3699,534,5,1,220,0,245,6,3,17,3,0,0,1,2,12,3,5,3,0,0,2,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,3785,490,1,0,207,0,245.5,0,0,12.5,2,0,0,0,0,9,1,8,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,3870,508.5,0,2,177,0,251,7,2,29.5,2,0,0,0,1,11,2,7,0,1,0,1,0,1,3,0,3,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
225,3956,488,3,1,188,0,228,5,4,12,5,0,0,0,2,20,0,6,2,0,0,0,0,2,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,4042,477,0,1,150,0,253.5,5,2,25.5,3,0,0,0,1,24,2,3,1,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,4128,432,0,0,189,0,199,3,3,13,1,0,0,0,0,10,2,1,2,0,2,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4213,439,0,0,184,0,212,4,0,10,1,0,0,0,2,7,3,3,5,0,3,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,4299,467,0,1,202,0,206.5,1,5,15.5,2,0,1,0,2,16,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,4345,588,4,2,294,0,193.5,8,8,26.5,3,0,1,0,1,23,2,10,3,0,0,4,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,4392,465.5,0,3,210,0,200,0,3,14.5,2,0,1,0,0,16,1,3,1,1,0,1,0,0,0,0,3,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
260,4438,448,1,0,204,0,195,1,3,8,2,0,0,0,2,9,2,10,2,0,0,1,0,0,1,0,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,4485,447.5,1,0,210,0,172,11,1,19.5,2,0,0,0,1,11,2,6,3,0,2,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,4578,465,1,4,230,0,190,2,1,10,3,0,0,0,1,11,1,3,0,0,1,1,0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,4624,552.5,1,3,283,0,208.5,8,2,18,4,0,0,0,1,10,5,3,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
285,4671,508.5,1,2,256,1,168.5,9,1,32,4,0,0,0,2,17,1,8,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
290,4717,569,0,0,301,0,170,4,0,49,4,0,1,0,1,25,1,8,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,4763,472,2,0,220,0,180,0,2,20,5,0,1,0,2,9,5,8,1,0,0,5,0,2,1,0,2,2,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
300,4810,511.5,0,1,291,0,166,5,1,22.5,1,0,0,0,0,16,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
305,4856,486,2,0,251,0,168,3,1,22,1,0,0,0,1,9,2,10,2,0,3,1,0,0,1,0,3,1,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
310,4903,500,1,1,244,0,175,3,2,36,2,0,1,0,1,22,0,3,1,0,2,0,0,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,4949,454,0,2,223,0,193.5,2,2,7.5,2,0,0,0,2,8,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,4996,467.5,1,1,231,1,110.5,13,9,69,1,0,1,0,1,17,0,4,1,0,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,5042,475,0,1,210,0,204,2,5,17,1,0,0,0,0,18,0,9,1,0,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
330,5089,563.5,1,2,301,0,179,16,4,21.5,1,0,2,0,0,17,1,6,5,0,1,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,5135,478,2,1,241,0,156,5,4,18,3,0,0,0,1,28,0,11,0,0,0,1,0,2,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
