"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Alnus","Betula","Carya","Cupressaceae","Ephedra.torreyana.type","Fagus","Fraxinus","Juglans.cinerea","Larix","Morus","Ostrya","Picea","Pinus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Brassicaceae","Caryophyllaceae","Chenopodiineae","Cyperaceae","Poaceae","Rumex"
0,-50,240,1,6,1,23,3,8,0,6,11,1,1,0,6,1,83,3,27,0,2,10,8,24,4,0,0,0,0,1,1,8,1
5,393,232,0,8,2,6,2,4,0,13,12,1,0,0,3,0,74,2,28,0,1,40,6,27,0,0,0,0,0,0,2,1,0
10,837,212,2,8,0,21,1,8,0,13,7,0,0,0,3,0,80,2,15,0,2,26,12,11,0,0,0,0,0,1,0,0,0
15,1280,265,0,9,2,7,0,12,0,10,5,2,0,0,5,0,90,2,32,0,1,18,7,60,0,0,1,0,0,1,0,1,0
20,1723,225,1,5,0,8,0,6,0,15,9,2,0,0,7,1,81,0,27,0,2,25,11,23,0,0,0,0,0,0,2,0,0
25,2166,212,2,3,1,13,1,4,0,22,6,0,1,0,5,0,83,0,32,0,1,18,9,10,0,0,0,0,0,0,1,0,0
30,2610,232,1,4,2,9,0,6,1,15,18,0,1,0,2,0,81,1,21,0,3,26,12,17,0,0,0,0,9,0,3,0,0
35,3053,233,0,6,3,11,1,10,0,15,11,1,0,0,12,0,75,0,26,0,2,24,6,28,0,0,0,1,0,0,1,0,0
40,3496,211,0,10,2,8,0,6,0,10,10,0,0,0,5,0,85,0,25,1,2,27,12,7,0,0,0,0,0,0,1,0,0
45,3939,216,0,9,1,6,2,6,0,10,13,0,1,0,8,1,84,1,25,0,0,24,10,8,0,0,0,1,0,1,3,2,0
50,4382,222,0,8,2,11,0,7,0,7,9,0,0,0,5,0,94,1,20,1,4,23,11,13,0,0,0,0,0,0,5,1,0
55,4826,210,0,7,0,14,0,4,0,9,11,0,1,0,13,0,92,0,21,0,0,19,10,0,0,0,1,0,0,0,8,0,0
60,5269,212,2,9,1,7,2,3,0,9,15,1,0,0,12,0,90,0,19,0,1,19,11,3,1,0,0,0,0,0,7,0,0
65,5712,204,1,12,1,12,1,11,0,9,11,0,0,0,12,1,96,0,12,0,1,12,9,1,0,0,0,0,0,0,2,0,0
70,6155,207,0,11,2,4,1,9,0,6,13,0,0,0,9,0,104,0,17,1,1,18,7,0,1,1,0,0,0,0,2,0,0
75,6599,202,1,11,1,3,0,1,0,4,8,0,0,0,7,2,125,0,28,0,0,4,6,0,0,1,0,0,0,0,0,0,0
76,6687,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,9613,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9701,204,1,4,1,2,0,5,0,3,7,0,0,0,9,1,127,0,27,0,2,8,4,0,1,0,0,0,0,1,1,0,0
115,10145,201,2,8,0,8,0,5,0,4,6,0,0,0,14,1,113,0,26,1,0,6,6,0,1,0,0,0,0,0,0,0,0
120,10588,202,3,13,0,15,0,1,0,2,8,0,2,0,14,1,99,0,26,0,0,1,15,0,1,0,0,0,0,0,1,0,0
125,11031,202,2,3,0,13,1,1,0,4,5,1,0,0,10,0,143,0,7,0,0,2,8,0,0,0,0,0,0,0,0,2,0
130,NA,203,11,0,0,15,0,0,0,0,4,0,0,0,1,4,151,0,8,0,1,2,3,0,1,0,0,0,0,0,0,2,0
135,NA,202,8,0,0,25,2,0,0,0,4,0,0,0,6,3,138,0,10,0,0,0,4,0,0,2,0,0,0,0,0,0,0
140,NA,206,5,0,0,16,0,1,0,1,3,0,0,0,7,13,144,0,8,3,0,1,1,0,0,0,1,0,0,1,1,0,0
145,NA,203,9,1,0,21,0,5,0,0,1,0,0,0,2,5,140,0,11,1,0,3,2,0,0,0,1,0,0,1,0,0,0
