"sample.depths","sample.ages","Abies","Betula","Cyperaceae","Ericaceae","Picea","Salix","Sanguisorba","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Apiaceae","Alnus","Myrica","Pinus","Poaceae","Caryophyllaceae","Corylus","Cupressaceae","Quercus","Rumex","Shepherdia.canadensis","Ambrosia","Rosaceae.undiff.","Amaranthaceae","Plantago","Urtica","Asteraceae.subf..Cichorioideae","Onagraceae","Populus","Artemisia","Larix","Tsuga","Acer.rubrum","Ostrya.Carpinus","Fraxinus.americana","Iva.annua","Ulmus","Fraxinus.nigra","Acer.saccharum","Brassicaceae","Fagus"
1,15,0.0221465076660988,0.146507666098807,0.0323679727427598,0.0272572402044293,0.13458262350937,0.00170357751277683,0.0851788756388416,0.00170357751277683,0.00681431005110733,0.00170357751277683,0.417376490630324,0.0783645655877342,0.010221465076661,0.0340715502555366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,56,0.0176211453744493,0.0939794419970631,0.359765051395007,0.0146842878120411,0.113069016152717,0,0.120411160058737,0.00440528634361234,0.013215859030837,0.00881057268722467,0.0983847283406755,0.0146842878120411,0.00881057268722467,0.0969162995594714,0.00587371512481645,0.00146842878120411,0.00146842878120411,0.00146842878120411,0.00587371512481645,0.00146842878120411,0.00440528634361234,0.00734214390602056,0.00293685756240822,0.00146842878120411,0.00146842878120411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,98,0.0116788321167883,0.0934306569343066,0.315328467153285,0.0175182481751825,0.0992700729927007,0.00145985401459854,0.167883211678832,0.00583941605839416,0.0218978102189781,0,0.112408759124088,0.0204379562043796,0.0072992700729927,0.0963503649635036,0.0102189781021898,0.00291970802919708,0,0,0,0,0.00145985401459854,0.00583941605839416,0.00437956204379562,0,0,0.00145985401459854,0.00291970802919708,0,0,0,0,0,0,0,0,0,0,0,0,0
4,139,0.00860585197934595,0.139414802065404,0.160068846815835,0.0309810671256454,0.0791738382099828,0,0.0929432013769363,0.00688468158347676,0.0103270223752151,0.00688468158347676,0.278829604130809,0.0413080895008606,0.0189328743545611,0.115318416523236,0,0,0.00344234079173838,0,0,0,0,0.00172117039586919,0.00172117039586919,0,0,0.00344234079173838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,180,0.014446227929374,0.157303370786517,0.203852327447833,0.0272873194221509,0.123595505617978,0.00321027287319422,0.086677367576244,0.00321027287319422,0.00481540930979133,0.00321027287319422,0.218298555377207,0.0160513643659711,0.0160513643659711,0.113964686998395,0,0,0.00481540930979133,0,0,0,0.00160513643659711,0.00160513643659711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,221,0.00798722044728434,0.222044728434505,0.138977635782748,0.0303514376996805,0.10702875399361,0.00319488817891374,0.0814696485623003,0.0111821086261981,0.0175718849840256,0.00638977635782748,0.162939297124601,0.0191693290734824,0.0111821086261981,0.166134185303514,0.00319488817891374,0,0,0,0.00159744408945687,0,0.00319488817891374,0.00159744408945687,0.00159744408945687,0,0,0,0,0.00319488817891374,0,0,0,0,0,0,0,0,0,0,0,0
7,262,0.00977653631284916,0.141061452513966,0.157821229050279,0.0181564245810056,0.111731843575419,0,0.17877094972067,0.00418994413407821,0.0181564245810056,0.00698324022346369,0.0865921787709497,0.0125698324022346,0.00977653631284916,0.238826815642458,0,0,0,0,0,0,0.00139664804469274,0,0.00418994413407821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,304,0.0233281493001555,0.11353032659409,0.119751166407465,0.00933125972006221,0.160186625194401,0,0.191290824261275,0.0046656298600311,0.0202177293934681,0.00933125972006221,0.136858475894246,0.0108864696734059,0.0186625194401244,0.171073094867807,0.0015552099533437,0,0,0.0015552099533437,0,0,0.0015552099533437,0.0015552099533437,0,0,0,0,0,0,0.0046656298600311,0,0,0,0,0,0,0,0,0,0,0
9,345,0.0137404580152672,0.274809160305344,0.109923664122137,0.0137404580152672,0.111450381679389,0.00152671755725191,0.152671755725191,0.00458015267175573,0.0213740458015267,0.0122137404580153,0.13587786259542,0.0122137404580153,0.0137404580152672,0.112977099236641,0.00305343511450382,0,0,0,0,0,0.00305343511450382,0.00152671755725191,0,0,0,0,0,0,0,0.00152671755725191,0,0,0,0,0,0,0,0,0,0
10,386,0.015748031496063,0.214173228346457,0.121259842519685,0.0141732283464567,0.124409448818898,0.0015748031496063,0.184251968503937,0.0047244094488189,0.062992125984252,0.0110236220472441,0.100787401574803,0.0125984251968504,0.0141732283464567,0.108661417322835,0,0,0.0015748031496063,0.0015748031496063,0,0,0,0,0.0031496062992126,0,0,0,0,0,0.0015748031496063,0,0.0015748031496063,0,0,0,0,0,0,0,0,0
