"sample.depths","sample.ages","Abies","Acer.negundo","Allium","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Cannabaceae","Caryophyllaceae","Comandra","Corylus","Cupressaceae","Cyperaceae","Dalea.candida.type","Dalea.purpurea.type","Ephedra.trifurca.type","Ephedra.viridis.type","Epilobium","Eriogonum","Euphorbia","Fabaceae.undiff.","Fraxinus","Geranium","Impatiens","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Lemnaceae","Liliaceae","Lycopus.type","Lysimachia","Ostrya.Carpinus","Phacelia","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.major","Poaceae","Polygonum.amphibium","Polygonum.bistortoides.type","Polypodiaceae","Populus.tremuloides.type","Potamogetonaceae","Pseudotsuga","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Scrophulariaceae","Selaginella","Sparganium.type","Thalictrum","Typha.latifolia","Ulmus","Unknown","Urtica.type","Xanthium"
168,33,0,2,0,2,93,64,0,0,109,29,0,1,0,0,0,0,16,46,3,10,1,0,0,0,1,4,1,0,0,0,0,9,0,0,1,0,0,0,1,0,0,55,0,79,0,0,0,5,4,0,0,15,0,1,1,1,0,4,5,0,0,0,0,0,1,2,0,3
240,359,0,0,0,0,27,34,0,0,67,12,0,0,0,0,0,0,8,43,0,0,0,1,0,0,0,0,2,0,0,28,0,3,0,0,0,0,0,0,0,0,3,82,0,37,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,0,0,0,0
268,538,1,0,0,1,0,47,0,0,100,21,0,0,0,0,0,1,17,69,2,1,2,1,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1,0,2,0,0,101,0,140,0,0,0,0,8,2,0,11,0,0,1,0,1,40,1,2,0,1,0,3,0,1,0,2
348,1052,0,0,0,2,40,27,0,0,102,3,0,0,0,0,0,0,12,72,0,3,0,1,0,0,0,0,1,0,0,26,0,2,0,0,0,0,0,0,8,0,0,69,1,79,0,0,0,6,0,0,0,5,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0
368,1181,5,0,1,1,39,12,1,1,118,18,0,0,0,0,0,0,19,73,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,74,0,177,0,0,0,1,0,0,0,3,0,0,0,0,0,1,4,5,0,1,0,3,1,3,0,7
448,1695,1,0,0,0,41,14,0,0,74,11,0,0,0,0,0,0,13,59,0,1,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,0,0,1,0,0,60,1,80,0,0,0,2,0,0,1,4,0,0,1,0,0,1,2,0,0,0,0,3,0,0,0,0
468,1824,1,1,0,2,46,27,0,1,91,28,0,0,0,1,0,0,27,93,0,2,1,1,0,0,2,0,0,1,0,0,4,2,0,0,0,0,0,0,4,0,0,73,0,161,0,0,1,2,0,0,0,7,0,0,0,3,0,3,2,0,0,4,1,2,0,0,1,3
548,2338,0,0,0,0,25,22,0,0,84,9,0,0,0,0,0,0,20,24,0,2,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,2,0,0,43,0,46,0,0,0,0,0,0,1,6,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0
568,2466,1,2,0,1,51,21,1,1,127,26,0,0,1,0,0,0,22,72,3,0,2,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,93,1,123,0,0,0,4,1,0,0,8,0,0,0,0,1,1,2,1,0,0,0,7,1,2,0,5
645,2961,1,0,0,0,18,49,0,0,121,8,0,0,0,0,0,0,20,40,0,1,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,7,0,0,65,1,71,0,0,0,0,1,0,0,9,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0
