"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Ambrosia.type","Artemisia","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Tilia","Tsuga","Ulmus","Alnus","Myrica","Poaceae","Asteraceae.subf..Asteroideae.undiff.","Populus","Amaranthaceae","Salix","Acer.rubrum","Herbs.undiff.","Juglans.nigra","Aquifoliaceae","Ephedra"
0.5,NA,656,9,26,8,2,205,2,2,12,3,48,2,5,2,5,10,22,14,36,134,2,27,1,46,12,19,1,1,0,0,0,0,0,0,0,0,0
4.5,NA,756,10,27,5,1,282,1,0,0,3,55,0,4,1,3,8,16,5,48,165,2,39,0,36,15,20,0,4,4,2,0,0,0,0,0,0,0
9.5,885,580,7,10,5,4,206,1,1,12,3,53,1,7,1,7,5,19,4,33,101,1,42,0,45,7,2,0,0,1,0,2,0,0,0,0,0,0
14.5,1097,569,2,17,6,1,223,3,1,5,2,42,1,0,0,4,5,9,9,28,117,0,23,0,44,3,19,0,2,1,0,1,1,0,0,0,0,0
19.5,1310,576,6,14,6,4,231,1,1,11,1,15,0,5,0,5,10,11,5,36,123,0,30,0,30,16,9,0,1,0,0,1,1,1,1,1,0,0
24.5,1523,581,5,13,2,4,220,2,1,3,3,19,1,2,0,4,8,8,9,47,123,1,36,1,52,5,8,0,1,0,0,1,0,1,0,0,1,0
27.5,1651,603,6,24,6,5,228,1,1,4,6,23,0,4,1,6,15,13,4,35,121,0,24,1,51,11,10,0,2,1,0,0,0,0,0,0,0,0
34.5,1948,623,3,13,7,5,288,0,2,4,0,18,0,1,0,0,7,8,9,31,136,1,24,0,45,7,10,0,1,2,0,0,0,0,1,0,0,0
39.5,2161,571,4,12,2,3,230,4,1,2,3,18,0,0,1,2,5,17,5,29,124,1,34,1,51,6,14,0,1,0,0,0,0,0,0,1,0,0
44.5,2374,609,6,17,11,2,249,0,2,0,1,31,0,0,0,2,8,15,7,33,128,2,26,2,39,8,19,0,0,1,0,0,0,0,0,0,0,0
49.5,2587,630,6,17,4,0,266,3,2,5,1,14,4,2,0,3,15,14,6,33,141,1,25,0,45,9,12,0,2,0,0,0,0,0,0,0,0,0
55.5,2855,616,2,8,8,1,330,0,0,8,1,8,0,2,0,0,2,11,5,25,138,1,30,0,19,9,4,0,0,1,0,1,1,0,1,0,0,0
59.5,3130,638,6,7,4,2,358,0,2,0,1,5,0,1,0,2,13,10,6,30,109,0,29,1,18,13,16,0,1,0,0,2,2,0,0,0,0,0
65.5,3543,704,8,10,5,4,319,0,4,10,2,18,1,3,0,2,9,12,6,26,170,0,36,2,38,7,10,0,1,0,0,1,0,0,0,0,0,0
69.5,3818,561,4,10,8,2,233,3,3,11,2,5,0,2,1,1,8,9,5,22,152,1,46,0,14,10,8,0,0,0,0,0,0,1,0,0,0,0
74.5,4163,761,4,9,4,7,276,0,2,1,5,4,1,4,0,2,13,11,4,31,229,0,95,0,22,12,16,0,2,3,0,2,0,2,0,0,0,0
79.5,4507,598,3,11,7,6,283,1,5,11,3,2,2,1,0,5,8,7,4,18,130,0,60,0,7,6,16,0,1,0,0,0,1,0,0,0,0,0
84.5,4625,781,9,16,7,7,135,0,1,1,6,5,2,2,1,2,24,5,6,66,255,1,108,0,73,21,19,0,3,1,0,2,1,1,1,0,0,0
89.5,4719,628,3,8,9,5,141,0,3,6,2,3,3,5,1,5,22,6,5,37,231,1,72,0,23,6,20,0,5,0,0,4,1,1,0,0,0,0
94.5,5225,749,4,11,10,6,54,1,2,2,1,0,1,2,0,1,20,7,8,53,351,0,45,1,138,10,18,0,1,1,0,1,0,0,0,0,0,0
99.5,5730,698,7,7,9,2,33,0,3,9,1,0,0,2,0,6,16,9,14,82,357,0,62,0,58,5,11,0,2,0,0,1,1,1,0,0,0,0
104.5,6236,993,5,8,12,5,68,1,2,0,5,0,0,3,0,3,18,16,21,111,637,3,36,1,15,12,5,0,1,2,0,2,1,0,0,0,0,0
109.5,6742,802,4,6,5,4,42,0,1,3,1,0,0,3,1,0,11,8,24,87,521,4,48,0,1,18,6,0,1,0,0,2,0,0,1,0,0,0
114.5,7296,814,4,8,8,6,48,2,0,0,6,1,3,5,1,0,19,3,5,130,475,2,49,0,5,21,7,0,3,0,0,1,1,0,0,1,0,0
119.5,7964,629,1,3,10,3,30,0,1,2,5,0,0,1,1,0,12,8,11,44,449,0,22,1,2,13,5,0,2,0,0,1,1,1,0,0,0,0
124.5,8632,735,6,0,6,2,37,1,2,1,2,0,0,3,1,4,15,11,79,30,492,0,22,0,0,8,8,0,1,0,0,1,2,0,0,1,0,0
129.5,9299,605,5,5,4,2,15,3,1,3,1,1,0,4,0,1,3,12,83,9,420,1,19,0,0,4,6,0,0,0,0,2,1,0,0,0,0,0
134.5,9816,953,8,1,6,5,17,0,2,1,1,0,0,0,0,1,3,26,117,9,727,0,12,0,0,7,2,0,2,2,0,2,1,0,0,0,0,1
139.5,10106,845,7,0,3,2,4,0,1,0,7,0,0,0,0,0,0,29,127,1,657,0,3,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0
