"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Ulmus","Rosaceae.undiff.","Juniperus.type","Amaranthaceae","Poaceae","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Urtica.type","Corylus.cornuta","Fagus","Ranunculaceae.undiff.","Sambucus","Sedum","Thalictrum","Onagraceae","Carya.ovata","Tsuga.canadensis","Salix.undiff.","Acer.rubrum","Asteraceae.subf..Asteroideae.undiff.","Castanea.dentata","Abies","Taxus","Ostrya.Carpinus","Potentilla.palustris.type","Abies.balsamea","Acer.saccharum","Populus.balsamifera.type","Rubus.chamaemorus","cf..Diapensia.lapponica","Rubiaceae","Dalea","Juglans.cinerea","Shepherdia.canadensis","Caryophyllaceae","Viburnum","Salix.herbacea.type","Salix.vestita.type","Polygonum.viviparum","Saxifraga.stellaris.type","Rhamnus.alnifolia.R..frangula","Fabaceae.undiff.","Acer.saccharinum"
0,0,537,15,145,4,6,63,7,2,2,1,5,1,141,15,2,2,3,2,4,1,3,1,80,2,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,383,601,19,266,0,2,55,2,8,1,1,2,4,97,14,2,3,0,0,0,1,5,1,81,10,1,23,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,797,805,29,231,0,8,82,8,7,4,0,5,4,163,47,3,4,2,0,1,1,6,11,97,22,0,58,0,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1179,599,11,213,0,4,61,8,7,1,0,1,4,104,26,1,2,1,0,0,0,5,8,82,8,1,44,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1594,604,14,190,1,3,71,11,3,1,0,4,2,120,23,1,2,0,0,1,0,4,3,100,4,3,36,0,1,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1976,480,14,147,3,4,53,3,6,0,0,2,4,89,18,1,1,0,1,1,0,1,0,84,9,1,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2391,544,23,181,0,3,86,4,5,2,0,5,4,105,22,1,0,1,1,2,0,4,1,43,2,2,39,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2773,523,19,227,0,4,63,1,5,2,0,1,0,93,8,0,3,0,0,0,1,5,3,48,3,0,28,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3187,574,24,213,1,5,77,4,3,1,0,3,5,114,15,2,2,2,0,1,0,3,4,42,2,0,44,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,3570,902,26,338,1,4,205,1,3,0,0,2,0,207,4,0,0,1,0,4,0,5,5,43,1,0,36,0,1,1,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,3984,806,23,330,0,4,186,5,5,1,0,3,9,122,9,2,2,1,0,2,1,3,12,13,4,4,62,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,4367,471,24,198,1,2,67,5,6,0,1,1,3,73,5,6,1,0,0,1,1,7,7,10,3,2,40,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,4781,624,16,199,0,1,130,4,3,0,0,0,4,152,6,1,1,0,0,5,0,0,5,4,0,2,76,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,5164,667,5,240,0,0,170,8,4,2,1,4,0,161,1,2,1,2,0,2,1,3,4,17,4,1,29,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,5578,595,0,229,2,4,146,1,1,2,0,6,2,116,4,4,2,1,0,3,0,2,4,8,5,2,47,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,5961,618,0,275,0,3,117,12,0,1,0,0,0,143,1,6,1,0,0,2,0,4,1,13,0,1,29,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
200,6375,729,5,410,1,3,124,7,1,0,0,1,4,84,3,8,4,0,0,3,0,3,8,6,6,0,42,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,6598,513,1,216,2,8,67,5,5,0,0,4,3,51,2,26,0,1,0,5,2,6,37,4,4,4,41,0,2,0,0,1,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
217,6917,541,0,132,2,5,51,10,2,0,0,5,0,43,2,105,1,0,0,70,0,3,76,15,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
225,7172,557,4,93,3,4,61,34,5,1,0,4,0,25,5,77,2,0,0,82,0,8,96,15,6,0,10,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
227,7236,313,2,54,1,5,61,20,2,0,0,4,1,56,4,16,1,0,0,5,2,1,24,20,4,0,18,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
232,NA,392,3,92,1,11,32,35,2,0,0,1,0,62,7,36,3,0,0,5,5,8,4,38,11,0,8,0,0,0,5,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0
237,NA,546,2,113,5,12,62,48,6,0,0,1,0,89,13,10,4,2,0,2,3,4,8,59,14,0,9,0,0,0,46,0,0,0,0,0,0,4,0,7,0,0,0,2,0,0,1,6,0,0,0,0,0,7,1,1,1,4,0,0,0,0,0
242,NA,674,1,123,11,20,81,50,7,3,1,0,1,103,4,33,5,1,1,1,11,6,5,57,4,1,11,0,0,1,86,0,0,0,0,0,0,23,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
246,NA,338,1,66,0,11,43,39,0,0,0,2,0,27,12,4,5,1,0,4,6,12,2,27,10,1,10,0,0,0,6,0,0,0,0,0,0,31,0,13,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
250,NA,558,0,102,11,22,58,46,6,1,0,1,1,43,26,9,4,7,2,5,9,38,0,73,15,2,13,0,2,0,15,0,0,0,0,0,0,31,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,2,0,1,0,0
255,NA,445,0,62,3,21,33,42,1,0,0,1,0,53,37,2,1,4,0,0,8,8,2,94,8,0,43,0,0,1,1,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
262,NA,425,0,68,9,8,46,15,3,1,0,1,1,29,59,13,2,1,0,0,7,6,1,95,13,2,33,0,0,0,0,0,0,0,0,1,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
275,NA,436,2,61,16,37,61,15,0,0,0,0,1,38,52,1,4,3,0,2,12,9,1,62,8,0,41,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
287,NA,315,1,41,14,18,48,7,0,2,0,0,2,34,37,3,0,1,0,2,7,10,2,61,3,2,16,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,NA,464,7,52,28,18,85,20,2,3,1,4,0,33,46,0,0,5,0,2,10,11,1,103,5,0,20,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
