"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea.candida","Dryopteris.type","Ephedra.torreyana.type","Equisetum","Fagus","Fraxinus.americana","Fraxinus.nigra","Humulus","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lemna","Lycopodium.type","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Polygonum.persicaria","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sanguisorba","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica","Utricularia","Vitis","Zea.mays"
1,-11,0,0,13,4,4,121,0,0,2,0,9,4,0,0,0,0,10,7,0,1,0,0,14,5,11,0,45,0,0,1,1,0,0,0,0,0,0,0,0,1,7,2,110,2,6,69,0,2,3,5,117,0,0,4,0,4,0,1,0,3,0,0,1,13,2,16,0,0,0,3,1
10,61,1,0,6,7,2,61,0,1,5,0,7,9,0,0,0,1,7,7,0,2,0,0,3,6,5,0,53,1,0,0,0,0,2,0,0,0,0,0,0,0,4,3,135,0,3,45,0,0,0,2,93,0,0,0,0,2,0,0,0,0,0,0,1,6,1,8,2,1,0,1,0
20,329,0,0,17,1,0,4,0,1,3,0,9,9,0,0,0,0,6,7,0,3,0,0,4,5,17,0,29,0,1,0,0,0,0,1,1,0,0,0,0,0,5,0,113,0,3,14,0,0,0,5,137,0,0,0,0,1,0,0,0,0,0,0,0,14,1,14,2,0,0,0,0
40,1238,0,1,13,1,1,3,0,1,2,0,4,15,0,0,0,0,5,6,0,4,0,0,8,4,24,0,35,0,1,1,1,0,0,0,0,0,0,0,0,0,7,1,83,0,6,10,0,0,2,3,120,0,0,0,0,1,0,0,0,0,2,0,0,11,0,13,1,0,0,0,0
60,2148,0,0,25,0,2,4,0,2,6,0,7,16,0,0,0,0,4,7,0,1,0,0,12,8,22,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,75,0,7,13,0,0,0,3,103,0,0,0,0,2,0,0,0,0,0,0,3,5,0,20,2,0,0,0,0
70,2603,0,1,11,2,3,1,0,0,1,1,4,11,0,0,1,0,4,6,0,4,0,0,30,4,29,0,45,1,0,4,2,0,1,0,0,0,0,0,1,0,7,8,84,0,7,28,0,0,0,1,100,0,0,0,0,2,0,0,0,0,1,0,3,3,0,32,2,0,0,0,0
80,3057,3,1,12,0,1,4,0,0,1,0,5,23,0,1,0,0,3,12,0,5,0,2,3,5,30,1,27,0,0,0,1,0,0,0,0,0,0,0,1,1,1,5,90,0,3,38,0,0,0,0,115,0,0,0,0,2,0,0,0,0,1,0,0,1,3,11,1,0,0,2,0
90,3512,2,0,11,0,0,5,0,0,0,0,7,18,0,0,0,0,1,11,0,8,0,4,13,0,7,0,33,1,0,1,1,0,1,0,0,0,0,0,1,0,7,16,109,0,4,46,0,0,2,0,111,0,0,0,2,3,0,0,0,1,0,0,0,4,0,34,2,0,0,9,0
100,3967,1,0,12,0,3,10,0,0,2,0,5,14,0,1,0,1,4,20,0,4,0,3,8,2,27,0,21,0,0,2,3,0,0,0,0,0,0,0,0,0,4,5,94,0,3,87,0,0,2,0,98,0,1,0,0,3,0,0,0,0,0,0,0,5,1,26,2,0,0,12,0
110,4422,1,0,10,1,3,6,0,2,4,0,7,16,0,0,1,2,4,21,0,13,0,7,11,5,27,0,28,0,0,1,0,1,1,0,0,0,0,0,2,1,10,9,96,0,4,89,0,0,0,5,134,0,0,0,2,7,0,0,0,1,0,0,2,4,0,22,2,0,0,29,0
