"sample.depths","sample.ages","upland.sum","Abies","Cyperaceae","Picea","Taxus","Alnus","Myrica","Pinus","cf..Myrica","Betula...20.µm.","Apiaceae","Rosaceae.undiff.","Cornus","Poaceae","Ericales","Quercus","Salix","Ulmus","Urticaceae","Sorbus","Juniperus","Betula...20.µm..1","Acer","Asteraceae.undiff.","Ranunculaceae.undiff.","Thalictrum","Saxifragaceae","Caryophyllaceae","Ambrosia","Ostrya.Carpinus","Tsuga","Brassicaceae","Platanus","Populus","Artemisia","Primulaceae","Plantago","Fagus","Amaranthaceae","Fabaceae","Epilobium","Oxyria.digyna","Rumex","Campanulaceae"
0,-27,186,16,2,71,3,10,2,3,6,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-11,220,36,0,59,0,12,0,4,6,96,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,20,197,14,1,56,0,9,0,4,4,101,0,1,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,51,258,41,4,46,1,13,2,4,4,131,0,0,0,2,3,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,113,213,34,1,64,1,7,3,1,3,95,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,259,190,24,3,51,0,10,1,3,8,87,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,490,179,14,0,57,19,4,0,5,3,73,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,720,239,35,0,57,0,9,2,5,0,124,0,1,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,950,220,44,0,70,0,7,1,4,8,73,0,2,0,1,5,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1181,204,13,1,69,2,7,0,2,4,99,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,1523,181,20,0,54,1,10,1,0,5,81,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,1976,209,29,0,71,1,5,2,2,5,90,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2430,186,14,2,54,0,8,1,0,2,98,0,1,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2884,315,20,2,80,1,4,1,3,1,189,0,3,0,0,2,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
245,3337,206,19,0,52,1,8,2,4,9,102,0,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,3791,210,32,0,56,0,13,1,7,0,95,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
285,4245,185,19,1,45,2,15,1,2,4,86,0,2,0,2,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,4699,191,22,1,49,3,7,0,1,0,92,0,2,0,1,3,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
325,5152,409,41,6,128,2,18,3,5,12,180,0,1,0,0,0,0,0,1,1,0,2,5,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
345,5606,241,23,4,73,0,10,2,5,14,95,0,1,0,3,2,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
365,6060,297,31,2,83,5,17,4,6,5,120,0,1,0,0,3,0,0,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
385,6513,362,24,3,92,5,53,1,7,3,122,0,3,0,1,0,1,1,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
405,6967,318,15,1,62,9,33,0,6,2,152,0,3,0,4,0,0,0,0,1,0,1,23,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
425,7421,380,17,6,101,17,30,2,10,6,161,0,2,0,0,0,0,0,0,0,0,0,17,0,4,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
445,7875,290,9,2,84,4,10,2,5,3,135,0,3,0,1,0,0,1,1,0,0,3,25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
465,NA,418,28,1,84,32,10,3,5,2,211,0,5,0,1,0,5,0,0,0,0,0,27,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
475,NA,643,49,2,165,12,5,2,14,6,325,0,2,0,0,2,8,0,1,3,0,5,32,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0
485,NA,787,54,6,151,16,12,6,17,1,429,0,9,2,2,0,5,0,0,1,0,0,60,0,2,0,2,0,0,0,0,1,1,0,9,1,0,0,0,0,0,0,0,0,0
495,NA,602,38,0,110,3,18,7,10,2,350,0,4,1,0,0,4,2,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,NA,602,28,1,56,1,20,12,13,2,381,0,1,2,4,1,8,2,0,1,0,15,46,0,2,0,2,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0
510,NA,334,4,1,27,0,18,3,4,5,211,0,2,1,1,1,1,2,0,1,0,12,29,0,3,1,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0
515,NA,479,35,1,71,0,28,3,14,13,207,1,0,3,0,6,0,2,0,0,0,20,70,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
