"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Aquifoliaceae","Betula","Carya","Castanea","Corylus","Cupressaceae","Fagus","Larix","Nyssa","Ostrya.Carpinus","Picea","Plantago.undiff.","Platanus","Quercus","Rumex","Salix","Scrophulariaceae","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Ambrosia","Fraxinus","Myrica","Pinus","Populus","Amaranthaceae","Poaceae","Rosaceae","Acer.saccharum","Euphorbiaceae","Violaceae","Acer.undiff.","Cyperaceae","Ericaceae","Morus","Plantago.major","Plantago.lanceolata","Sambucus","Liliaceae","Juglans","Ranunculus","Artemisia","Fabaceae","Cornus","Ailanthus","Cephalanthus","Liquidambar","Lamiaceae","Brassicaceae.type","Solanaceae","Asteraceae.subf..Cichorioideae","Rhamnus","Celtis","Saxifraga","Caprifoliaceae.undiff.","Apiaceae","Urtica"
1,-25,718,20,2,2,2,102,16,42,4,2,8,2,4,10,22,8,4,250,4,4,2,2,20,4,12,2,28,40,10,2,34,4,2,36,2,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,866,0,0,0,0,110,0,58,0,6,16,0,0,8,6,0,0,312,16,4,0,0,54,4,18,0,38,78,10,0,66,0,0,36,0,0,0,0,2,4,2,2,2,4,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20,688,0,0,0,2,102,16,96,4,2,6,2,2,0,8,0,0,224,8,2,0,0,40,2,10,0,12,52,6,0,50,0,2,14,0,0,0,0,8,0,4,2,0,2,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
14,40,594,0,0,4,0,72,26,62,4,6,4,0,0,6,2,0,0,206,14,2,0,0,34,2,10,2,18,50,4,0,40,0,0,12,4,2,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
19,65,676,2,0,0,0,94,14,68,0,0,14,0,6,0,6,0,0,182,14,0,0,0,38,6,8,0,38,80,6,2,44,0,4,24,4,0,0,0,6,0,0,0,0,2,0,0,2,0,0,0,0,0,2,4,4,2,0,0,0,0,0,0,0,0
24,90,640,0,0,6,0,92,10,68,0,4,4,0,4,2,2,0,2,216,10,0,0,0,30,4,4,2,16,58,2,0,52,0,2,28,2,2,0,4,0,0,4,0,0,2,0,0,2,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
28,110,652,0,4,8,0,94,8,94,0,26,12,2,6,0,6,0,2,144,14,0,0,2,10,10,10,0,36,76,2,2,24,6,2,14,0,8,0,0,0,4,2,0,0,0,0,0,6,2,2,6,0,0,4,0,0,0,0,2,2,0,0,0,0,0
33,135,652,0,0,4,2,104,0,96,8,10,16,0,4,0,0,0,2,198,14,0,0,0,12,4,12,0,16,52,10,0,32,2,0,30,0,0,0,0,0,2,0,0,4,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0
37,155,674,0,8,2,2,56,18,68,2,2,12,0,4,2,18,0,0,210,10,2,0,2,54,4,6,0,32,46,8,2,46,4,0,30,0,4,0,0,0,4,2,0,0,0,0,0,4,2,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0
41,175,674,0,0,4,0,82,16,112,0,0,14,0,6,2,4,0,2,244,12,2,0,0,36,2,2,0,0,44,8,0,46,2,0,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0
46,297,1290,0,0,0,4,136,64,122,6,12,42,4,8,6,70,0,0,478,2,2,2,0,112,0,12,0,64,6,20,0,60,2,0,0,0,2,0,0,14,0,18,0,0,2,0,0,6,0,2,0,0,2,0,8,0,0,0,0,0,0,2,0,0,0
49,459,1046,0,0,10,0,112,32,252,2,0,24,0,0,10,2,0,0,406,2,0,0,4,50,2,8,0,30,4,10,2,64,0,0,4,0,6,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
53,674,652,0,0,2,0,64,22,182,2,4,12,0,0,0,4,0,2,240,0,0,0,0,36,0,6,0,24,2,2,0,30,0,0,4,0,4,0,0,0,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
55,782,1050,0,12,8,0,100,52,170,4,0,26,2,4,2,4,0,0,438,2,6,0,4,66,0,14,0,50,6,2,0,56,0,0,2,0,6,0,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0
62,1159,636,0,0,6,0,72,36,66,0,2,20,0,6,0,0,0,0,294,0,0,0,2,24,0,8,2,22,0,16,2,28,4,0,0,6,4,0,4,0,2,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
68,NA,1036,2,0,0,0,80,34,90,8,2,40,0,4,2,24,0,0,462,0,0,0,0,82,10,18,0,22,0,4,0,92,0,0,10,2,0,0,0,24,0,10,0,0,0,8,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
