"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Cyperaceae","Ericaceae","Picea","Pinus.undiff.","Salix","Asteraceae.subf..Asteroideae.undiff.","Ambrosia","Alnus.viridis","Rosaceae.undiff.","Amaranthaceae","Poaceae","Rubus.chamaemorus","Cupressaceae","Epilobium","Pinus.subg..Pinus","Myrica","Ostrya.type","Ranunculaceae.undiff.","Fabaceae","Alnus.incana","Plantago","Thalictrum","Oxyria.digyna","Ulmus","Pedicularis.lanceolata","Fraxinus","Juglans","Brassicaceae","Polygonum.viviparum","Pinus.subg..Strobus","Rubiaceae","Abies","Carya","Quercus"
0,-57,640,9,287,69,46,84,1,6,2,19,111,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,646,557,12,243,46,69,73,1,2,0,5,98,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,1169,481.5,11,166,46,64,63.5,1,0,1,4,114,0,0,6,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,1417,530.5,7,191,43,68,91.5,2,3,0,2,110,0,1,3,3,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,1888,499,7,197,39,70,54,3,3,1,3,113,0,2,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9.5,2327,552.5,6,219,34,63,73,3.5,4,1,6,128,1,0,5,4,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
10.5,2534,575,15,195,43,70,82.5,3.5,4,1,1,149,0,1,3,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
15,3376,549,4,188,31,74,72,5,5,0,0,161,1,0,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21.5,4346,673,6,227,49,81,73.5,8.5,10,1,1,197,1,1,10,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,5242,761.5,13,320,44,79,64.5,5,12,0,1,208,0,0,10,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,5874,593.5,11,298,37,49,31.5,0,7,0,0,148,0,0,4,0,0,0,2,0,0,0,0,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0
50,6196,660,14,323,43,73,53.5,4.5,4,1,1,133,1,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
60,6365,733,6,379,52,41,40.5,2.5,6,1,2,196,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70,6536,574.5,15,256,47,25,43,2.5,12,0,7,159,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80,NA,479.5,16,199,54,14,44.5,0,15,1,4,120,0,3,2,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
