"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cyperaceae","Fagus","Larix","Ostrya.Carpinus","Picea","Quercus","Tsuga","Ulmus","Alnus","Acer","Pinus","Poaceae","Platanus","Salix","Tilia","Fraxinus","Populus","Polygonum","Asteraceae.undiff.","Juglans","Myrica","Abies","Ericaceae","Cornus","Rosaceae","Thalictrum","Lamiaceae","Cephalanthus","Rhamnaceae.Vitaceae","Sarcobatus.vermiculatus","Fabaceae","Saxifragaceae","Caryophyllaceae","Urtica.type","Galium"
1,23,227,9,1,4,2,1,1,1,8,1,1,1,25,17,5,1,5,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,71,406,23,3,20,2,1,2,0,8,1,1,0,29,37,6,7,28,224,4,1,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,95,392,15,2,29,1,3,0,0,23,2,1,0,25,33,15,5,13,215,2,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,103,232,3,3,17,1,0,2,1,9,0,1,2,18,17,0,6,11,136,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,220,306,1,2,13,2,1,0,1,28,1,4,0,21,33,13,11,15,154,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,448,337,1,7,26,3,0,2,0,22,2,3,2,21,54,14,3,27,141,1,0,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,732,265,2,1,18,3,0,4,1,38,0,3,0,12,51,7,4,25,91,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,740,494,1,3,53,1,0,4,0,57,3,8,3,22,130,19,10,31,141,0,0,2,0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,775,327,1,0,29,3,2,3,2,39,2,3,1,23,86,9,7,23,91,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,807,442,2,2,30,0,1,3,0,44,0,7,0,17,104,9,3,22,186,0,0,1,3,4,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0
61,842,346,2,1,20,0,0,2,1,37,1,2,1,21,73,17,1,15,150,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,885,538,3,4,62,3,0,3,0,38,0,6,0,38,121,23,7,30,196,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,921,505,3,0,68,2,0,1,0,35,2,3,0,38,113,21,3,40,171,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,980,364,0,2,26,0,1,5,0,32,0,8,1,23,98,5,4,19,129,0,0,1,3,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,1019,267,1,0,17,1,0,1,0,34,2,0,0,12,83,3,4,24,77,1,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1058,481,2,0,40,3,2,3,1,64,2,8,1,31,159,2,5,25,116,0,0,1,2,8,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
126,1133,390,1,4,30,0,0,1,1,49,0,1,0,23,150,12,3,10,100,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
136,1314,453,1,2,25,1,1,4,1,39,1,3,1,25,128,10,6,24,174,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
