"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium.type","Brassicaceae.type","Caprifoliaceae.undiff.","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Cyperaceae","Ephedra","Ericaceae","Fabaceae","Fagus","Fraxinus","Humulus","Indeterminable","Juglans","Lamiaceae","Larix","Liliaceae","Liquidambar","Liriodendron","Lycopodium","Morus","Myrica","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.lanceolata","Plantago.major","Platanus","Poaceae.undiff.","Populus","Pteridium","Quercus","Rhamnus","Rhus","Rosaceae","Rumex","Salix","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete..undiff.","Urtica","Viburnum","Vitis","Zea"
2.5,-17,0,0,4,4,4,8,0,50,0,0,0,2,0,98,0,0,2,20,0,26,6,0,0,0,4,0,0,2,0,12,6,0,60,4,0,0,0,2,0,0,2,2,0,0,0,6,4,4,4,20,0,0,2,20,2,2,160,0,0,0,4,0,0,2,0,0,26,0,6,10,0,0,0,0,0,2
3.5,-8,0,0,10,8,2,10,0,0,0,2,0,6,40,108,0,0,0,12,0,22,0,0,0,0,2,0,0,0,0,24,6,0,60,2,0,2,0,0,0,0,0,0,2,0,0,12,10,10,2,50,2,2,2,12,2,2,166,0,0,0,6,2,0,0,0,0,28,0,12,4,0,0,0,2,0,0
4.5,0,0,0,2,2,0,10,0,26,0,0,0,2,0,58,0,0,0,2,0,10,0,0,0,0,4,0,4,0,4,12,10,0,42,0,0,0,0,2,0,2,0,0,4,0,0,2,0,4,4,32,2,0,0,16,0,0,102,0,0,0,0,0,0,2,0,0,28,0,0,2,0,2,0,0,0,0
5.5,9,0,0,6,6,0,12,0,0,0,2,0,0,36,96,0,0,0,22,0,28,0,0,0,2,14,0,0,0,0,14,4,0,14,4,0,2,2,0,0,0,0,0,0,0,2,6,2,12,2,50,0,2,0,14,2,0,194,0,0,0,0,0,2,2,0,2,38,0,4,2,2,2,2,0,0,0
7.5,26,0,0,6,10,4,18,0,30,0,0,0,6,0,104,0,0,0,22,0,46,0,0,2,0,10,2,0,0,0,36,8,0,66,0,0,0,0,0,0,0,0,0,2,0,0,12,4,14,16,68,0,0,0,16,0,10,276,0,0,0,10,2,2,0,0,2,68,0,8,4,0,0,0,0,0,4
10.5,52,0,0,4,2,0,22,0,34,0,0,0,4,0,72,0,0,0,14,0,36,0,0,0,4,6,0,0,2,0,44,22,0,24,4,0,2,0,2,4,0,0,0,2,0,0,10,8,44,16,70,0,0,0,6,0,0,232,0,2,0,2,0,2,0,0,0,72,0,0,0,0,0,0,0,0,0
14.5,86,0,4,2,0,2,16,0,18,0,0,0,0,0,74,0,0,0,18,0,20,0,0,0,0,0,0,0,2,0,40,14,0,38,0,0,0,0,2,0,0,0,0,2,0,2,10,4,24,18,50,0,0,0,4,0,0,228,0,0,0,0,2,0,0,0,0,86,0,4,2,2,0,0,0,0,2
15.5,94,0,0,2,8,0,12,0,22,0,0,0,6,2,80,0,0,0,12,0,58,0,0,0,6,6,0,0,0,0,38,8,0,54,4,0,0,0,0,0,0,0,0,2,8,2,12,8,34,12,76,0,0,2,10,0,0,298,0,0,0,12,0,0,0,0,0,92,0,6,4,2,8,0,2,0,0
17.5,111,0,0,2,14,4,10,0,20,0,0,0,0,0,90,0,0,0,12,0,38,0,0,0,2,2,0,0,2,0,46,8,0,48,4,2,0,0,0,0,0,0,0,0,2,2,22,2,16,22,56,0,0,2,12,0,10,356,0,0,0,2,0,0,0,0,0,50,0,6,6,0,0,0,0,0,0
18.5,120,0,0,6,12,2,8,0,18,0,0,0,0,0,84,0,0,0,20,2,56,0,0,0,0,2,0,0,2,0,22,8,0,26,0,0,0,0,0,0,0,0,0,0,0,0,8,6,22,18,56,0,0,0,0,0,0,222,4,0,4,2,4,0,0,0,0,86,0,10,4,4,2,0,0,0,0
19.5,129,0,0,2,8,0,16,0,18,0,0,0,0,0,80,0,0,0,12,0,26,0,2,0,0,4,0,0,4,0,30,12,0,44,2,0,0,0,2,0,0,0,0,0,2,0,10,4,26,14,90,0,0,0,4,2,0,312,0,0,0,8,0,0,2,0,0,44,0,0,0,0,4,0,0,0,2
20.5,137,2,0,2,4,0,14,0,14,0,0,0,0,0,70,0,0,0,10,0,48,0,0,0,0,2,2,0,0,0,26,20,0,18,2,0,0,0,0,0,0,0,0,0,2,4,10,8,52,8,42,0,0,0,4,0,6,300,0,0,2,0,2,0,0,0,2,34,2,2,2,4,0,0,0,0,0
21.5,146,0,0,8,6,0,32,2,14,0,0,2,0,0,118,0,0,0,14,0,42,0,0,0,0,2,0,2,0,0,38,8,0,38,2,0,0,0,2,0,0,0,2,0,6,2,14,4,12,20,70,0,0,0,2,0,0,296,0,0,0,4,2,0,0,0,2,42,0,4,0,0,0,0,0,0,0
22.5,167,0,0,2,10,0,8,0,2,0,0,0,0,0,86,0,0,0,26,0,32,0,4,0,2,0,0,0,4,0,54,10,0,34,4,0,0,0,0,0,0,0,0,0,0,2,8,4,30,6,56,0,0,2,0,8,0,260,0,0,0,2,0,0,0,0,2,74,0,4,0,0,6,0,0,0,0
23.5,201,0,2,2,6,0,18,2,6,0,0,0,0,0,82,0,0,0,16,0,38,0,0,0,0,6,0,0,0,0,26,10,0,38,0,0,0,0,0,0,0,0,0,0,0,0,6,4,36,8,48,0,0,6,2,0,0,262,0,0,0,4,0,4,6,0,0,78,0,6,0,2,0,0,0,0,0
25.5,270,0,4,4,14,0,30,0,6,0,0,0,0,0,88,0,0,0,26,0,42,0,0,0,4,0,0,0,0,0,20,8,0,32,2,0,6,0,0,0,0,0,2,0,0,0,8,4,6,8,36,0,0,2,0,0,0,262,2,0,0,2,4,0,0,0,0,52,0,8,0,0,4,0,0,0,0
28.5,372,0,0,4,4,0,6,0,6,0,0,0,0,0,52,0,0,0,4,0,22,0,0,0,0,8,4,0,0,0,26,2,0,20,2,0,0,0,0,0,0,0,0,0,0,6,2,0,8,2,18,0,0,0,2,0,0,140,0,0,2,0,0,0,2,2,0,48,0,4,0,0,0,0,0,0,0
