"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharinum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya","Celtis","cf..Saxifragaceae","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Ephedra.torreyana.type","Equisetum","Euphorbiaceae","Fabaceae.undiff.","Fagus","Filicopsida..trilete.","Fraxinus.nigra","Fraxinus.pennsylvanica","Galium","Herbs.undiff.","Humulus","Indeterminable","Iva.annua.type","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Lamiaceae.cf..Stachys","Larix","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Plantago.major","Platanus","Poaceae","Polygonaceae.undiff.","Polygonum.lapathifolium.type","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculaceae.undiff.","Rhamnus","Rosaceae","Rumex","Sagittaria","Salix","Sambucus","Sarcobatus.vermiculatus","Sparganium.type","Sphagnum","Thalictrum","Tilia","Typha","Ulmus","Unknown","Urtica","Utricularia","Vitis"
33,1221,0,0,0,1,1,242,33,1,1,14,15,2,0,5,0,0,1,4,77,0,0,0,0,0,1,0,0,0,2,0,0,0,14,1,0,0,3,0,0,8,0,5,7,2,12,0,7,63,0,2,0,0,0,60,33,0,0,0,21,5,0,1,3,0,0,0,2,12,3,0,0,0
47,1730,0,0,0,0,0,860,22,1,0,9,16,1,0,2,0,0,0,0,63,0,0,0,0,0,0,0,0,1,1,0,1,0,10,0,2,0,1,0,0,2,1,9,2,0,20,0,10,42,0,6,0,0,0,25,1,4,0,1,12,2,0,0,2,0,0,0,4,5,0,0,0,0
70,2566,0,1,1,1,3,205,26,0,1,12,20,1,0,4,2,0,2,4,139,0,0,0,0,0,0,0,0,1,0,0,0,0,27,1,0,0,1,0,0,6,1,3,1,2,18,0,2,62,0,4,0,0,0,58,1,0,0,0,2,0,0,0,1,0,1,0,1,3,1,1,1,0
90,3294,1,0,0,1,5,280,67,1,0,16,17,3,0,1,0,0,0,0,155,0,0,0,0,0,0,0,0,2,1,0,0,0,13,3,0,0,0,0,0,3,0,0,1,0,16,0,4,50,0,0,0,1,0,49,1,1,0,1,35,1,0,0,1,0,0,1,1,2,3,0,0,0
110,4021,0,0,0,1,1,306,61,1,0,21,24,0,1,0,0,0,1,0,191,1,0,0,0,0,0,0,0,0,0,0,0,0,14,5,1,0,1,0,0,1,0,0,0,0,23,0,7,44,0,3,0,0,0,32,0,0,0,2,13,6,0,0,1,0,0,0,5,3,0,2,0,1
130,4748,0,0,0,1,1,374,58,1,0,11,21,1,0,3,1,0,0,0,243,1,0,0,1,0,0,0,0,1,2,0,0,0,12,4,0,1,2,1,0,2,0,0,2,0,20,0,4,48,0,3,0,0,0,31,0,0,0,0,5,3,0,1,0,0,0,0,5,4,3,0,0,0
152,5548,0,0,0,1,1,400,35,0,0,21,15,0,0,3,0,0,0,0,91,1,0,0,0,0,0,0,0,1,0,0,0,0,8,3,1,1,0,0,0,2,0,0,0,3,11,0,7,27,0,2,0,0,0,32,0,0,1,0,3,1,0,0,0,0,0,0,4,2,0,0,0,1
174,6348,0,0,0,0,1,400,51,2,0,18,6,0,0,4,0,0,1,0,87,0,1,0,0,0,0,1,0,2,0,0,0,0,2,1,2,0,0,0,0,1,0,0,2,2,13,0,3,43,0,1,0,0,0,32,0,0,0,0,5,4,1,0,0,0,0,0,1,7,4,0,0,0
186,6714,0,0,0,0,1,264,76,1,0,34,19,3,0,0,1,0,0,2,118,2,0,2,0,0,1,1,0,0,2,0,0,0,14,1,0,0,2,0,0,2,0,0,7,1,22,0,2,46,0,0,0,0,0,54,0,0,0,2,10,3,1,0,3,0,0,1,3,6,1,0,0,0
198,6869,1,0,0,2,0,128,122,1,0,36,21,3,0,2,2,0,1,0,122,0,0,1,0,0,0,0,0,0,4,0,0,0,7,13,1,1,1,0,0,0,0,0,4,2,22,0,2,71,0,1,0,0,0,55,0,0,0,0,10,5,2,0,4,0,0,1,2,11,4,0,0,2
