"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Carya","Cyperaceae","Fraxinus.nigra.type","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Thalictrum","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Urtica.type","Vitis","Xanthium","Alnus","Juniperus.Thuja","Amorpha","Poaceae","Brassicaceae","Tidestromia.type","Acer.saccharum","Juglans.cinerea.type","Acer.negundo.type","Chenopodium.type","Celtis","Iva.annua.type","Corylus","Fraxinus.pennsylvanica.type","Ilex","Laportea.type","Fabaceae.undiff.","Lycopus.type","Pinus.subg..Pinus","Platanus","Juglans.nigra.type","Dracocephalum.type","Acer.rubrum","Melilotus.type","Pinus.subg..Strobus","Humulus.Cannabis.sativa","Vicia.type","Morus","Rumex","Zanthoxylum","Abies","Iva.xanthifolia.type","Salsola","Rosaceae.undiff.","Medicago","Polygonum.convolvulus","Ephedra.trifurca.type","Polygonum.lapathifolium.type","Tsuga","Stachys.type","Galium","Rhus","Cornus","Dalea","Castanea","Sarcobatus.vermiculatus","Apiaceae","Myrica","Potentilla.type","Campanula","Populus.undiff.","Phlox","Fraxinus.undiff.","Plantago","Ericaceae","Populus.balsamifera.type","Euphorbia.subg..Chamaesyce","Rhamnus","Acer.saccharinum.type","Ranunculus.type","Shepherdia.canadensis"
240,-24,379.5,88,6,9,4,15,6,9,1,24,1,3.5,5,60,5,1,5,13,32,10,3,1,3,2,1,53,1,1,6,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,-3,291.5,54,3,7,3,8,0,3,1,11,0,3.5,4,54,1,0,3,6,30,5,0,0,0,2,0,46,0,0,5,1,0,14,1,1,1,9,1,2,3,1,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,17,479.5,110,8,23,2,10,0,5,0,19,2,3,12,71,5,0,3,9,37,1,0,0,3,2,0,102,0,0,9,2,0,14,0,0,1,5,0,0,0,0,2.5,1,0,0,1,7,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,38,350,92,5,11,2,13,0,1,0,17,0,3,2,55,2,0,5,9,23,3,1,0,5,0,0,66,1,2,9,1,2,5,0,0,2,5,0,0,3,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,80,326,64,12,10,2,8,0,5,0,24,1.5,5.5,4,59,3,0,5,3,20,1,0,1,5,0,0,62,0,0,5,0,0,6,0,1,2,0,0,0,0,1,2,1,0,2,0,0,0,2,0,0,0,0,1,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,101,398.5,67,6,14,4,17,0,3,0,28,1.5,3,5,68,3,0,2,8,28,1,1,0,3,2,0,103,0,0,8,0,0,6,1,0,1,3,0,0,1,0,3,3,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,121,382,53,7,13,1,18,0,8,0,34,0,5,4,72,4,0,3,9,17,3,0,0,3,3,0,90,0,0,13,1,0,3,0,1,1,6,0,0,2,0,1,0,0,1,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,142,769.5,25,9,28,8,27,1,21,0,93,0.5,6,9,231,6,0,11,6,38,0,0,0,11,2,0,166,0,0,30,3,0,5,0,0,4,11,0,0,0,1,3,3,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,163,459,8,6,11,3,14,3,8,0,69,0,5,4,120,2,0,9,3,30,0,2,0,3,1,1,122,0,0,15,1,0,3,0,0,4,5,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,176,338.5,0,4,17,6,17,0,5,0,33,0,7.5,1,121,1,0,9,1,15,0,0,0,6,1,0,69,0,0,10,0,0,0,1,1,3,3,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,196,745,15,11,28,7,28,0,9,0,86,2,6.5,11,170,2,2,11,4,25,6,0,0,12,8,0,230,0,0,28,1,1,3,1,0,9,9,0,0,0,1,4.5,2,0,0,1,0,4,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,218,446,11,6,20,4,18,0,11,0,59,2,12,7,125,4,0,8,1,24,4,0,0,10,0,1,86,0,0,11,0,0,3,0,0,7,2,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,265,496,8,10,59,4,22,0,0,0,64,0.5,14.5,9,154,6,0,7,4,25,3,0,0,3,0,0,65,0,0,10,2,0,1,0,0,9,2,0,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,316,270.5,4,4.5,19,2,7,0,1,0,32,0,3.5,3,97,3,0,6,2,16,2,0,0,4,1,0,24,0,0,2,0,2,1,0,0,14,2,0,0,0,4,1,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,344,416,14,11,9,1,38,4,0,0,19,2,21,0,209,7,0,3,6,4,0,0,0,8,0,0,41,0,0,1,0,0,4,0,0,4,0,0,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
425,404,409,17,8,16,4,28,1,0,0,9,0,19.5,1,189,8,0,4,4,2,0,0,0,5,2,0,54,0,0,1,1,0,5,2,1,4,0,0,0,0,0,6.5,2,0,0,0,0,10,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
