"sample.depths","sample.ages","upland.sum","Abies","Acer.undiff.","Ambrosia.type","Betula","Carya","Castanea","Cephalanthus","Corylus","Cupressaceae","Cyperaceae","Fagus","Gentianaceae","Ilex","Juglans.cinerea","Picea","Pinus.undiff.","Platanus","Quercus","Rhamnaceae.Vitaceae.undiff.","Rhus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Rosaceae.undiff.","Myrica","Populus","Viburnum","Poaceae","Plantago","Ranunculus","Artemisia","Caryophyllaceae","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Nyssa","Pinus.subg..Pinus","Pinus.subg..Strobus","Polygonum","Acer.saccharum.type","Acer.rubrum","Ericaceae","Galium","Ostrya.Carpinus","Apiaceae","Brassicaceae","Solanaceae","Morus","Lamiaceae","Salix","Thalictrum","Cannabaceae","Acer.saccharinum.type","Tilia","Prunus.Sorbus","Liquidambar","Amaranthaceae","Parthenocissus","Sambucus","Juglans.nigra","Parnassia","Cornus","Iva.annua.type","Fabaceae","Polygonaceae.undiff.","Acer.negundo","Iva.xanthifolia.type","Campanulaceae","Larix","Celtis","Saxifraga.type","Primulaceae","Ranunculaceae.undiff."
1,51,238,2,1,5,32,2,2,5,2,5,2,5,1,2,1,3,18,1,38,1,1,3,3,4,1,62,2,2,6,2,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,208,280,0,1,8,21,8,2,6,1,2,7,7,0,7,0,3,22,1,52,0,0,8,4,7,2,75,0,1,1,2,22,0,0,1,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,404,462,1,1,6,42,8,1,5,0,3,4,11,0,1,0,4,48,0,85,2,0,11,5,15,5,135,1,2,4,2,42,0,0,0,0,2,0,2,0,0,1,1,1,2,1,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,599,191,1,1,2,13,4,1,4,0,3,2,4,0,3,0,2,10,0,34,0,0,4,5,10,3,54,0,0,2,2,18,0,0,1,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.5,773,240,1,3,0,23,5,3,1,0,2,5,5,0,6,1,2,9,0,63,0,0,0,3,4,3,61,1,0,3,2,22,0,0,0,0,3,1,1,0,0,0,1,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1171,473,0,3,0,42,7,0,3,0,5,7,25,0,6,2,1,22,1,128,1,0,1,6,12,5,139,2,0,1,2,34,0,0,0,1,3,2,3,0,0,0,1,1,2,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1536,273,1,3,0,17,4,0,7,1,4,2,7,0,3,0,1,10,2,62,0,0,0,5,7,2,80,1,0,3,0,31,0,0,2,1,5,0,1,0,0,0,2,1,1,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1882,190,0,0,0,13,3,0,0,0,3,0,7,0,4,0,2,6,0,51,0,0,0,6,4,0,65,2,0,0,0,15,0,0,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2206,426,0,3,0,24,9,1,3,0,0,3,17,0,9,1,2,27,1,158,0,0,0,8,6,2,111,1,0,3,5,16,0,0,0,0,5,1,1,0,0,0,1,1,1,0,2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2501,194,0,1,0,19,5,1,2,3,4,1,6,0,2,0,0,10,3,65,0,0,0,2,2,2,44,0,0,2,0,5,0,0,1,1,3,2,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2764,155,0,1,0,8,3,1,4,0,0,2,10,0,0,0,1,6,1,49,1,0,0,6,5,1,39,1,2,4,0,4,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2991,539,0,8,0,31,2,2,8,3,5,5,18,0,9,3,3,34,1,166,0,1,0,8,12,3,156,2,0,5,0,26,0,0,0,1,4,1,5,0,0,0,3,3,3,0,3,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,3341,302,0,2,0,21,5,0,2,0,3,1,13,0,3,0,0,10,0,97,2,0,0,4,9,3,98,1,0,1,0,13,0,1,0,2,2,0,0,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3473,473,0,6,0,32,7,0,5,0,4,8,16,0,6,0,1,33,3,167,1,0,0,6,7,5,120,0,1,3,1,21,0,0,1,2,3,2,0,0,0,0,1,8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3672,263,0,0,0,20,1,1,1,2,5,1,8,0,2,0,0,17,1,70,1,0,0,5,6,5,94,0,1,3,1,9,0,0,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3748,546,1,3,0,23,5,1,2,1,6,4,18,0,6,0,3,35,1,174,2,0,0,7,11,5,166,1,2,5,5,39,0,0,0,0,6,0,2,0,0,0,1,6,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3815,169,1,1,0,5,3,0,4,1,2,0,7,0,5,0,0,10,1,43,0,0,0,3,2,3,60,1,1,0,0,10,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3926,537,2,1,1,24,7,0,8,0,2,5,20,0,11,0,0,33,1,205,0,0,0,8,13,0,124,0,0,2,2,41,0,2,1,2,2,2,5,0,0,1,0,5,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
190,3976,140,0,0,0,9,2,2,0,0,0,1,5,0,1,0,0,7,1,59,0,0,0,3,0,0,39,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,4071,479,0,4,0,37,7,0,8,0,3,6,25,0,7,1,1,32,6,180,0,0,0,7,6,2,109,0,0,1,1,13,0,0,0,0,7,1,3,0,0,0,3,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
220,4119,166,0,0,0,14,1,0,1,0,0,2,3,0,5,0,0,4,0,63,0,0,0,2,5,0,47,0,0,3,0,5,0,0,1,0,0,1,1,0,0,0,2,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4223,429,0,2,0,20,7,2,7,0,4,5,14,0,3,0,1,14,2,167,0,0,0,3,1,3,136,1,1,2,2,11,0,0,0,0,0,3,3,0,0,0,3,5,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
250,4281,110,0,1,0,5,3,0,2,0,0,2,2,0,2,0,0,5,0,38,1,0,0,0,2,2,32,1,0,2,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
270,4417,474,0,1,0,28,9,1,8,1,3,4,15,0,12,0,2,19,1,155,0,0,0,1,9,1,154,0,2,1,1,12,0,0,0,2,4,3,4,0,0,0,1,11,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
280,4498,117,0,0,0,5,2,0,3,0,1,1,11,0,3,0,0,9,0,42,0,0,0,0,1,1,26,0,1,2,0,3,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,4589,553,0,7,2,40,17,0,4,0,6,1,36,0,11,0,2,35,4,208,0,0,0,5,6,8,115,0,1,1,0,9,0,0,0,2,8,3,4,0,0,1,2,9,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,4799,128,0,0,0,8,4,0,3,0,0,2,2,0,2,0,0,9,1,53,1,0,0,0,1,0,29,0,0,1,0,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,4913,615,0,5,1,44,14,1,18,0,6,3,30,0,13,1,2,27,4,290,0,0,0,3,5,3,103,1,3,3,3,8,0,0,0,0,8,5,3,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,5031,201,0,1,0,17,10,0,2,0,0,0,12,0,1,0,0,11,2,95,2,1,0,0,2,0,25,0,0,0,0,2,0,0,1,1,4,3,1,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
340,5149,577,1,6,2,35,11,1,7,1,2,6,26,0,8,0,0,19,4,309,0,0,0,3,2,7,76,0,2,5,0,8,0,0,0,1,7,4,0,2,6,1,1,6,0,0,4,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,5266,99,0,0,0,11,2,0,1,0,1,0,4,0,3,0,0,3,1,39,0,0,0,0,0,2,11,0,1,7,1,5,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
370,5485,560,0,1,1,36,13,0,7,1,4,4,23,0,5,0,1,29,4,276,0,0,0,12,6,6,96,1,1,1,0,11,0,0,0,0,3,1,1,0,0,1,2,8,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
390,5669,155,0,0,0,11,6,0,0,0,0,1,3,0,4,2,0,8,2,58,0,0,0,3,1,0,48,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,5821,766,0,3,1,45,18,0,9,0,4,3,36,0,17,0,0,29,9,287,0,0,0,26,10,6,217,1,1,3,2,13,0,1,1,0,0,2,6,3,3,1,1,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,5893,173,0,0,0,17,4,0,3,0,2,1,7,0,4,0,0,8,3,58,0,0,0,8,3,2,41,0,0,0,1,3,0,0,0,0,2,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,6054,543,0,7,0,34,2,0,1,2,3,3,21,0,8,0,0,28,5,263,0,0,0,15,9,4,118,0,0,2,0,5,0,0,1,1,1,2,1,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
460,6261,174,0,1,0,9,1,2,4,0,0,2,2,0,1,1,0,6,1,83,0,1,0,8,2,1,41,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,6548,519,0,7,2,19,2,0,11,0,0,2,23,0,14,0,0,29,6,244,0,0,0,15,1,7,120,0,0,1,0,3,0,1,0,0,0,0,2,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,7202,159,0,0,0,8,2,0,1,1,0,3,4,0,1,0,2,11,7,69,0,0,0,8,2,3,31,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,7495,482,0,1,2,40,2,1,8,0,2,6,33,0,3,2,0,29,4,214,0,3,0,24,4,3,67,0,2,2,2,4,0,0,0,0,0,3,3,0,0,0,0,10,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
530,7831,199,0,1,3,10,0,0,9,0,0,1,4,0,4,0,1,19,1,86,0,0,0,7,0,2,38,1,1,0,0,4,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,8201,578,1,4,4,29,0,0,12,1,0,3,9,0,8,2,1,85,3,261,1,0,0,23,4,1,106,0,0,0,0,2,0,0,0,0,1,3,3,0,0,0,0,5,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,8590,106,0,0,0,5,0,0,0,0,0,4,0,0,0,0,4,21,0,36,0,0,0,4,1,0,23,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
