"sample.depths","sample.ages","upland.sum","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Tilia","Ulmus","Juniperus.type","Fraxinus.americana.type","Poaceae","Urticaceae","Abies.balsamea","Acer.saccharum","Castanea.dentata","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Populus.balsamifera.type","Pinus.resinosa.type","Viburnum.edule","Salix.undiff.","Polygonaceae.undiff.","Taxus","Cornus","Carya.ovata","Nemopanthus.mucronatus","Asteraceae.subf..Asteroideae.undiff.","Rhamnus.alnifolia.R..frangula","Viburnum.lentago","Juglans.nigra","Saxifraga","Viburnum.opulus","Rosaceae.undiff.","Amaranthaceae","Salix.herbacea.type","Thalictrum","Saxifraga.oppositifolia.type","Acer.spicatum","Viburnum.undiff.","Sambucus","Lamiaceae","Acer.saccharinum","Saxifraga.cernua.type","cf..Sarcobatus.vermiculatus","Liliaceae","Onagraceae","Populus.deltoides.type","Caryophyllaceae","Hypericum","Fabaceae.undiff.","Shepherdia.canadensis","Polygonum.convolvulus.type","Celtis.occidentalis","Linnaea.borealis","Potentilla.palustris.type","Oxytropis.maydelliana.type","Viburnum.nudum","Prunus","Asteraceae.subf..Cichorioideae","Ranunculaceae.undiff.","cf..Oxyria.digyna","Rubiaceae","Salix.vestita.type","Viburnum.alnifolium","Brassicaceae","Armeria.maritima","Saxifragaceae.undiff."
250,2796,694,0,3,11,3,1,0,333,5,2,42,9,3,2,3,5,0,7,23,0,23,2,6,7,2,7,0,8,23,1,0,0,2,96,5,47,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2860,698,1,0,6,3,1,1,305,6,0,53,7,4,3,0,9,0,3,28,2,20,0,5,21,0,6,0,6,15,1,2,3,5,132,0,32,2,0,0,0,1,0,11,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,2957,580,0,2,11,0,1,0,239,2,0,31,14,2,1,3,5,1,16,17,2,19,0,12,4,1,2,0,6,17,1,0,2,8,122,10,11,6,0,0,0,0,0,9,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,3021,490,0,1,7,4,0,2,211,14,1,25,5,3,0,1,6,1,8,23,4,15,0,6,7,0,6,0,8,9,0,0,1,14,79,1,13,2,0,0,0,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,3117,515,0,3,6,1,0,0,182,5,0,49,9,1,3,2,3,0,9,15,0,32,2,2,2,2,4,0,1,12,0,0,1,5,128,1,24,4,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,3277,612,0,0,11,1,0,0,272,2,1,46,10,0,1,2,1,0,3,39,0,32,4,5,3,3,4,0,6,12,1,0,0,11,117,0,19,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,3438,543,1,1,8,3,1,1,240,4,0,51,3,3,0,1,6,0,5,6,3,22,1,8,0,0,0,0,0,15,1,1,0,3,132,0,16,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,3502,543,0,6,11,0,0,1,246,8,1,38,6,2,2,2,1,0,2,21,0,23,0,3,3,1,2,0,6,11,0,0,0,14,110,0,14,2,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,3598,650,0,3,14,0,2,0,258,8,0,33,8,3,2,0,1,0,8,40,4,30,2,16,2,3,3,0,6,15,0,1,0,10,153,0,14,0,0,0,0,1,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,3814,593,0,0,11,3,0,1,292,1,0,17,5,3,0,1,3,1,7,7,3,53,3,13,0,0,4,0,0,12,0,0,0,1,122,3,15,1,0,1,0,1,0,2,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,4215,482,0,1,13,0,1,0,256,2,0,9,7,2,2,0,3,1,1,7,0,42,0,12,0,0,5,0,1,11,1,0,0,0,64,0,31,0,1,0,0,0,0,4,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,4615,550,0,0,7,2,2,0,239,6,0,5,7,3,1,1,5,0,2,30,7,29,2,11,4,2,2,2,2,5,0,0,1,19,112,0,34,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
